"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.0095332,0.0090755,-0.00018774,0.051646,0.05198,0.051618
-0.029465,0.0088789,-0.00013854,0.15079,0.044456,0.044181
-0.008871,0.030988,-0.0002749,0.043907,0.15133,0.044
-0.0087516,0.0084396,-0.0018406,0.044161,0.044478,0.15077
-0.050961,0.0089379,1.7523e-06,0.24813,0.042959,0.042788
-0.026672,0.030588,-0.00026983,0.13994,0.14081,0.036968
-0.027598,0.0083977,-0.0015358,0.14029,0.037182,0.14026
-0.0082973,0.05126,-0.00034484,0.042591,0.24851,0.04282
-0.0086679,0.029465,-0.0017157,0.036847,0.14084,0.14014
-0.0084484,0.0078887,-0.0031316,0.042851,0.043025,0.24823
-0.074273,0.0095673,0.0002351,0.34848,0.042647,0.042433
-0.048324,0.031738,-0.00022736,0.24376,0.13794,0.03717
-0.049933,0.0085498,-0.001269,0.24397,0.037317,0.13758
-0.025414,0.051995,-0.0003657,0.13726,0.24437,0.037278
-0.024743,0.028336,-0.001404,0.13009,0.13061,0.13021
-0.027053,0.0079293,-0.0026937,0.13763,0.03731,0.24389
-0.0077654,0.071518,-0.00040486,0.04226,0.34872,0.042463
-0.008111,0.050591,-0.0020989,0.037078,0.24436,0.13767
-0.0084323,0.028901,-0.0031831,0.037215,0.13802,0.24413
-0.0082446,0.0075895,-0.0040637,0.042437,0.042506,0.34861
-0.10039,0.010291,0.00067124,0.44934,0.042494,0.042317
-0.070174,0.033777,-0.00010992,0.34672,0.13714,0.037438
-0.07325,0.0092446,-0.00087655,0.34686,0.037508,0.13666
-0.045822,0.053807,-0.00037298,0.24163,0.24222,0.038288
-0.047404,0.029411,-0.0013075,0.23992,0.1297,0.12952
-0.049155,0.0082872,-0.0021806,0.24184,0.038293,0.24183
-0.024036,0.072593,-0.00044664,0.13638,0.34712,0.037495
-0.023688,0.050595,-0.0018778,0.12936,0.24028,0.12955
-0.02444,0.027687,-0.0027417,0.1295,0.12974,0.23999
-0.026682,0.0077275,-0.0037573,0.13669,0.037518,0.34683
-0.0072837,0.091172,-0.00050447,0.042162,0.4494,0.04233
-0.0075368,0.0711,-0.0024348,0.037321,0.34712,0.1368
-0.0080438,0.050003,-0.0036784,0.038266,0.24223,0.24207
-0.00829,0.028251,-0.0043058,0.037386,0.13687,0.34709
-0.0080125,0.0073892,-0.0049819,0.042231,0.042327,0.44935
-0.12948,0.010748,0.0013847,0.54979,0.042305,0.042272
-0.093292,0.036227,0.00012988,0.44867,0.13677,0.03748
-0.099024,0.010114,-6.131e-05,0.44862,0.037534,0.13635
-0.065678,0.056288,-0.00032158,0.34557,0.24136,0.038828
-0.069772,0.031542,-0.001075,0.34512,0.12957,0.12937
-0.072158,0.0090445,-0.0014275,0.3457,0.038825,0.2409
