"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-5.1118e-06,-1.2082e-05,-1.1871e-06,9.7498,4.3543,0.065801
-9.5629e-06,-1.8164e-05,-1.3913e-06,9.6503,4.3501,0.051358
-4.7864e-06,-1.1351e-05,-6.0475e-07,9.7498,4.4522,0.047594
-5.6988e-06,-1.1319e-05,1.1824e-06,9.7479,4.3515,0.15107
-5.9132e-06,-1.3873e-05,1.5626e-06,9.6519,4.2475,0.058024
-1.2743e-05,-1.5951e-05,7.7322e-07,9.5515,4.351,0.04044
-9.9462e-06,-1.8414e-05,-1.7711e-06,9.6502,4.4511,0.041203
-1.1822e-05,-2.3002e-05,1.3336e-07,9.6456,4.3525,0.14333
-4.7448e-06,-1.7445e-05,4.6969e-07,9.7501,4.5508,0.044982
-6.7245e-06,-1.5635e-05,-3.2975e-07,9.7473,4.4564,0.13986
-5.4897e-06,-1.1934e-05,3.0018e-07,9.7465,4.3537,0.24876
-6.9101e-06,-1.3334e-05,6.7991e-07,9.5539,4.2508,0.040521
-7.3403e-06,-1.8117e-05,-3.6389e-08,9.6508,4.2464,0.14902
-3.0733e-06,-8.9679e-06,8.6364e-07,9.6542,4.1475,0.05459
-1.5544e-05,-1.2836e-05,3.9997e-07,9.4518,4.3504,0.040022
-1.5238e-05,-1.835e-05,-8.6527e-07,9.5509,4.4505,0.040185
-1.7472e-05,-2.294e-05,8.9336e-08,9.5478,4.3543,0.1343
-1.1308e-05,-2.3343e-05,-5.2301e-07,9.6503,4.5505,0.040979
-1.5367e-05,-2.7208e-05,-5.2307e-07,9.6462,4.4551,0.13553
-1.2104e-05,-2.4204e-05,1.8163e-07,9.6412,4.3551,0.24547
-4.8662e-06,-2.3768e-05,5.1043e-07,9.7501,4.6503,0.044281
-6.5884e-06,-2.2725e-05,-3.8553e-07,9.7493,4.5531,0.13712
-7.2054e-06,-1.7178e-05,-2.1606e-07,9.7452,4.4619,0.24348
-5.514e-06,-1.2204e-05,2.916e-07,9.746,4.3542,0.34873
-1.0906e-05,-1.0903e-05,-5.2902e-07,9.4536,4.2503,0.039978
-1.0789e-05,-1.8611e-05,1.0075e-07,9.5526,4.2529,0.1354
-4.5155e-06,-9.6027e-06,1.2788e-07,9.5578,4.15,0.040266
-7.5893e-06,-1.8908e-05,3.8245e-07,9.648,4.2462,0.24851
-4.3591e-06,-1.1973e-05,1.412e-07,9.657,4.1464,0.14846
-1.1318e-06,-6.3521e-06,-2.0746e-07,9.6559,4.0492,0.054831
-1.8143e-05,-8.732e-06,1.0586e-07,9.3513,4.3502,0.040002
-1.954e-05,-1.5097e-05,-1.6912e-07,9.4509,4.4503,0.04003
-2.202e-05,-1.9085e-05,2.5506e-08,9.4506,4.3517,0.13201
-1.8079e-05,-2.2504e-05,-1.35e-06,9.5504,4.5503,0.040269
-2.1705e-05,-2.6764e-05,-3.2851e-07,9.5487,4.4528,0.13274
-1.9248e-05,-2.5271e-05,2.5847e-08,9.5432,4.3577,0.24001
-1.3056e-05,-2.9873e-05,2.44e-08,9.6501,4.6503,0.040977
-1.7104e-05,-3.3368e-05,-3.2766e-07,9.6489,4.5525,0.13379
-1.7183e-05,-3.0029e-05,-2.2709e-07,9.6421,4.4596,0.24066
-1.215e-05,-2.4535e-05,2.3093e-07,9.6395,4.3557,0.34702
-5.5746e-06,-3.1408e-05,6.771e-07,9.75,4.7502,0.044088
-7.0453e-06,-3.0466e-05,-1.6945e-07,9.7498,4.6517,0.13599
-7.0216e-06,-2.4097e-05,-3.7749e-07,9.7484,4.5569,0.23967
-7.3384e-06,-1.7675e-05,4.1759e-08,9.7444,4.4647,0.34562
-5.5438e-06,-1.2256e-05,2.8857e-07,9.7459,4.3542,0.44909
-1.3854e-05,-7.322e-06,-3.6961e-07,9.3523,4.2501,0.040008
