house,seed,physical_row_index,physical_time_s,recovered_physical_ppm,source_measured_row_index,serialization_bound_ppm,truth_fields_used
House01,8,0,0.2,0.075482869982373593,2,6.013882463097478e-06,false
House01,8,1,0.4,0.068239235781558785,3,6.013882463097478e-06,false
House01,8,2,0.6,0.071275671921127062,4,6.013882463097478e-06,false
House01,8,3,0.8,0.073482191355473944,5,6.013882463097478e-06,false
House01,8,4,1,0.075034155028639943,6,6.013882463097478e-06,false
House01,8,5,1.2,0.087232579601783697,7,6.013882463097478e-06,false
House01,8,6,1.4,0.087536169605088476,8,6.013882463097478e-06,false
House01,8,7,1.6,0.092807559239369175,9,6.013882463097478e-06,false
House01,8,8,1.8,0.095748228836196811,10,6.013882463097478e-06,false
House01,8,9,2,0.097744357248291974,11,6.013882463097478e-06,false
House01,8,10,2.2,0.094030949102224676,12,6.013882463097478e-06,false
House01,8,11,2.4,0.0937141057419031,13,6.013882463097478e-06,false
House01,8,12,2.6,0.090034376217228249,14,6.013882463097478e-06,false
House01,8,13,2.8,0.088313004860651953,15,6.013882463097478e-06,false
House01,8,14,3,0.084031385470367925,16,6.013882463097478e-06,false
House01,8,15,3.2,0.08888208954340153,17,6.013882463097478e-06,false
House01,8,16,3.4,0.084449095095285295,18,6.013882463097478e-06,false
House01,8,17,3.6,0.081907472929059255,19,6.013882463097478e-06,false
House01,8,18,3.8,0.079901933132297875,20,6.013882463097478e-06,false
House01,8,19,4,0.076947491206763668,21,6.013882463097478e-06,false
House01,8,20,4.2,0.081456791531725026,22,6.013882463097478e-06,false
House01,8,21,4.4,0.083269109209076903,23,6.013882463097478e-06,false
House01,8,22,4.6,0.087134716798854234,24,6.013882463097478e-06,false
House01,8,23,4.8,0.092284393106961779,25,6.013882463097478e-06,false
House01,8,24,5,0.096609904213482853,26,6.013882463097478e-06,false
House01,8,25,5.2,0.10392185724553836,27,6.013882463097478e-06,false
House01,8,26,5.4,0.10867810527924615,28,6.013882463097478e-06,false
House01,8,27,5.6,0.11824144609495439,29,6.013882463097478e-06,false
House01,8,28,5.8,0.12531034591044221,30,6.013882463097478e-06,false
House01,8,29,6,0.13049524803921517,31,6.013882463097478e-06,false
House01,8,30,6.2,0.13061564137475165,32,6.013882463097478e-06,false
House01,8,31,6.4,0.12984210435393226,33,6.013882463097478e-06,false
House01,8,32,6.6,0.12142131027484007,34,6.013882463097478e-06,false
House01,8,33,6.8,0.11895300856190782,35,6.013882463097478e-06,false
House01,8,34,7,0.11406933364177133,36,6.013882463097478e-06,false
House01,8,35,7.2,0.10881674155375642,37,6.013882463097478e-06,false
House01,8,36,7.4,0.10325369065047384,38,6.013882463097478e-06,false
House01,8,37,7.6,0.09866024918759668,39,6.013882463097478e-06,false
House01,8,38,7.8,0.09486650092256034,40,6.013882463097478e-06,false
House01,8,39,8,0.088073435905486094,41,6.013882463097478e-06,false
House01,8,40,8.2,0.095110814898656276,42,6.013882463097478e-06,false
House01,8,41,8.4,0.10675623253194527,43,6.013882463097478e-06,false
