house,seed,blocks,native_hit_ideal_nothing,native_nothing_ideal_hit,total_flips,transition_native_hit_ideal_nothing,transition_native_nothing_ideal_hit,transition_total_flips
House01,0,136,3,3,6,0,0,0
House01,1,137,4,2,6,0,0,0
House01,2,133,3,2,5,0,1,1
House01,3,136,3,2,5,1,0,1
House01,4,136,4,4,8,1,1,2
House01,5,136,3,1,4,1,0,1
House01,6,136,2,4,6,0,1,1
House01,7,135,4,3,7,0,2,2
House01,8,136,2,6,8,1,0,1
House01,9,136,1,2,3,0,1,1
House02,0,137,2,0,2,0,0,0
House02,1,136,4,2,6,1,2,3
House02,2,137,3,1,4,1,1,2
House02,3,137,2,2,4,1,0,1
House02,4,136,2,0,2,1,0,1
House02,5,133,2,2,4,1,2,3
House02,6,133,1,2,3,0,0,0
House02,7,135,1,1,2,0,1,1
House02,8,132,0,1,1,0,0,0
House02,9,130,1,0,1,1,0,1
House03,0,132,2,3,5,1,0,1
House03,1,136,3,2,5,1,0,1
House03,2,135,3,4,7,1,0,1
House03,3,132,2,4,6,0,0,0
House03,4,134,3,4,7,1,0,1
House03,5,136,6,2,8,0,0,0
House03,6,136,6,2,8,0,1,1
House03,7,136,7,3,10,1,0,1
House03,8,134,6,3,9,2,1,3
House03,9,135,3,4,7,1,0,1
