house,seed,prev_stop,next_stop,prev_last_sample_time_s,next_first_sample_time_s,gap_s,previous_last_measured_ppm,memory_only_lower_bound_mean_ppm,memory_bound_exceeds_threshold,next_block_archived_hit,memory_bound_implies_hit
House01,0,1,2,18.6,19.6,1.0,0.006014,0.0013809524909831569,False,False,False
House01,0,2,3,35.4,36.4,1.0,0.0,0.0,False,False,False
House01,0,3,4,52.2,53.2,1.0,0.0,0.0,False,False,False
House01,0,4,5,69.0,75.6,6.599999999999994,0.0,0.0,False,False,False
House01,0,5,6,91.4,92.4,1.0,0.117632,0.027011008217381224,False,False,False
House01,0,6,7,108.2,109.4,1.2000000000000028,0.043868,0.008526695129775223,False,False,False
House01,0,7,8,125.2,127.4,2.200000000000003,0.034769,0.0029370614436760325,False,False,False
House01,0,8,9,143.2,146.0,2.8000000000000114,0.051858,0.0026569865412531058,False,True,False
House01,0,9,10,161.8,162.8,1.0,0.089045,0.020446776614498702,False,False,False
House01,0,10,11,178.6,180.6,2.0,0.102123,0.010191234857759501,False,False,False
House01,0,11,12,196.4,197.4,1.0,0.081791,0.018781091651147885,False,False,False
House01,0,12,13,213.2,214.0,0.8000000000000114,0.08149,0.022105586676579594,False,True,False
House01,0,13,14,229.8,231.8,2.0,0.088372,0.008818971307638071,False,True,False
House01,0,14,15,247.6,250.6,3.0,0.376781,0.016341058017847097,False,True,False
House01,0,15,16,266.4,267.2,0.8000000000000114,0.097236,0.026376964364755107,False,True,False
House01,0,16,17,283.0,286.0,3.0,0.289944,0.012574922105750182,False,True,False
House01,1,1,2,20.4,21.4,1.0,0.092879,0.021327151049222583,False,True,False
House01,1,2,3,37.2,38.2,1.0,0.000312,7.164236401508894e-05,False,False,False
House01,1,3,4,54.0,55.0,1.0,0.0,0.0,False,False,False
House01,1,4,5,70.8,75.0,4.200000000000003,0.0,0.0,False,False,False
House01,1,5,6,90.8,91.8,1.0,0.0,0.0,False,False,False
House01,1,6,7,107.6,108.6,1.0,0.004241,0.0009738309800897185,False,False,False
House01,1,7,8,124.4,126.2,1.7999999999999972,0.039681,0.004678086713416427,False,False,False
House01,1,8,9,142.0,142.8,0.8000000000000114,0.026065,0.0070705867802803675,False,False,False
House01,1,9,10,158.6,160.8,2.200000000000017,0.081047,0.006846329167523039,False,True,False
House01,1,10,11,176.6,179.0,2.4000000000000057,0.073164,0.005231616002381431,False,False,False
House01,1,11,12,194.8,195.8,1.0,0.061092,0.014028125969262223,False,False,False
House01,1,12,13,211.6,212.4,0.8000000000000114,0.04793,0.013001850158405449,False,False,False
House01,1,13,14,228.2,232.0,3.8000000000000114,0.167871,0.0037379819541553966,False,True,False
House01,1,14,15,247.8,248.6,0.799999999999983,0.160652,0.043579662667394145,False,True,False
House01,1,15,16,264.4,265.2,0.8000000000000114,0.146117,0.03963678989350571,False,True,False
