member_type,member_id,transport_seed,height_quantile,q_status,q_value,source_independent
training,train_00,101,0.0625,FIXED_KNOWN,10.0,true
training,train_01,211,0.1875,FIXED_KNOWN,10.0,true
training,train_02,307,0.3125,FIXED_KNOWN,10.0,true
training,train_03,401,0.4375,FIXED_KNOWN,10.0,true
training,train_04,503,0.5625,FIXED_KNOWN,10.0,true
training,train_05,601,0.6875,FIXED_KNOWN,10.0,true
training,train_06,701,0.8125,FIXED_KNOWN,10.0,true
training,train_07,809,0.9375,FIXED_KNOWN,10.0,true
reserved,eval_00,907,0.125,FIXED_KNOWN,10.0,true
reserved,eval_01,1009,0.375,FIXED_KNOWN,10.0,true
reserved,eval_02,1103,0.625,FIXED_KNOWN,10.0,true
reserved,eval_03,1201,0.875,FIXED_KNOWN,10.0,true
