house,seed,status,reason,updates,used_completed_blocks,physical_stops,trailing_completed_blocks,trailing_full_pose_stops
H01,0,VALID_RUN,,5,128,16,8,2
H01,1,VALID_RUN,,5,128,16,9,2
H01,2,VALID_RUN,,5,128,16,5,1
H01,3,VALID_RUN,,5,128,16,8,2
H01,4,VALID_RUN,,5,128,16,8,2
H01,5,VALID_RUN,,5,128,16,8,2
H01,6,VALID_RUN,,5,128,16,8,2
H01,7,VALID_RUN,,5,128,16,7,1
H01,8,VALID_RUN,,5,128,16,8,2
H01,9,VALID_RUN,,5,128,16,8,2
H02,0,VALID_RUN,,5,128,16,9,2
H02,1,VALID_RUN,,5,128,16,8,2
H02,2,VALID_RUN,,5,128,16,9,2
H02,3,VALID_RUN,,5,128,16,9,2
H02,4,VALID_RUN,,5,128,16,8,2
H02,5,VALID_RUN,,5,128,16,5,1
H02,6,VALID_RUN,,5,128,16,5,1
H02,7,VALID_RUN,,5,128,16,7,1
H02,8,VALID_RUN,,5,128,16,4,1
H02,9,VALID_RUN,,5,128,16,2,1
H03,0,VALID_RUN,,5,128,16,4,1
H03,1,VALID_RUN,,5,128,16,8,2
H03,2,VALID_RUN,,5,128,16,7,1
H03,3,VALID_RUN,,5,128,16,4,1
H03,4,VALID_RUN,,5,128,16,6,1
H03,5,VALID_RUN,,5,128,16,8,2
H03,6,VALID_RUN,,5,128,16,8,2
H03,7,VALID_RUN,,5,128,16,8,2
H03,8,VALID_RUN,,5,128,16,6,1
H03,9,VALID_RUN,,5,128,16,7,1
