id,angle_deg,speed,noise,replica
train_00,-15,0.8,0.8,0
train_01,-15,0.8,1.0,0
train_02,-15,0.8,1.2,0
train_03,-15,1.0,0.8,0
train_04,-15,1.0,1.0,0
train_05,-15,1.0,1.2,0
train_06,-15,1.2,0.8,0
train_07,-15,1.2,1.0,0
train_08,-15,1.2,1.2,0
train_09,0,0.8,0.8,0
train_10,0,0.8,1.0,0
train_11,0,0.8,1.2,0
train_12,0,1.0,0.8,0
train_13,0,1.0,1.0,0
train_14,0,1.0,1.2,0
train_15,0,1.2,0.8,0
train_16,0,1.2,1.0,0
train_17,0,1.2,1.2,0
train_18,15,0.8,0.8,0
train_19,15,0.8,1.0,0
train_20,15,0.8,1.2,0
train_21,15,1.0,0.8,0
train_22,15,1.0,1.0,0
train_23,15,1.0,1.2,0
train_24,15,1.2,0.8,0
train_25,15,1.2,1.0,0
train_26,15,1.2,1.2,0
heldout_00,-7.5,0.9,0.9,1
heldout_01,-7.5,0.9,1.1,1
heldout_02,-7.5,1.1,0.9,1
heldout_03,-7.5,1.1,1.1,1
heldout_04,7.5,0.9,0.9,1
heldout_05,7.5,0.9,1.1,1
heldout_06,7.5,1.1,0.9,1
heldout_07,7.5,1.1,1.1,1
