requested_M	actual_M	split	cluster_sizes	M	top1	top3	cross_entropy	normalized_info_lower_bound
18	18	first8_to_last8	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"	18	0.902777777778	0.993055555556	1.947704	0.326141
18	18	last8_to_first8	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"	18	0.895833333333	1.000000000000	1.220090	0.577878
12	12	first8_to_last8	"[2, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 1]"	12	0.951388888889	0.993055555556	0.622317	0.749561
12	12	last8_to_first8	"[2, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 1]"	12	0.923611111111	1.000000000000	1.412824	0.431438
9	9	first8_to_last8	"[2, 2, 1, 2, 2, 2, 3, 3, 1]"	9	0.965277777778	1.000000000000	0.406193	0.815134
9	9	last8_to_first8	"[2, 2, 1, 2, 2, 2, 3, 3, 1]"	9	0.944444444444	1.000000000000	1.250246	0.430989
6	6	first8_to_last8	"[2, 3, 2, 4, 3, 4]"	6	0.993055555556	1.000000000000	0.300310	0.832394
6	6	last8_to_first8	"[2, 3, 2, 4, 3, 4]"	6	0.979166666667	1.000000000000	0.896699	0.499543
4	4	first8_to_last8	"[5, 6, 3, 4]"	4	0.993055555556	1.000000000000	0.367571	0.734853
4	4	last8_to_first8	"[5, 6, 3, 4]"	4	0.993055555556	1.000000000000	0.273071	0.803021
3	3	first8_to_last8	"[11, 3, 4]"	3	1.000000000000	1.000000000000	0.000000	1.000000
3	3	last8_to_first8	"[11, 3, 4]"	3	1.000000000000	1.000000000000	0.000000	1.000000
2	2	first8_to_last8	"[11, 7]"	2	0.944444444444	1.000000000000	0.522697	0.245908
2	2	last8_to_first8	"[11, 7]"	2	0.944444444444	1.000000000000	0.874241	-0.261264
