run_uuid,goal_id,event,outcome,sim_time,goal_x,goal_y
CTPI_H01_S12_M1M2_20260908T092501Z,1,SENT,PENDING,15.956,-4.1,-1.13
CTPI_H01_S12_M1M2_20260908T092501Z,1,RESULT,SUCCEEDED,16.6687,-4.1,-1.13
CTPI_H01_S12_M1M2_20260908T092501Z,2,SENT,PENDING,32.7319,-5,-0.83
CTPI_H01_S12_M1M2_20260908T092501Z,2,RESULT,SUCCEEDED,33.453,-5,-0.83
CTPI_H01_S12_M1M2_20260908T092501Z,3,SENT,PENDING,49.5388,-5.9,-0.83
CTPI_H01_S12_M1M2_20260908T092501Z,3,RESULT,SUCCEEDED,50.2492,-5.9,-0.83
CTPI_H01_S12_M1M2_20260908T092501Z,4,SENT,PENDING,67.1338,-6.2,2.17
CTPI_H01_S12_M1M2_20260908T092501Z,4,RESULT,SUCCEEDED,69.2865,-6.2,2.17
CTPI_H01_S12_M1M2_20260908T092501Z,5,SENT,PENDING,85.3437,-6.2,2.77
CTPI_H01_S12_M1M2_20260908T092501Z,5,RESULT,SUCCEEDED,85.8528,-6.2,2.77
CTPI_H01_S12_M1M2_20260908T092501Z,6,SENT,PENDING,101.847,-6.2,1.57
CTPI_H01_S12_M1M2_20260908T092501Z,6,RESULT,SUCCEEDED,102.845,-6.2,1.57
CTPI_H01_S12_M1M2_20260908T092501Z,7,SENT,PENDING,119.795,-5.6,0.0700002
CTPI_H01_S12_M1M2_20260908T092501Z,7,RESULT,SUCCEEDED,121.267,-5.6,0.0700002
CTPI_H01_S12_M1M2_20260908T092501Z,8,SENT,PENDING,137.709,-6.5,0.0700002
CTPI_H01_S12_M1M2_20260908T092501Z,8,RESULT,SUCCEEDED,138.478,-6.5,0.0700002
CTPI_H01_S12_M1M2_20260908T092501Z,9,SENT,PENDING,154.528,-7.1,0.37
CTPI_H01_S12_M1M2_20260908T092501Z,9,RESULT,SUCCEEDED,155.039,-7.1,0.37
CTPI_H01_S12_M1M2_20260908T092501Z,10,SENT,PENDING,172.01,-5.9,-0.23
CTPI_H01_S12_M1M2_20260908T092501Z,10,RESULT,SUCCEEDED,173.074,-5.9,-0.23
CTPI_H01_S12_M1M2_20260908T092501Z,11,SENT,PENDING,189.117,-6.5,-0.53
CTPI_H01_S12_M1M2_20260908T092501Z,11,RESULT,SUCCEEDED,189.679,-6.5,-0.53
CTPI_H01_S12_M1M2_20260908T092501Z,12,SENT,PENDING,205.729,-5,-0.23
CTPI_H01_S12_M1M2_20260908T092501Z,12,RESULT,SUCCEEDED,206.85,-5,-0.23
CTPI_H01_S12_M1M2_20260908T092501Z,13,SENT,PENDING,223.793,-5,0.37
CTPI_H01_S12_M1M2_20260908T092501Z,13,RESULT,SUCCEEDED,224.456,-5,0.37
