run_uuid,goal_id,event,outcome,sim_time,goal_x,goal_y
CTPI_H02_S12_M1_20260908T093450Z,1,SENT,PENDING,16.649,-1.64273,-2.50088
CTPI_H02_S12_M1_20260908T093450Z,1,RESULT,SUCCEEDED,17.5658,-1.64273,-2.50088
CTPI_H02_S12_M1_20260908T093450Z,2,SENT,PENDING,33.6535,-2.54273,-2.50088
CTPI_H02_S12_M1_20260908T093450Z,2,RESULT,SUCCEEDED,34.3651,-2.54273,-2.50088
CTPI_H02_S12_M1_20260908T093450Z,3,SENT,PENDING,50.4592,-3.44273,-2.50088
CTPI_H02_S12_M1_20260908T093450Z,3,RESULT,SUCCEEDED,51.1206,-3.44273,-2.50088
CTPI_H02_S12_M1_20260908T093450Z,4,SENT,PENDING,67.5415,-3.74273,-1.90088
CTPI_H02_S12_M1_20260908T093450Z,4,RESULT,SUCCEEDED,68.1506,-3.74273,-1.90088
CTPI_H02_S12_M1_20260908T093450Z,5,SENT,PENDING,84.1626,-0.74273,-3.10088
CTPI_H02_S12_M1_20260908T093450Z,5,RESULT,SUCCEEDED,86.543,-0.74273,-3.10088
CTPI_H02_S12_M1_20260908T093450Z,6,SENT,PENDING,102.661,-1.04273,-2.50088
CTPI_H02_S12_M1_20260908T093450Z,6,RESULT,SUCCEEDED,103.12,-1.04273,-2.50088
CTPI_H02_S12_M1_20260908T093450Z,7,SENT,PENDING,119.552,-4.04273,-2.80088
CTPI_H02_S12_M1_20260908T093450Z,7,RESULT,SUCCEEDED,121.786,-4.04273,-2.80088
CTPI_H02_S12_M1_20260908T093450Z,8,SENT,PENDING,137.755,-3.44273,-3.40088
CTPI_H02_S12_M1_20260908T093450Z,8,RESULT,SUCCEEDED,138.357,-3.44273,-3.40088
CTPI_H02_S12_M1_20260908T093450Z,9,SENT,PENDING,154.448,-4.04273,-3.40088
CTPI_H02_S12_M1_20260908T093450Z,9,RESULT,SUCCEEDED,154.96,-4.04273,-3.40088
CTPI_H02_S12_M1_20260908T093450Z,10,SENT,PENDING,171.358,-3.14273,-1.00088
CTPI_H02_S12_M1_20260908T093450Z,10,RESULT,SUCCEEDED,173.352,-3.14273,-1.00088
CTPI_H02_S12_M1_20260908T093450Z,11,SENT,PENDING,189.454,-3.14273,-1.60088
CTPI_H02_S12_M1_20260908T093450Z,11,RESULT,SUCCEEDED,189.962,-3.14273,-1.60088
CTPI_H02_S12_M1_20260908T093450Z,12,SENT,PENDING,206.048,-2.24273,-1.00088
CTPI_H02_S12_M1_20260908T093450Z,12,RESULT,SUCCEEDED,206.763,-2.24273,-1.00088
CTPI_H02_S12_M1_20260908T093450Z,13,SENT,PENDING,223.032,-1.94273,-1.60088
CTPI_H02_S12_M1_20260908T093450Z,13,RESULT,SUCCEEDED,223.543,-1.94273,-1.60088
CTPI_H02_S12_M1_20260908T093450Z,14,SENT,PENDING,239.652,-2.54273,-1.60088
