run_uuid,goal_id,event,outcome,sim_time,goal_x,goal_y
CTPI_H03_S12_A0_20260908T094444Z,1,SENT,PENDING,16.072,1.1,0.387
CTPI_H03_S12_A0_20260908T094444Z,1,RESULT,SUCCEEDED,16.7986,1.1,0.387
CTPI_H03_S12_A0_20260908T094444Z,2,SENT,PENDING,32.8413,0.2,0.387
CTPI_H03_S12_A0_20260908T094444Z,2,RESULT,SUCCEEDED,33.5987,0.2,0.387
CTPI_H03_S12_A0_20260908T094444Z,3,SENT,PENDING,49.6471,5.9,-0.213
CTPI_H03_S12_A0_20260908T094444Z,3,RESULT,SUCCEEDED,54.5993,5.9,-0.213
CTPI_H03_S12_A0_20260908T094444Z,4,SENT,PENDING,71.0855,7.1,-0.513
CTPI_H03_S12_A0_20260908T094444Z,4,RESULT,SUCCEEDED,72.0021,7.1,-0.513
CTPI_H03_S12_A0_20260908T094444Z,5,SENT,PENDING,88.0448,7.1,0.087
CTPI_H03_S12_A0_20260908T094444Z,5,RESULT,SUCCEEDED,88.5881,7.1,0.087
CTPI_H03_S12_A0_20260908T094444Z,6,SENT,PENDING,104.662,6.5,-0.213
CTPI_H03_S12_A0_20260908T094444Z,6,RESULT,SUCCEEDED,105.17,6.5,-0.213
CTPI_H03_S12_A0_20260908T094444Z,7,SENT,PENDING,121.6,8,-1.113
CTPI_H03_S12_A0_20260908T094444Z,7,RESULT,SUCCEEDED,123.023,8,-1.113
CTPI_H03_S12_A0_20260908T094444Z,8,SENT,PENDING,139.171,8.6,-1.113
CTPI_H03_S12_A0_20260908T094444Z,8,RESULT,SUCCEEDED,139.782,8.6,-1.113
CTPI_H03_S12_A0_20260908T094444Z,9,SENT,PENDING,155.849,7.4,-1.113
CTPI_H03_S12_A0_20260908T094444Z,9,RESULT,SUCCEEDED,156.773,7.4,-1.113
CTPI_H03_S12_A0_20260908T094444Z,10,SENT,PENDING,173.193,8.6,0.687
CTPI_H03_S12_A0_20260908T094444Z,10,RESULT,SUCCEEDED,174.817,8.6,0.687
CTPI_H03_S12_A0_20260908T094444Z,11,SENT,PENDING,190.852,8,0.387
CTPI_H03_S12_A0_20260908T094444Z,11,RESULT,SUCCEEDED,191.415,8,0.387
CTPI_H03_S12_A0_20260908T094444Z,12,SENT,PENDING,207.454,5.6,-1.113
CTPI_H03_S12_A0_20260908T094444Z,12,RESULT,SUCCEEDED,209.588,5.6,-1.113
CTPI_H03_S12_A0_20260908T094444Z,13,SENT,PENDING,226.009,6.2,0.987
CTPI_H03_S12_A0_20260908T094444Z,13,RESULT,SUCCEEDED,227.593,6.2,0.987
