run_uuid,goal_id,event,outcome,sim_time,goal_x,goal_y
CTPI_H02_S12_A0_20260908T113949Z,1,SENT,PENDING,15.8801,-1.64273,-2.50088
CTPI_H02_S12_A0_20260908T113949Z,1,RESULT,SUCCEEDED,16.8085,-1.64273,-2.50088
CTPI_H02_S12_A0_20260908T113949Z,2,SENT,PENDING,32.8587,-2.54273,-2.50088
CTPI_H02_S12_A0_20260908T113949Z,2,RESULT,SUCCEEDED,33.6315,-2.54273,-2.50088
CTPI_H02_S12_A0_20260908T113949Z,3,SENT,PENDING,49.7977,-3.44273,-2.50088
CTPI_H02_S12_A0_20260908T113949Z,3,RESULT,SUCCEEDED,50.6223,-3.44273,-2.50088
CTPI_H02_S12_A0_20260908T113949Z,4,SENT,PENDING,66.9991,-3.74273,-3.40088
CTPI_H02_S12_A0_20260908T113949Z,4,RESULT,SUCCEEDED,67.8134,-3.74273,-3.40088
CTPI_H02_S12_A0_20260908T113949Z,5,SENT,PENDING,83.8699,-3.14273,-3.70088
CTPI_H02_S12_A0_20260908T113949Z,5,RESULT,SUCCEEDED,84.4021,-3.14273,-3.70088
CTPI_H02_S12_A0_20260908T113949Z,6,SENT,PENDING,100.84,-1.94273,-1.30088
CTPI_H02_S12_A0_20260908T113949Z,6,RESULT,SUCCEEDED,102.823,-1.94273,-1.30088
CTPI_H02_S12_A0_20260908T113949Z,7,SENT,PENDING,119.22,-3.14273,-1.60088
CTPI_H02_S12_A0_20260908T113949Z,7,RESULT,SUCCEEDED,120.239,-3.14273,-1.60088
CTPI_H02_S12_A0_20260908T113949Z,8,SENT,PENDING,136.327,-3.74273,-1.90088
CTPI_H02_S12_A0_20260908T113949Z,8,RESULT,SUCCEEDED,136.836,-3.74273,-1.90088
CTPI_H02_S12_A0_20260908T113949Z,9,SENT,PENDING,152.933,-4.04273,-2.80088
CTPI_H02_S12_A0_20260908T113949Z,9,RESULT,SUCCEEDED,153.637,-4.04273,-2.80088
CTPI_H02_S12_A0_20260908T113949Z,10,SENT,PENDING,170.073,-1.64273,-1.90088
CTPI_H02_S12_A0_20260908T113949Z,10,RESULT,SUCCEEDED,172.054,-1.64273,-1.90088
CTPI_H02_S12_A0_20260908T113949Z,11,SENT,PENDING,188.136,-1.04273,-2.20088
CTPI_H02_S12_A0_20260908T113949Z,11,RESULT,SUCCEEDED,188.592,-1.04273,-2.20088
CTPI_H02_S12_A0_20260908T113949Z,12,SENT,PENDING,204.927,-1.04273,-2.80088
CTPI_H02_S12_A0_20260908T113949Z,12,RESULT,SUCCEEDED,205.436,-1.04273,-2.80088
CTPI_H02_S12_A0_20260908T113949Z,13,SENT,PENDING,221.825,-1.94273,-3.10088
CTPI_H02_S12_A0_20260908T113949Z,13,RESULT,SUCCEEDED,222.638,-1.94273,-3.10088
CTPI_H02_S12_A0_20260908T113949Z,14,SENT,PENDING,239.319,-1.34273,-1.30088
