run_uuid,goal_id,event,outcome,sim_time,goal_x,goal_y
CTPI_H02_S12_M1R_20260908T114446Z,1,SENT,PENDING,16.061,-1.64273,-2.50088
CTPI_H02_S12_M1R_20260908T114446Z,1,RESULT,SUCCEEDED,16.9647,-1.64273,-2.50088
CTPI_H02_S12_M1R_20260908T114446Z,2,SENT,PENDING,33.0485,-2.54273,-2.50088
CTPI_H02_S12_M1R_20260908T114446Z,2,RESULT,SUCCEEDED,33.8145,-2.54273,-2.50088
CTPI_H02_S12_M1R_20260908T114446Z,3,SENT,PENDING,49.8417,-3.44273,-2.50088
CTPI_H02_S12_M1R_20260908T114446Z,3,RESULT,SUCCEEDED,50.5647,-3.44273,-2.50088
CTPI_H02_S12_M1R_20260908T114446Z,4,SENT,PENDING,66.9368,-1.94273,-1.30088
CTPI_H02_S12_M1R_20260908T114446Z,4,RESULT,SUCCEEDED,68.3594,-1.94273,-1.30088
CTPI_H02_S12_M1R_20260908T114446Z,5,SENT,PENDING,84.6815,-2.54273,-1.30088
CTPI_H02_S12_M1R_20260908T114446Z,5,RESULT,SUCCEEDED,85.1895,-2.54273,-1.30088
CTPI_H02_S12_M1R_20260908T114446Z,6,SENT,PENDING,101.197,-3.14273,-1.60088
CTPI_H02_S12_M1R_20260908T114446Z,6,RESULT,SUCCEEDED,101.785,-3.14273,-1.60088
CTPI_H02_S12_M1R_20260908T114446Z,7,SENT,PENDING,118.188,-1.34273,-3.10088
CTPI_H02_S12_M1R_20260908T114446Z,7,RESULT,SUCCEEDED,119.967,-1.34273,-3.10088
CTPI_H02_S12_M1R_20260908T114446Z,8,SENT,PENDING,135.99,-1.04273,-3.70088
CTPI_H02_S12_M1R_20260908T114446Z,8,RESULT,SUCCEEDED,136.589,-1.04273,-3.70088
CTPI_H02_S12_M1R_20260908T114446Z,9,SENT,PENDING,152.587,-1.64273,-3.70088
CTPI_H02_S12_M1R_20260908T114446Z,9,RESULT,SUCCEEDED,153.189,-1.64273,-3.70088
CTPI_H02_S12_M1R_20260908T114446Z,10,SENT,PENDING,169.505,-4.04273,-2.20088
CTPI_H02_S12_M1R_20260908T114446Z,10,RESULT,SUCCEEDED,171.805,-4.04273,-2.20088
CTPI_H02_S12_M1R_20260908T114446Z,11,SENT,PENDING,187.889,-3.14273,-3.10088
CTPI_H02_S12_M1R_20260908T114446Z,11,RESULT,SUCCEEDED,188.805,-3.14273,-3.10088
CTPI_H02_S12_M1R_20260908T114446Z,12,SENT,PENDING,204.782,-3.74273,-1.60088
CTPI_H02_S12_M1R_20260908T114446Z,12,RESULT,SUCCEEDED,205.991,-3.74273,-1.60088
CTPI_H02_S12_M1R_20260908T114446Z,13,SENT,PENDING,222.262,1.05727,-3.40088
CTPI_H02_S12_M1R_20260908T114446Z,13,RESULT,SUCCEEDED,225.964,1.05727,-3.40088
