run_uuid,goal_id,event,outcome,sim_time,goal_x,goal_y
CTPI_H03_S12_M1M2R_20260908T120436Z,1,SENT,PENDING,15.9469,1.1,0.387
CTPI_H03_S12_M1M2R_20260908T120436Z,1,RESULT,SUCCEEDED,16.7002,1.1,0.387
CTPI_H03_S12_M1M2R_20260908T120436Z,2,SENT,PENDING,32.7469,0.2,0.387
CTPI_H03_S12_M1M2R_20260908T120436Z,2,RESULT,SUCCEEDED,33.5017,0.2,0.387
CTPI_H03_S12_M1M2R_20260908T120436Z,3,SENT,PENDING,49.5421,5.9,-0.213
CTPI_H03_S12_M1M2R_20260908T120436Z,3,RESULT,SUCCEEDED,54.5017,5.9,-0.213
CTPI_H03_S12_M1M2R_20260908T120436Z,4,SENT,PENDING,71.5792,6.8,0.087
CTPI_H03_S12_M1M2R_20260908T120436Z,4,RESULT,SUCCEEDED,72.2898,6.8,0.087
CTPI_H03_S12_M1M2R_20260908T120436Z,5,SENT,PENDING,88.3462,7.1,-0.513
CTPI_H03_S12_M1M2R_20260908T120436Z,5,RESULT,SUCCEEDED,88.8559,7.1,-0.513
CTPI_H03_S12_M1M2R_20260908T120436Z,6,SENT,PENDING,104.958,7.4,0.087
CTPI_H03_S12_M1M2R_20260908T120436Z,6,RESULT,SUCCEEDED,105.467,7.4,0.087
CTPI_H03_S12_M1M2R_20260908T120436Z,7,SENT,PENDING,122.553,7.1,-1.413
CTPI_H03_S12_M1M2R_20260908T120436Z,7,RESULT,SUCCEEDED,123.722,7.1,-1.413
CTPI_H03_S12_M1M2R_20260908T120436Z,8,SENT,PENDING,139.743,7.4,-1.113
CTPI_H03_S12_M1M2R_20260908T120436Z,8,RESULT,SUCCEEDED,140.105,7.4,-1.113
CTPI_H03_S12_M1M2R_20260908T120436Z,9,SENT,PENDING,156.15,6.8,-0.813
CTPI_H03_S12_M1M2R_20260908T120436Z,9,RESULT,SUCCEEDED,156.705,6.8,-0.813
CTPI_H03_S12_M1M2R_20260908T120436Z,10,SENT,PENDING,173.784,8,-0.213
CTPI_H03_S12_M1M2R_20260908T120436Z,10,RESULT,SUCCEEDED,174.713,8,-0.213
CTPI_H03_S12_M1M2R_20260908T120436Z,11,SENT,PENDING,190.749,8,-0.813
CTPI_H03_S12_M1M2R_20260908T120436Z,11,RESULT,SUCCEEDED,191.286,8,-0.813
CTPI_H03_S12_M1M2R_20260908T120436Z,12,SENT,PENDING,207.345,8,0.387
CTPI_H03_S12_M1M2R_20260908T120436Z,12,RESULT,SUCCEEDED,208.268,8,0.387
CTPI_H03_S12_M1M2R_20260908T120436Z,13,SENT,PENDING,225.442,5.9,0.687
CTPI_H03_S12_M1M2R_20260908T120436Z,13,RESULT,SUCCEEDED,227.069,5.9,0.687
