run_uuid,goal_id,event,outcome,sim_time,goal_x,goal_y
CTPI_H01_S12_M1M2R_20260908T121950Z,1,SENT,PENDING,15.95,-4.1,-1.13
CTPI_H01_S12_M1M2R_20260908T121950Z,1,RESULT,SUCCEEDED,16.7309,-4.1,-1.13
CTPI_H01_S12_M1M2R_20260908T121950Z,2,SENT,PENDING,32.7513,-5,-0.83
CTPI_H01_S12_M1M2R_20260908T121950Z,2,RESULT,SUCCEEDED,33.4636,-5,-0.83
CTPI_H01_S12_M1M2R_20260908T121950Z,3,SENT,PENDING,49.5415,-5.9,-0.83
CTPI_H01_S12_M1M2R_20260908T121950Z,3,RESULT,SUCCEEDED,50.267,-5.9,-0.83
CTPI_H01_S12_M1M2R_20260908T121950Z,4,SENT,PENDING,67.1422,-6.2,2.17
CTPI_H01_S12_M1M2R_20260908T121950Z,4,RESULT,SUCCEEDED,69.2799,-6.2,2.17
CTPI_H01_S12_M1M2R_20260908T121950Z,5,SENT,PENDING,85.3399,-6.2,2.77
CTPI_H01_S12_M1M2R_20260908T121950Z,5,RESULT,SUCCEEDED,85.8943,-6.2,2.77
CTPI_H01_S12_M1M2R_20260908T121950Z,6,SENT,PENDING,101.953,-6.8,2.47
CTPI_H01_S12_M1M2R_20260908T121950Z,6,RESULT,SUCCEEDED,102.463,-6.8,2.47
CTPI_H01_S12_M1M2R_20260908T121950Z,7,SENT,PENDING,119.443,-5.9,0.67
CTPI_H01_S12_M1M2R_20260908T121950Z,7,RESULT,SUCCEEDED,121.074,-5.9,0.67
CTPI_H01_S12_M1M2R_20260908T121950Z,8,SENT,PENDING,137.496,-5.9,1.27
CTPI_H01_S12_M1M2R_20260908T121950Z,8,RESULT,SUCCEEDED,138.086,-5.9,1.27
CTPI_H01_S12_M1M2R_20260908T121950Z,9,SENT,PENDING,154.095,-6.5,0.67
CTPI_H01_S12_M1M2R_20260908T121950Z,9,RESULT,SUCCEEDED,155.086,-6.5,0.67
CTPI_H01_S12_M1M2R_20260908T121950Z,10,SENT,PENDING,171.953,-5.9,0.0700002
CTPI_H01_S12_M1M2R_20260908T121950Z,10,RESULT,SUCCEEDED,172.46,-5.9,0.0700002
CTPI_H01_S12_M1M2R_20260908T121950Z,11,SENT,PENDING,188.588,-5.3,0.0700002
CTPI_H01_S12_M1M2R_20260908T121950Z,11,RESULT,SUCCEEDED,189.099,-5.3,0.0700002
CTPI_H01_S12_M1M2R_20260908T121950Z,12,SENT,PENDING,205.102,-6.5,1.57
CTPI_H01_S12_M1M2R_20260908T121950Z,12,RESULT,SUCCEEDED,206.69,-6.5,1.57
CTPI_H01_S12_M1M2R_20260908T121950Z,13,SENT,PENDING,223.62,-5.6,1.87
CTPI_H01_S12_M1M2R_20260908T121950Z,13,RESULT,SUCCEEDED,224.486,-5.6,1.87
