t_sim_s,x,y,z
0.0,-3.17,-1.75,0.3
0.2,-3.1999999999999993,-1.6660555127546393,0.3
0.4,-3.1999999999999993,-1.5660555127546392,0.3
0.6,-3.1999999999999993,-1.466055512754639,0.3
0.8,-3.1999999999999993,-1.366055512754639,0.3
1.0,-3.1999999999999993,-1.266055512754639,0.3
1.2,-3.1999999999999993,-1.1660555127546388,0.3
1.4,-3.1999999999999993,-1.0660555127546387,0.3
1.6,-3.1999999999999993,-0.9660555127546387,0.3
1.8,-3.1999999999999993,-0.8660555127546388,0.3
2.0,-3.1999999999999993,-0.7660555127546388,0.3
2.2,-3.1999999999999993,-0.6660555127546388,0.3
2.4,-3.1999999999999993,-0.5660555127546388,0.3
2.6,-3.1999999999999993,-0.46605551275463886,0.3
2.8,-3.1999999999999993,-0.3660555127546389,0.3
3.0,-3.1999999999999993,-0.2660555127546389,0.3
3.2,-3.1999999999999993,-0.1660555127546389,0.3
3.4,-3.1999999999999993,-0.06605551275463889,0.3
3.6,-3.1999999999999993,0.033944487245361116,0.3
3.8,-3.1360555127546386,0.07000000000000028,0.3
4.0,-3.0360555127546385,0.07000000000000028,0.3
4.2,-2.9360555127546384,0.07000000000000028,0.3
4.4,-2.8360555127546383,0.07000000000000028,0.3
4.6,-2.736055512754638,0.07000000000000028,0.3
4.8,-2.636055512754638,0.07000000000000028,0.3
5.0,-2.536055512754638,0.07000000000000028,0.3
5.2,-2.436055512754638,0.07000000000000028,0.3
5.4,-2.336055512754638,0.07000000000000028,0.3
5.6,-2.2360555127546378,0.07000000000000028,0.3
5.8,-2.1360555127546377,0.07000000000000028,0.3
6.0,-2.0360555127546376,0.07000000000000028,0.3
6.2,-1.9360555127546375,0.07000000000000028,0.3
6.4,-1.8360555127546374,0.07000000000000028,0.3
6.6,-1.7360555127546373,0.07000000000000028,0.3
6.8,-1.6999999999999993,0.006055512754638309,0.3
7.0,-1.6999999999999993,-0.0939444872453617,0.3
7.2,-1.6999999999999993,-0.1939444872453617,0.3
7.4,-1.6999999999999993,-0.2939444872453617,0.3
7.6,-1.6360555127546368,-0.3299999999999992,0.3
7.8,-1.5999999999999996,-0.393944487245362,0.3
8.0,-1.5999999999999996,-0.493944487245362,0.3
8.2,-1.5999999999999996,-0.593944487245362,0.3
8.4,-1.5999999999999996,-0.693944487245362,0.3
8.6,-1.5999999999999996,-0.7939444872453619,0.3
8.8,-1.5999999999999996,-0.8939444872453619,0.3
9.0,-1.5999999999999996,-0.9939444872453619,0.3
9.2,-1.6639444872453621,-1.0299999999999994,0.3
9.4,-1.6999999999999993,-1.0939444872453623,0.3
9.6,-1.6999999999999993,-1.1939444872453624,0.3
9.8,-1.6999999999999993,-1.2939444872453625,0.3
10.0,-1.6999999999999993,-1.3939444872453626,0.3
10.2,-1.6999999999999993,-1.4939444872453627,0.3
10.4,-1.6999999999999993,-1.5939444872453628,0.3
10.6,-1.6999999999999993,-1.6939444872453628,0.3
10.8,-1.6999999999999993,-1.793944487245363,0.3
11.0,-1.6999999999999993,-1.893944487245363,0.3
11.2,-1.6999999999999993,-1.993944487245363,0.3
11.4,-1.6999999999999993,-2.093944487245363,0.3
11.6,-1.6999999999999993,-2.1939444872453633,0.3
11.8,-1.6999999999999993,-2.2939444872453634,0.3
12.0,-1.6999999999999993,-2.3939444872453635,0.3
12.2,-1.6999999999999993,-2.4939444872453636,0.3
12.4,-1.6999999999999993,-2.5939444872453636,0.3
12.6,-1.6999999999999993,-2.6939444872453637,0.3
12.8,-1.6999999999999993,-2.793944487245364,0.3
13.0,-1.6999999999999993,-2.893944487245364,0.3
13.2,-1.6999999999999993,-2.993944487245364,0.3
13.4,-1.6999999999999993,-3.093944487245364,0.3
13.6,-1.7639444872453636,-3.13,0.3
13.8,-1.8639444872453637,-3.13,0.3
14.0,-1.9639444872453637,-3.13,0.3
14.2,-2.063944487245364,-3.13,0.3
14.4,-2.163944487245364,-3.13,0.3
14.6,-2.263944487245364,-3.13,0.3
14.8,-2.363944487245364,-3.13,0.3
15.0,-2.463944487245364,-3.13,0.3
15.2,-2.5639444872453643,-3.13,0.3
15.4,-2.6639444872453644,-3.13,0.3
15.6,-2.7639444872453645,-3.13,0.3
15.8,-2.8639444872453645,-3.13,0.3
16.0,-2.9639444872453646,-3.13,0.3
16.2,-3.0639444872453647,-3.13,0.3
16.4,-3.163944487245365,-3.13,0.3
16.6,-3.263944487245365,-3.13,0.3
16.8,-3.363944487245365,-3.13,0.3
17.0,-3.463944487245365,-3.13,0.3
17.2,-3.563944487245365,-3.13,0.3
17.4,-3.6639444872453653,-3.13,0.3
17.6,-3.6999999999999997,-3.1939444872453655,0.3
17.8,-3.763944487245366,-3.2299999999999995,0.3
18.0,-3.863944487245366,-3.2299999999999995,0.3
18.2,-3.963944487245366,-3.2299999999999995,0.3
18.4,-4.063944487245366,-3.2299999999999995,0.3
18.6,-4.163944487245366,-3.2299999999999995,0.3
18.8,-4.263944487245365,-3.2299999999999995,0.3
19.0,-4.363944487245365,-3.2299999999999995,0.3
19.2,-4.463944487245365,-3.2299999999999995,0.3
19.4,-4.563944487245364,-3.2299999999999995,0.3
19.6,-4.663944487245364,-3.2299999999999995,0.3
19.8,-4.763944487245364,-3.2299999999999995,0.3
20.0,-4.863944487245363,-3.2299999999999995,0.3
20.2,-4.963944487245363,-3.2299999999999995,0.3
20.4,-5.0639444872453625,-3.2299999999999995,0.3
20.6,-5.163944487245362,-3.2299999999999995,0.3
20.8,-5.263944487245362,-3.2299999999999995,0.3
21.0,-5.363944487245361,-3.2299999999999995,0.3
21.2,-5.463944487245361,-3.2299999999999995,0.3
21.4,-5.563944487245361,-3.2299999999999995,0.3
21.6,-5.66394448724536,-3.2299999999999995,0.3
21.8,-5.699999999999999,-3.2939444872453607,0.3
22.0,-5.699999999999999,-3.393944487245361,0.3
22.2,-5.699999999999999,-3.493944487245361,0.3
22.4,-5.699999999999999,-3.593944487245361,0.3
22.6,-5.699999999999999,-3.693944487245361,0.3
22.8,-5.763944487245361,-3.7299999999999995,0.3
23.0,-5.8639444872453605,-3.7299999999999995,0.3
23.2,-5.96394448724536,-3.7299999999999995,0.3
23.4,-6.06394448724536,-3.7299999999999995,0.3
23.6,-6.1639444872453595,-3.7299999999999995,0.3
23.8,-6.263944487245359,-3.7299999999999995,0.3
24.0,-6.363944487245359,-3.7299999999999995,0.3
24.2,-6.463944487245358,-3.7299999999999995,0.3
24.4,-6.563944487245358,-3.7299999999999995,0.3
24.6,-6.663944487245358,-3.7299999999999995,0.3
24.8,-6.763944487245357,-3.7299999999999995,0.3
25.0,-6.863944487245357,-3.7299999999999995,0.3
25.2,-6.963944487245357,-3.7299999999999995,0.3
25.4,-7.063944487245356,-3.7299999999999995,0.3
25.6,-7.163944487245356,-3.7299999999999995,0.3
25.8,-7.263944487245356,-3.7299999999999995,0.3
26.0,-7.3,-3.7939444872453554,0.3
26.2,-7.3,-3.8939444872453555,0.3
26.4,-7.3,-3.9939444872453556,0.3
26.6,-7.3,-4.093944487245356,0.3
26.8,-7.3,-4.193944487245355,0.3
27.0,-7.3,-4.293944487245355,0.3
27.2,-7.3,-4.393944487245355,0.3
27.4,-7.3,-4.493944487245354,0.3
27.6,-7.3,-4.593944487245354,0.3
27.8,-7.3,-4.6939444872453535,0.3
28.0,-7.3,-4.793944487245353,0.3
28.2,-7.3,-4.893944487245353,0.3
28.4,-7.3,-4.9939444872453524,0.3
28.6,-7.3,-5.093944487245352,0.3
28.8,-7.3,-5.193944487245352,0.3
29.0,-7.3,-5.293944487245351,0.3
29.2,-7.3,-5.393944487245351,0.3
29.4,-7.3,-5.493944487245351,0.3
29.6,-7.3,-5.59394448724535,0.3
29.8,-7.3,-5.69394448724535,0.3
30.0,-7.3,-5.79394448724535,0.3
30.2,-7.3,-5.893944487245349,0.3
30.4,-7.3,-5.993944487245349,0.3
30.6,-7.3,-6.0939444872453485,0.3
30.8,-7.3,-6.193944487245348,0.3
31.0,-7.3,-6.293944487245348,0.3
31.2,-7.3,-6.3939444872453475,0.3
31.4,-7.3,-6.493944487245347,0.3
31.6,-7.3,-6.593944487245347,0.3
31.8,-7.3,-6.693944487245346,0.3
32.0,-7.3,-6.793944487245346,0.3
32.2,-7.3,-6.893944487245346,0.3
32.4,-7.3,-6.993944487245345,0.3
32.6,-7.3,-7.093944487245345,0.3
32.8,-7.3,-7.193944487245345,0.3
33.0,-7.3,-7.293944487245344,0.3
33.2,-7.3,-7.393944487245344,0.3
33.4,-7.3,-7.493944487245344,0.3
33.6,-7.3,-7.593944487245343,0.3
33.8,-7.3,-7.566055512754657,0.3
34.0,-7.3,-7.466055512754657,0.3
34.2,-7.3,-7.366055512754658,0.3
34.4,-7.3,-7.266055512754658,0.3
34.6,-7.3,-7.166055512754658,0.3
34.8,-7.3,-7.066055512754659,0.3
35.0,-7.3,-6.966055512754659,0.3
35.2,-7.3,-6.866055512754659,0.3
35.4,-7.3,-6.76605551275466,0.3
