run_uuid,goal_id,event,outcome,sim_time,goal_x,goal_y
CTPI_H01_S8_A0_20260908T151343Z,1,SENT,PENDING,16.1351,-4.1,-1.13
CTPI_H01_S8_A0_20260908T151343Z,1,RESULT,SUCCEEDED,16.8496,-4.1,-1.13
CTPI_H01_S8_A0_20260908T151343Z,2,SENT,PENDING,32.9301,-5,-0.83
CTPI_H01_S8_A0_20260908T151343Z,2,RESULT,SUCCEEDED,33.6867,-5,-0.83
CTPI_H01_S8_A0_20260908T151343Z,3,SENT,PENDING,49.7376,-5.9,-0.83
CTPI_H01_S8_A0_20260908T151343Z,3,RESULT,SUCCEEDED,50.4514,-5.9,-0.83
CTPI_H01_S8_A0_20260908T151343Z,4,SENT,PENDING,66.6998,-5.9,0.37
CTPI_H01_S8_A0_20260908T151343Z,4,RESULT,SUCCEEDED,67.6668,-5.9,0.37
CTPI_H01_S8_A0_20260908T151343Z,5,SENT,PENDING,83.7463,-5.9,1.57
CTPI_H01_S8_A0_20260908T151343Z,5,RESULT,SUCCEEDED,84.7025,-5.9,1.57
CTPI_H01_S8_A0_20260908T151343Z,6,SENT,PENDING,100.753,-6.2,2.17
CTPI_H01_S8_A0_20260908T151343Z,6,RESULT,SUCCEEDED,101.264,-6.2,2.17
CTPI_H01_S8_A0_20260908T151343Z,7,SENT,PENDING,117.653,-6.5,-0.23
CTPI_H01_S8_A0_20260908T151343Z,7,RESULT,SUCCEEDED,119.69,-6.5,-0.23
CTPI_H01_S8_A0_20260908T151343Z,8,SENT,PENDING,135.729,-6.8,0.37
CTPI_H01_S8_A0_20260908T151343Z,8,RESULT,SUCCEEDED,136.292,-6.8,0.37
CTPI_H01_S8_A0_20260908T151343Z,9,SENT,PENDING,152.238,-5,0.0700002
CTPI_H01_S8_A0_20260908T151343Z,9,RESULT,SUCCEEDED,153.681,-5,0.0700002
CTPI_H01_S8_A0_20260908T151343Z,10,SENT,PENDING,170.043,-4.1,-0.23
CTPI_H01_S8_A0_20260908T151343Z,10,RESULT,SUCCEEDED,170.858,-4.1,-0.23
CTPI_H01_S8_A0_20260908T151343Z,11,SENT,PENDING,186.94,-5.6,2.47
CTPI_H01_S8_A0_20260908T151343Z,11,RESULT,SUCCEEDED,189.681,-5.6,2.47
CTPI_H01_S8_A0_20260908T151343Z,12,SENT,PENDING,205.743,-6.2,2.77
CTPI_H01_S8_A0_20260908T151343Z,12,RESULT,SUCCEEDED,206.252,-6.2,2.77
CTPI_H01_S8_A0_20260908T151343Z,13,SENT,PENDING,222.646,-6.8,2.17
CTPI_H01_S8_A0_20260908T151343Z,13,RESULT,SUCCEEDED,223.259,-6.8,2.17
CTPI_H01_S8_A0_20260908T151343Z,14,SENT,PENDING,239.333,-5.6,3.07
