run_uuid,goal_id,event,outcome,sim_time,goal_x,goal_y
CTPI_H02_S9_A0_20260908T145143Z,1,SENT,PENDING,16.1458,-1.64273,-2.50088
CTPI_H02_S9_A0_20260908T145143Z,1,RESULT,SUCCEEDED,17.0636,-1.64273,-2.50088
CTPI_H02_S9_A0_20260908T145143Z,2,SENT,PENDING,33.0454,-2.54273,-2.50088
CTPI_H02_S9_A0_20260908T145143Z,2,RESULT,SUCCEEDED,33.8476,-2.54273,-2.50088
CTPI_H02_S9_A0_20260908T145143Z,3,SENT,PENDING,49.8468,-3.44273,-2.50088
CTPI_H02_S9_A0_20260908T145143Z,3,RESULT,SUCCEEDED,50.6478,-3.44273,-2.50088
CTPI_H02_S9_A0_20260908T145143Z,4,SENT,PENDING,67.0322,-2.54273,-1.30088
CTPI_H02_S9_A0_20260908T145143Z,4,RESULT,SUCCEEDED,68.2494,-2.54273,-1.30088
CTPI_H02_S9_A0_20260908T145143Z,5,SENT,PENDING,84.3449,-1.64273,-1.30088
CTPI_H02_S9_A0_20260908T145143Z,5,RESULT,SUCCEEDED,85.0583,-1.64273,-1.30088
CTPI_H02_S9_A0_20260908T145143Z,6,SENT,PENDING,101.157,-1.04273,-2.80088
CTPI_H02_S9_A0_20260908T145143Z,6,RESULT,SUCCEEDED,102.227,-1.04273,-2.80088
CTPI_H02_S9_A0_20260908T145143Z,7,SENT,PENDING,118.657,-0.44273,-3.10088
CTPI_H02_S9_A0_20260908T145143Z,7,RESULT,SUCCEEDED,119.216,-0.44273,-3.10088
CTPI_H02_S9_A0_20260908T145143Z,8,SENT,PENDING,135.365,-3.74273,-1.90088
CTPI_H02_S9_A0_20260908T145143Z,8,RESULT,SUCCEEDED,138.058,-3.74273,-1.90088
CTPI_H02_S9_A0_20260908T145143Z,9,SENT,PENDING,154.143,-3.44273,-3.10088
CTPI_H02_S9_A0_20260908T145143Z,9,RESULT,SUCCEEDED,155.06,-3.44273,-3.10088
CTPI_H02_S9_A0_20260908T145143Z,10,SENT,PENDING,171.437,-4.34273,-3.10088
CTPI_H02_S9_A0_20260908T145143Z,10,RESULT,SUCCEEDED,172.252,-4.34273,-3.10088
CTPI_H02_S9_A0_20260908T145143Z,11,SENT,PENDING,188.241,-4.04273,-2.50088
CTPI_H02_S9_A0_20260908T145143Z,11,RESULT,SUCCEEDED,188.839,-4.04273,-2.50088
CTPI_H02_S9_A0_20260908T145143Z,12,SENT,PENDING,204.946,-4.34273,-1.60088
CTPI_H02_S9_A0_20260908T145143Z,12,RESULT,SUCCEEDED,205.659,-4.34273,-1.60088
CTPI_H02_S9_A0_20260908T145143Z,13,SENT,PENDING,221.902,-3.74273,-1.30088
CTPI_H02_S9_A0_20260908T145143Z,13,RESULT,SUCCEEDED,222.462,-3.74273,-1.30088
CTPI_H02_S9_A0_20260908T145143Z,14,SENT,PENDING,238.542,-3.14273,-1.30088
CTPI_H02_S9_A0_20260908T145143Z,14,RESULT,SUCCEEDED,239.05,-3.14273,-1.30088
