run_uuid,goal_id,event,outcome,sim_time,goal_x,goal_y
CTPI_H02_S9_M1E_20260908T145641Z,1,SENT,PENDING,15.9549,-1.64273,-2.50088
CTPI_H02_S9_M1E_20260908T145641Z,1,RESULT,SUCCEEDED,16.8702,-1.64273,-2.50088
CTPI_H02_S9_M1E_20260908T145641Z,2,SENT,PENDING,32.9513,-2.54273,-2.50088
CTPI_H02_S9_M1E_20260908T145641Z,2,RESULT,SUCCEEDED,33.7065,-2.54273,-2.50088
CTPI_H02_S9_M1E_20260908T145641Z,3,SENT,PENDING,49.7427,-3.44273,-2.50088
CTPI_H02_S9_M1E_20260908T145641Z,3,RESULT,SUCCEEDED,50.4566,-3.44273,-2.50088
CTPI_H02_S9_M1E_20260908T145641Z,4,SENT,PENDING,67.3732,-3.44273,-1.90088
CTPI_H02_S9_M1E_20260908T145641Z,4,RESULT,SUCCEEDED,67.8817,-3.44273,-1.90088
CTPI_H02_S9_M1E_20260908T145641Z,5,SENT,PENDING,83.9499,-2.84273,-1.60088
CTPI_H02_S9_M1E_20260908T145641Z,5,RESULT,SUCCEEDED,84.4612,-2.84273,-1.60088
CTPI_H02_S9_M1E_20260908T145641Z,6,SENT,PENDING,100.549,-1.04273,-3.40088
CTPI_H02_S9_M1E_20260908T145641Z,6,RESULT,SUCCEEDED,102.253,-1.04273,-3.40088
CTPI_H02_S9_M1E_20260908T145641Z,7,SENT,PENDING,119.299,-0.44273,-3.10088
CTPI_H02_S9_M1E_20260908T145641Z,7,RESULT,SUCCEEDED,119.858,-0.44273,-3.10088
CTPI_H02_S9_M1E_20260908T145641Z,8,SENT,PENDING,135.942,0.15727,-2.80088
CTPI_H02_S9_M1E_20260908T145641Z,8,RESULT,SUCCEEDED,136.45,0.15727,-2.80088
CTPI_H02_S9_M1E_20260908T145641Z,9,SENT,PENDING,152.545,-3.44273,-3.10088
CTPI_H02_S9_M1E_20260908T145641Z,9,RESULT,SUCCEEDED,155.051,-3.44273,-3.10088
CTPI_H02_S9_M1E_20260908T145641Z,10,SENT,PENDING,172.075,-4.04273,-3.10088
CTPI_H02_S9_M1E_20260908T145641Z,10,RESULT,SUCCEEDED,172.688,-4.04273,-3.10088
CTPI_H02_S9_M1E_20260908T145641Z,11,SENT,PENDING,188.753,-2.24273,-1.30088
CTPI_H02_S9_M1E_20260908T145641Z,11,RESULT,SUCCEEDED,190.484,-2.24273,-1.30088
CTPI_H02_S9_M1E_20260908T145641Z,12,SENT,PENDING,206.535,-1.64273,-1.00088
CTPI_H02_S9_M1E_20260908T145641Z,12,RESULT,SUCCEEDED,207.055,-1.64273,-1.00088
CTPI_H02_S9_M1E_20260908T145641Z,13,SENT,PENDING,223.95,-4.64273,-3.10088
CTPI_H02_S9_M1E_20260908T145641Z,13,RESULT,SUCCEEDED,226.493,-4.64273,-3.10088
