run_uuid,goal_id,event,outcome,sim_time,goal_x,goal_y
CTPI_H01_S6_M1F_20260908T160445Z,1,SENT,PENDING,16.0479,-4.1,-1.13
CTPI_H01_S6_M1F_20260908T160445Z,1,RESULT,SUCCEEDED,16.7511,-4.1,-1.13
CTPI_H01_S6_M1F_20260908T160445Z,2,SENT,PENDING,32.835,-5,-0.83
CTPI_H01_S6_M1F_20260908T160445Z,2,RESULT,SUCCEEDED,33.6016,-5,-0.83
CTPI_H01_S6_M1F_20260908T160445Z,3,SENT,PENDING,50.3979,-5.9,-0.83
CTPI_H01_S6_M1F_20260908T160445Z,3,RESULT,SUCCEEDED,51.1611,-5.9,-0.83
CTPI_H01_S6_M1F_20260908T160445Z,4,SENT,PENDING,68.5741,-6.2,-5.03
CTPI_H01_S6_M1F_20260908T160445Z,4,RESULT,SUCCEEDED,77.7756,-6.2,-5.03
CTPI_H01_S6_M1F_20260908T160445Z,5,SENT,PENDING,95.1457,-3.2,-5.93
CTPI_H01_S6_M1F_20260908T160445Z,5,RESULT,SUCCEEDED,99.9976,-3.2,-5.93
CTPI_H01_S6_M1F_20260908T160445Z,6,SENT,PENDING,117.219,-0.2,-6.53
CTPI_H01_S6_M1F_20260908T160445Z,6,RESULT,SUCCEEDED,122.171,-0.2,-6.53
CTPI_H01_S6_M1F_20260908T160445Z,7,SENT,PENDING,139.252,-0.2,-7.13
CTPI_H01_S6_M1F_20260908T160445Z,7,RESULT,SUCCEEDED,139.761,-0.2,-7.13
CTPI_H01_S6_M1F_20260908T160445Z,8,SENT,PENDING,156.871,0.4,-7.13
CTPI_H01_S6_M1F_20260908T160445Z,8,RESULT,SUCCEEDED,157.379,0.4,-7.13
CTPI_H01_S6_M1F_20260908T160445Z,9,SENT,PENDING,174.46,-0.8,-5.93
CTPI_H01_S6_M1F_20260908T160445Z,9,RESULT,SUCCEEDED,175.579,-0.8,-5.93
CTPI_H01_S6_M1F_20260908T160445Z,10,SENT,PENDING,192.646,0.4,-6.53
CTPI_H01_S6_M1F_20260908T160445Z,10,RESULT,SUCCEEDED,193.613,0.4,-6.53
CTPI_H01_S6_M1F_20260908T160445Z,11,SENT,PENDING,210.516,-1.7,-3.23
CTPI_H01_S6_M1F_20260908T160445Z,11,RESULT,SUCCEEDED,213.768,-1.7,-3.23
CTPI_H01_S6_M1F_20260908T160445Z,12,SENT,PENDING,230.815,-3.5,2.17
CTPI_H01_S6_M1F_20260908T160445Z,12,RESULT,SUCCEEDED,235.766,-3.5,2.17
