run_uuid,goal_id,event,outcome,sim_time,goal_x,goal_y
CTPI_H03_S6_A0_20260908T162055Z,1,SENT,PENDING,16.0592,1.1,0.387
CTPI_H03_S6_A0_20260908T162055Z,1,RESULT,SUCCEEDED,16.7573,1.1,0.387
CTPI_H03_S6_A0_20260908T162055Z,2,SENT,PENDING,32.8496,0.2,0.387
CTPI_H03_S6_A0_20260908T162055Z,2,RESULT,SUCCEEDED,33.5573,0.2,0.387
CTPI_H03_S6_A0_20260908T162055Z,3,SENT,PENDING,49.9605,5.9,-0.213
CTPI_H03_S6_A0_20260908T162055Z,3,RESULT,SUCCEEDED,54.9625,5.9,-0.213
CTPI_H03_S6_A0_20260908T162055Z,4,SENT,PENDING,71.3948,7.4,-0.513
CTPI_H03_S6_A0_20260908T162055Z,4,RESULT,SUCCEEDED,72.5735,7.4,-0.513
CTPI_H03_S6_A0_20260908T162055Z,5,SENT,PENDING,88.9944,7.7,0.687
CTPI_H03_S6_A0_20260908T162055Z,5,RESULT,SUCCEEDED,89.9633,7.7,0.687
CTPI_H03_S6_A0_20260908T162055Z,6,SENT,PENDING,106.409,7.7,-1.413
CTPI_H03_S6_A0_20260908T162055Z,6,RESULT,SUCCEEDED,107.987,7.7,-1.413
CTPI_H03_S6_A0_20260908T162055Z,7,SENT,PENDING,124.595,6.8,0.687
CTPI_H03_S6_A0_20260908T162055Z,7,RESULT,SUCCEEDED,126.382,6.8,0.687
CTPI_H03_S6_A0_20260908T162055Z,8,SENT,PENDING,142.79,8.6,-0.213
CTPI_H03_S6_A0_20260908T162055Z,8,RESULT,SUCCEEDED,144.416,8.6,-0.213
CTPI_H03_S6_A0_20260908T162055Z,9,SENT,PENDING,160.785,9.5,-0.213
CTPI_H03_S6_A0_20260908T162055Z,9,RESULT,SUCCEEDED,161.547,9.5,-0.213
CTPI_H03_S6_A0_20260908T162055Z,10,SENT,PENDING,177.994,5.3,-0.513
CTPI_H03_S6_A0_20260908T162055Z,10,RESULT,SUCCEEDED,180.993,5.3,-0.513
CTPI_H03_S6_A0_20260908T162055Z,11,SENT,PENDING,197.395,6.2,0.987
CTPI_H03_S6_A0_20260908T162055Z,11,RESULT,SUCCEEDED,198.769,6.2,0.987
CTPI_H03_S6_A0_20260908T162055Z,12,SENT,PENDING,215.405,5.6,-1.113
CTPI_H03_S6_A0_20260908T162055Z,12,RESULT,SUCCEEDED,216.983,5.6,-1.113
CTPI_H03_S6_A0_20260908T162055Z,13,SENT,PENDING,233.402,5.6,0.387
CTPI_H03_S6_A0_20260908T162055Z,13,RESULT,SUCCEEDED,234.571,5.6,0.387
