run_uuid,goal_id,event,outcome,sim_time,goal_x,goal_y
CTPI_H01_S11_A0_20260908T132928Z,1,SENT,PENDING,15.946,-4.1,-1.13
CTPI_H01_S11_A0_20260908T132928Z,1,RESULT,SUCCEEDED,16.7113,-4.1,-1.13
CTPI_H01_S11_A0_20260908T132928Z,2,SENT,PENDING,32.7371,-5,-0.83
CTPI_H01_S11_A0_20260908T132928Z,2,RESULT,SUCCEEDED,33.4977,-5,-0.83
CTPI_H01_S11_A0_20260908T132928Z,3,SENT,PENDING,49.5274,-5.9,-0.83
CTPI_H01_S11_A0_20260908T132928Z,3,RESULT,SUCCEEDED,50.2977,-5.9,-0.83
CTPI_H01_S11_A0_20260908T132928Z,4,SENT,PENDING,66.6424,-5.9,0.0700002
CTPI_H01_S11_A0_20260908T132928Z,4,RESULT,SUCCEEDED,67.4577,-5.9,0.0700002
CTPI_H01_S11_A0_20260908T132928Z,5,SENT,PENDING,83.5439,-5.9,0.67
CTPI_H01_S11_A0_20260908T132928Z,5,RESULT,SUCCEEDED,84.1038,-5.9,0.67
CTPI_H01_S11_A0_20260908T132928Z,6,SENT,PENDING,100.144,-5.9,1.87
CTPI_H01_S11_A0_20260908T132928Z,6,RESULT,SUCCEEDED,101.062,-5.9,1.87
CTPI_H01_S11_A0_20260908T132928Z,7,SENT,PENDING,117.482,-5.6,2.77
CTPI_H01_S11_A0_20260908T132928Z,7,RESULT,SUCCEEDED,118.297,-5.6,2.77
CTPI_H01_S11_A0_20260908T132928Z,8,SENT,PENDING,134.345,-6.2,2.77
CTPI_H01_S11_A0_20260908T132928Z,8,RESULT,SUCCEEDED,134.906,-6.2,2.77
CTPI_H01_S11_A0_20260908T132928Z,9,SENT,PENDING,150.949,-4.4,-0.23
CTPI_H01_S11_A0_20260908T132928Z,9,RESULT,SUCCEEDED,153.699,-4.4,-0.23
CTPI_H01_S11_A0_20260908T132928Z,10,SENT,PENDING,170.063,-3.8,0.37
CTPI_H01_S11_A0_20260908T132928Z,10,RESULT,SUCCEEDED,170.674,-3.8,0.37
CTPI_H01_S11_A0_20260908T132928Z,11,SENT,PENDING,186.741,-6.8,2.17
CTPI_H01_S11_A0_20260908T132928Z,11,RESULT,SUCCEEDED,189.687,-6.8,2.17
CTPI_H01_S11_A0_20260908T132928Z,12,SENT,PENDING,205.74,-6.8,2.77
CTPI_H01_S11_A0_20260908T132928Z,12,RESULT,SUCCEEDED,206.293,-6.8,2.77
CTPI_H01_S11_A0_20260908T132928Z,13,SENT,PENDING,222.654,-6.5,1.57
CTPI_H01_S11_A0_20260908T132928Z,13,RESULT,SUCCEEDED,223.72,-6.5,1.57
CTPI_H01_S11_A0_20260908T132928Z,14,SENT,PENDING,239.757,-5,-1.43
