run_uuid,goal_id,event,outcome,sim_time,goal_x,goal_y
CTPI_H01_S11_M1S_20260908T133425Z,1,SENT,PENDING,16.1516,-4.1,-1.13
CTPI_H01_S11_M1S_20260908T133425Z,1,RESULT,SUCCEEDED,16.8637,-4.1,-1.13
CTPI_H01_S11_M1S_20260908T133425Z,2,SENT,PENDING,32.9387,-5,-0.83
CTPI_H01_S11_M1S_20260908T133425Z,2,RESULT,SUCCEEDED,33.6507,-5,-0.83
CTPI_H01_S11_M1S_20260908T133425Z,3,SENT,PENDING,49.7455,-5.9,-0.83
CTPI_H01_S11_M1S_20260908T133425Z,3,RESULT,SUCCEEDED,50.461,-5.9,-0.83
CTPI_H01_S11_M1S_20260908T133425Z,4,SENT,PENDING,66.7301,-2.3,2.47
CTPI_H01_S11_M1S_20260908T133425Z,4,RESULT,SUCCEEDED,71.6815,-2.3,2.47
CTPI_H01_S11_M1S_20260908T133425Z,5,SENT,PENDING,87.758,-2.9,2.47
CTPI_H01_S11_M1S_20260908T133425Z,5,RESULT,SUCCEEDED,88.2668,-2.9,2.47
CTPI_H01_S11_M1S_20260908T133425Z,6,SENT,PENDING,104.357,-3.5,2.47
CTPI_H01_S11_M1S_20260908T133425Z,6,RESULT,SUCCEEDED,104.868,-3.5,2.47
CTPI_H01_S11_M1S_20260908T133425Z,7,SENT,PENDING,121.298,-4.1,2.47
CTPI_H01_S11_M1S_20260908T133425Z,7,RESULT,SUCCEEDED,121.857,-4.1,2.47
CTPI_H01_S11_M1S_20260908T133425Z,8,SENT,PENDING,137.836,-4.1,1.87
CTPI_H01_S11_M1S_20260908T133425Z,8,RESULT,SUCCEEDED,138.452,-4.1,1.87
CTPI_H01_S11_M1S_20260908T133425Z,9,SENT,PENDING,154.538,-3.5,1.87
CTPI_H01_S11_M1S_20260908T133425Z,9,RESULT,SUCCEEDED,155.047,-3.5,1.87
CTPI_H01_S11_M1S_20260908T133425Z,10,SENT,PENDING,171.338,-1.4,0.67
CTPI_H01_S11_M1S_20260908T133425Z,10,RESULT,SUCCEEDED,173.476,-1.4,0.67
CTPI_H01_S11_M1S_20260908T133425Z,11,SENT,PENDING,189.441,-1.4,1.57
CTPI_H01_S11_M1S_20260908T133425Z,11,RESULT,SUCCEEDED,190.239,-1.4,1.57
CTPI_H01_S11_M1S_20260908T133425Z,12,SENT,PENDING,206.247,-2,1.57
CTPI_H01_S11_M1S_20260908T133425Z,12,RESULT,SUCCEEDED,206.839,-2,1.57
CTPI_H01_S11_M1S_20260908T133425Z,13,SENT,PENDING,223.253,-1.4,-3.23
CTPI_H01_S11_M1S_20260908T133425Z,13,RESULT,SUCCEEDED,227.054,-1.4,-3.23
