run_uuid,goal_id,event,outcome,sim_time,goal_x,goal_y
CTPI_H02_S11_M1S_20260908T134614Z,1,SENT,PENDING,15.9509,-1.64273,-2.50088
CTPI_H02_S11_M1S_20260908T134614Z,1,RESULT,SUCCEEDED,16.9023,-1.64273,-2.50088
CTPI_H02_S11_M1S_20260908T134614Z,2,SENT,PENDING,32.9444,-2.54273,-2.50088
CTPI_H02_S11_M1S_20260908T134614Z,2,RESULT,SUCCEEDED,33.7024,-2.54273,-2.50088
CTPI_H02_S11_M1S_20260908T134614Z,3,SENT,PENDING,49.849,-3.44273,-2.50088
CTPI_H02_S11_M1S_20260908T134614Z,3,RESULT,SUCCEEDED,50.7142,-3.44273,-2.50088
CTPI_H02_S11_M1S_20260908T134614Z,4,SENT,PENDING,67.1253,-1.94273,-1.30088
CTPI_H02_S11_M1S_20260908T134614Z,4,RESULT,SUCCEEDED,68.4985,-1.94273,-1.30088
CTPI_H02_S11_M1S_20260908T134614Z,5,SENT,PENDING,84.5484,-2.54273,-1.30088
CTPI_H02_S11_M1S_20260908T134614Z,5,RESULT,SUCCEEDED,85.1268,-2.54273,-1.30088
CTPI_H02_S11_M1S_20260908T134614Z,6,SENT,PENDING,101.149,-3.14273,-1.30088
CTPI_H02_S11_M1S_20260908T134614Z,6,RESULT,SUCCEEDED,101.727,-3.14273,-1.30088
CTPI_H02_S11_M1S_20260908T134614Z,7,SENT,PENDING,118.083,-0.44273,-3.10088
CTPI_H02_S11_M1S_20260908T134614Z,7,RESULT,SUCCEEDED,120.52,-0.44273,-3.10088
CTPI_H02_S11_M1S_20260908T134614Z,8,SENT,PENDING,136.547,0.15727,-2.80088
CTPI_H02_S11_M1S_20260908T134614Z,8,RESULT,SUCCEEDED,137.085,0.15727,-2.80088
CTPI_H02_S11_M1S_20260908T134614Z,9,SENT,PENDING,153.148,0.15727,-2.20088
CTPI_H02_S11_M1S_20260908T134614Z,9,RESULT,SUCCEEDED,153.735,0.15727,-2.20088
CTPI_H02_S11_M1S_20260908T134614Z,10,SENT,PENDING,170.073,-3.14273,-3.10088
CTPI_H02_S11_M1S_20260908T134614Z,10,RESULT,SUCCEEDED,172.718,-3.14273,-3.10088
CTPI_H02_S11_M1S_20260908T134614Z,11,SENT,PENDING,188.75,-3.74273,-3.10088
CTPI_H02_S11_M1S_20260908T134614Z,11,RESULT,SUCCEEDED,189.325,-3.74273,-3.10088
CTPI_H02_S11_M1S_20260908T134614Z,12,SENT,PENDING,205.343,-3.44273,-3.70088
CTPI_H02_S11_M1S_20260908T134614Z,12,RESULT,SUCCEEDED,205.925,-3.44273,-3.70088
CTPI_H02_S11_M1S_20260908T134614Z,13,SENT,PENDING,222.21,0.75727,-3.10088
CTPI_H02_S11_M1S_20260908T134614Z,13,RESULT,SUCCEEDED,225.111,0.75727,-3.10088
