run_uuid,goal_id,event,outcome,sim_time,goal_x,goal_y
CTPI_H03_S11_A0_20260908T135109Z,1,SENT,PENDING,16.1403,1.1,0.387
CTPI_H03_S11_A0_20260908T135109Z,1,RESULT,SUCCEEDED,17.0057,1.1,0.387
CTPI_H03_S11_A0_20260908T135109Z,2,SENT,PENDING,33.1116,0.2,0.387
CTPI_H03_S11_A0_20260908T135109Z,2,RESULT,SUCCEEDED,34.0284,0.2,0.387
CTPI_H03_S11_A0_20260908T135109Z,3,SENT,PENDING,50.1062,5.9,-0.213
CTPI_H03_S11_A0_20260908T135109Z,3,RESULT,SUCCEEDED,55.0145,5.9,-0.213
CTPI_H03_S11_A0_20260908T135109Z,4,SENT,PENDING,71.4494,7.4,-0.513
CTPI_H03_S11_A0_20260908T135109Z,4,RESULT,SUCCEEDED,72.5711,7.4,-0.513
CTPI_H03_S11_A0_20260908T135109Z,5,SENT,PENDING,88.6173,7.4,0.087
CTPI_H03_S11_A0_20260908T135109Z,5,RESULT,SUCCEEDED,89.2036,7.4,0.087
CTPI_H03_S11_A0_20260908T135109Z,6,SENT,PENDING,105.218,6.8,-0.213
CTPI_H03_S11_A0_20260908T135109Z,6,RESULT,SUCCEEDED,105.804,6.8,-0.213
CTPI_H03_S11_A0_20260908T135109Z,7,SENT,PENDING,122.154,6.8,-1.113
CTPI_H03_S11_A0_20260908T135109Z,7,RESULT,SUCCEEDED,123.019,6.8,-1.113
CTPI_H03_S11_A0_20260908T135109Z,8,SENT,PENDING,139.011,6.2,-1.113
CTPI_H03_S11_A0_20260908T135109Z,8,RESULT,SUCCEEDED,139.606,6.2,-1.113
CTPI_H03_S11_A0_20260908T135109Z,9,SENT,PENDING,155.598,8.3,-1.413
CTPI_H03_S11_A0_20260908T135109Z,9,RESULT,SUCCEEDED,157.206,8.3,-1.413
CTPI_H03_S11_A0_20260908T135109Z,10,SENT,PENDING,173.553,7.7,-1.113
CTPI_H03_S11_A0_20260908T135109Z,10,RESULT,SUCCEEDED,174.168,7.7,-1.113
CTPI_H03_S11_A0_20260908T135109Z,11,SENT,PENDING,190.197,8.3,-0.813
CTPI_H03_S11_A0_20260908T135109Z,11,RESULT,SUCCEEDED,190.806,8.3,-0.813
CTPI_H03_S11_A0_20260908T135109Z,12,SENT,PENDING,206.82,5.9,0.387
CTPI_H03_S11_A0_20260908T135109Z,12,RESULT,SUCCEEDED,208.806,5.9,0.387
CTPI_H03_S11_A0_20260908T135109Z,13,SENT,PENDING,225.138,5.6,-0.813
CTPI_H03_S11_A0_20260908T135109Z,13,RESULT,SUCCEEDED,226.207,5.6,-0.813
