run_uuid,goal_id,event,outcome,sim_time,goal_x,goal_y
CTPI_H01_S10_M1P_20260908T141857Z,1,SENT,PENDING,15.9545,-4.1,-1.13
CTPI_H01_S10_M1P_20260908T141857Z,1,RESULT,SUCCEEDED,16.7173,-4.1,-1.13
CTPI_H01_S10_M1P_20260908T141857Z,2,SENT,PENDING,32.7374,-5,-0.83
CTPI_H01_S10_M1P_20260908T141857Z,2,RESULT,SUCCEEDED,33.5076,-5,-0.83
CTPI_H01_S10_M1P_20260908T141857Z,3,SENT,PENDING,49.5393,-5.9,-0.83
CTPI_H01_S10_M1P_20260908T141857Z,3,RESULT,SUCCEEDED,50.3058,-5.9,-0.83
CTPI_H01_S10_M1P_20260908T141857Z,4,SENT,PENDING,66.678,-2.9,2.47
CTPI_H01_S10_M1P_20260908T141857Z,4,RESULT,SUCCEEDED,72.0793,-2.9,2.47
CTPI_H01_S10_M1P_20260908T141857Z,5,SENT,PENDING,88.1452,-2.3,2.47
CTPI_H01_S10_M1P_20260908T141857Z,5,RESULT,SUCCEEDED,88.7055,-2.3,2.47
CTPI_H01_S10_M1P_20260908T141857Z,6,SENT,PENDING,104.754,-1.7,2.47
CTPI_H01_S10_M1P_20260908T141857Z,6,RESULT,SUCCEEDED,105.263,-1.7,2.47
CTPI_H01_S10_M1P_20260908T141857Z,7,SENT,PENDING,121.709,-4.1,2.17
CTPI_H01_S10_M1P_20260908T141857Z,7,RESULT,SUCCEEDED,123.493,-4.1,2.17
CTPI_H01_S10_M1P_20260908T141857Z,8,SENT,PENDING,139.552,-3.5,1.87
CTPI_H01_S10_M1P_20260908T141857Z,8,RESULT,SUCCEEDED,140.113,-3.5,1.87
CTPI_H01_S10_M1P_20260908T141857Z,9,SENT,PENDING,156.143,-3.5,2.47
CTPI_H01_S10_M1P_20260908T141857Z,9,RESULT,SUCCEEDED,156.704,-3.5,2.47
CTPI_H01_S10_M1P_20260908T141857Z,10,SENT,PENDING,173.126,-1.1,2.47
CTPI_H01_S10_M1P_20260908T141857Z,10,RESULT,SUCCEEDED,174.86,-1.1,2.47
CTPI_H01_S10_M1P_20260908T141857Z,11,SENT,PENDING,190.949,-0.5,2.47
CTPI_H01_S10_M1P_20260908T141857Z,11,RESULT,SUCCEEDED,191.511,-0.5,2.47
CTPI_H01_S10_M1P_20260908T141857Z,12,SENT,PENDING,207.558,-4.7,2.17
CTPI_H01_S10_M1P_20260908T141857Z,12,RESULT,SUCCEEDED,210.46,-4.7,2.17
CTPI_H01_S10_M1P_20260908T141857Z,13,SENT,PENDING,226.957,-6.2,-6.23
CTPI_H01_S10_M1P_20260908T141857Z,13,RESULT,SUCCEEDED,237.109,-6.2,-6.23
