run_uuid,goal_id,event,outcome,sim_time,goal_x,goal_y
CTPI_H01_S4_A0_20260908T180036Z,1,SENT,PENDING,16.058,-4.1,-1.13
CTPI_H01_S4_A0_20260908T180036Z,1,RESULT,SUCCEEDED,16.9219,-4.1,-1.13
CTPI_H01_S4_A0_20260908T180036Z,2,SENT,PENDING,33.0385,-5,-0.83
CTPI_H01_S4_A0_20260908T180036Z,2,RESULT,SUCCEEDED,33.7528,-5,-0.83
CTPI_H01_S4_A0_20260908T180036Z,3,SENT,PENDING,50.0374,-5.9,-0.83
CTPI_H01_S4_A0_20260908T180036Z,3,RESULT,SUCCEEDED,50.7481,-5.9,-0.83
CTPI_H01_S4_A0_20260908T180036Z,4,SENT,PENDING,67.0318,-5.9,0.0700002
CTPI_H01_S4_A0_20260908T180036Z,4,RESULT,SUCCEEDED,67.7439,-5.9,0.0700002
CTPI_H01_S4_A0_20260908T180036Z,5,SENT,PENDING,84.0458,-5.9,1.87
CTPI_H01_S4_A0_20260908T180036Z,5,RESULT,SUCCEEDED,85.3726,-5.9,1.87
CTPI_H01_S4_A0_20260908T180036Z,6,SENT,PENDING,101.738,-6.5,2.17
CTPI_H01_S4_A0_20260908T180036Z,6,RESULT,SUCCEEDED,102.348,-6.5,2.17
CTPI_H01_S4_A0_20260908T180036Z,7,SENT,PENDING,118.673,-5.6,2.47
CTPI_H01_S4_A0_20260908T180036Z,7,RESULT,SUCCEEDED,119.538,-5.6,2.47
CTPI_H01_S4_A0_20260908T180036Z,8,SENT,PENDING,135.832,-6.5,-0.23
CTPI_H01_S4_A0_20260908T180036Z,8,RESULT,SUCCEEDED,137.921,-6.5,-0.23
CTPI_H01_S4_A0_20260908T180036Z,9,SENT,PENDING,154.242,-6.5,-1.43
CTPI_H01_S4_A0_20260908T180036Z,9,RESULT,SUCCEEDED,155.159,-6.5,-1.43
CTPI_H01_S4_A0_20260908T180036Z,10,SENT,PENDING,171.446,-4.4,0.0700002
CTPI_H01_S4_A0_20260908T180036Z,10,RESULT,SUCCEEDED,173.37,-4.4,0.0700002
CTPI_H01_S4_A0_20260908T180036Z,11,SENT,PENDING,189.756,-6.5,1.57
CTPI_H01_S4_A0_20260908T180036Z,11,RESULT,SUCCEEDED,191.931,-6.5,1.57
CTPI_H01_S4_A0_20260908T180036Z,12,SENT,PENDING,208.357,-6.2,2.77
CTPI_H01_S4_A0_20260908T180036Z,12,RESULT,SUCCEEDED,209.372,-6.2,2.77
CTPI_H01_S4_A0_20260908T180036Z,13,SENT,PENDING,225.732,-6.8,2.77
CTPI_H01_S4_A0_20260908T180036Z,13,RESULT,SUCCEEDED,226.343,-6.8,2.77
