run_uuid,goal_id,event,outcome,sim_time,goal_x,goal_y
CTPI_H03_S4_A0_20260908T182145Z,1,SENT,PENDING,15.9579,1.1,0.387
CTPI_H03_S4_A0_20260908T182145Z,1,RESULT,SUCCEEDED,16.7131,1.1,0.387
CTPI_H03_S4_A0_20260908T182145Z,2,SENT,PENDING,32.736,0.2,0.387
CTPI_H03_S4_A0_20260908T182145Z,2,RESULT,SUCCEEDED,33.5131,0.2,0.387
CTPI_H03_S4_A0_20260908T182145Z,3,SENT,PENDING,49.8406,5.9,-0.213
CTPI_H03_S4_A0_20260908T182145Z,3,RESULT,SUCCEEDED,54.8919,5.9,-0.213
CTPI_H03_S4_A0_20260908T182145Z,4,SENT,PENDING,71.2673,7.4,0.087
CTPI_H03_S4_A0_20260908T182145Z,4,RESULT,SUCCEEDED,72.4899,7.4,0.087
CTPI_H03_S4_A0_20260908T182145Z,5,SENT,PENDING,88.9053,8,-1.413
CTPI_H03_S4_A0_20260908T182145Z,5,RESULT,SUCCEEDED,90.0702,8,-1.413
CTPI_H03_S4_A0_20260908T182145Z,6,SENT,PENDING,106.485,8.3,0.387
CTPI_H03_S4_A0_20260908T182145Z,6,RESULT,SUCCEEDED,107.908,8.3,0.387
CTPI_H03_S4_A0_20260908T182145Z,7,SENT,PENDING,124.281,7.7,0.687
CTPI_H03_S4_A0_20260908T182145Z,7,RESULT,SUCCEEDED,124.892,7.7,0.687
CTPI_H03_S4_A0_20260908T182145Z,8,SENT,PENDING,141.294,6.2,0.687
CTPI_H03_S4_A0_20260908T182145Z,8,RESULT,SUCCEEDED,142.513,6.2,0.687
CTPI_H03_S4_A0_20260908T182145Z,9,SENT,PENDING,158.892,9.5,-0.213
CTPI_H03_S4_A0_20260908T182145Z,9,RESULT,SUCCEEDED,161.494,9.5,-0.213
CTPI_H03_S4_A0_20260908T182145Z,10,SENT,PENDING,177.892,6.2,-1.113
CTPI_H03_S4_A0_20260908T182145Z,10,RESULT,SUCCEEDED,180.53,6.2,-1.113
CTPI_H03_S4_A0_20260908T182145Z,11,SENT,PENDING,196.873,5.6,-0.813
CTPI_H03_S4_A0_20260908T182145Z,11,RESULT,SUCCEEDED,197.535,5.6,-0.813
CTPI_H03_S4_A0_20260908T182145Z,12,SENT,PENDING,213.888,6.8,0.987
CTPI_H03_S4_A0_20260908T182145Z,12,RESULT,SUCCEEDED,215.515,6.8,0.987
CTPI_H03_S4_A0_20260908T182145Z,13,SENT,PENDING,231.888,5,-0.513
CTPI_H03_S4_A0_20260908T182145Z,13,RESULT,SUCCEEDED,233.716,5,-0.513
