run_uuid,goal_id,event,outcome,sim_time,goal_x,goal_y
CTPI_H03_S4_M1H_20260908T182642Z,1,SENT,PENDING,16.0562,1.1,0.387
CTPI_H03_S4_M1H_20260908T182642Z,1,RESULT,SUCCEEDED,16.7675,1.1,0.387
CTPI_H03_S4_M1H_20260908T182642Z,2,SENT,PENDING,32.8419,0.2,0.387
CTPI_H03_S4_M1H_20260908T182642Z,2,RESULT,SUCCEEDED,33.558,0.2,0.387
CTPI_H03_S4_M1H_20260908T182642Z,3,SENT,PENDING,50.5665,5.9,-0.213
CTPI_H03_S4_M1H_20260908T182642Z,3,RESULT,SUCCEEDED,55.5686,5.9,-0.213
CTPI_H03_S4_M1H_20260908T182642Z,4,SENT,PENDING,72.8368,5.3,-0.513
CTPI_H03_S4_M1H_20260908T182642Z,4,RESULT,SUCCEEDED,73.3971,5.3,-0.513
CTPI_H03_S4_M1H_20260908T182642Z,5,SENT,PENDING,90.6286,4.7,-0.513
CTPI_H03_S4_M1H_20260908T182642Z,5,RESULT,SUCCEEDED,91.1894,4.7,-0.513
CTPI_H03_S4_M1H_20260908T182642Z,6,SENT,PENDING,108.408,8,-0.513
CTPI_H03_S4_M1H_20260908T182642Z,6,RESULT,SUCCEEDED,110.794,8,-0.513
CTPI_H03_S4_M1H_20260908T182642Z,7,SENT,PENDING,128.016,8,0.087
CTPI_H03_S4_M1H_20260908T182642Z,7,RESULT,SUCCEEDED,128.575,8,0.087
CTPI_H03_S4_M1H_20260908T182642Z,8,SENT,PENDING,145.863,8,0.687
CTPI_H03_S4_M1H_20260908T182642Z,8,RESULT,SUCCEEDED,146.427,8,0.687
CTPI_H03_S4_M1H_20260908T182642Z,9,SENT,PENDING,163.578,9.2,0.087
CTPI_H03_S4_M1H_20260908T182642Z,9,RESULT,SUCCEEDED,164.592,9.2,0.087
CTPI_H03_S4_M1H_20260908T182642Z,10,SENT,PENDING,181.733,7.7,-1.113
CTPI_H03_S4_M1H_20260908T182642Z,10,RESULT,SUCCEEDED,183.209,7.7,-1.113
CTPI_H03_S4_M1H_20260908T182642Z,11,SENT,PENDING,200.27,5,0.387
CTPI_H03_S4_M1H_20260908T182642Z,11,RESULT,SUCCEEDED,202.602,5,0.387
CTPI_H03_S4_M1H_20260908T182642Z,12,SENT,PENDING,219.714,8.6,0.987
CTPI_H03_S4_M1H_20260908T182642Z,12,RESULT,SUCCEEDED,222.404,8.6,0.987
CTPI_H03_S4_M1H_20260908T182642Z,13,SENT,PENDING,239.496,10.4,0.387
