run_uuid,measurement_cycle_id,sim_time,method,estimate_available,estimate_semantics,estimate_x,estimate_y,estimate_z,posterior_entropy,posterior_variance,covariance_trace,candidate_count,particle_ess,source_declared,declaration_reason,stop_variance_threshold,would_declare_source,actual_stop_triggered,algorithm_declared_success
CTPI_H03_S4_M1H_20260908T182642Z,1,2.0065,PMFS,true,POSTERIOR_MAP,2,-1.413,0,6.43935,18.4503,0,0,0.0,false,none,-1,false,false,false
CTPI_H03_S4_M1H_20260908T182642Z,2,4.00031,PMFS,true,POSTERIOR_MAP,2,-1.413,0,6.43935,18.4503,0,0,0.0,false,none,-1,false,false,false
CTPI_H03_S4_M1H_20260908T182642Z,3,6.00066,PMFS,true,POSTERIOR_MAP,2,-1.413,0,6.43935,18.4503,0,0,0.0,false,none,-1,false,false,false
CTPI_H03_S4_M1H_20260908T182642Z,4,8.00031,PMFS,true,POSTERIOR_MAP,2,-1.413,0,6.43935,18.4503,0,0,0.0,false,none,-1,false,false,false
CTPI_H03_S4_M1H_20260908T182642Z,5,10.0003,PMFS,true,POSTERIOR_MAP,2,-1.413,0,6.43935,18.4503,0,0,0.0,false,none,-1,false,false,false
CTPI_H03_S4_M1H_20260908T182642Z,6,11.9998,PMFS,true,POSTERIOR_MAP,2,-1.413,0,6.43935,18.4503,0,0,0.0,false,none,-1,false,false,false
CTPI_H03_S4_M1H_20260908T182642Z,7,14.0002,PMFS,true,POSTERIOR_MAP,2,-1.413,0,6.43935,18.4503,0,0,0.0,false,none,-1,false,false,false
CTPI_H03_S4_M1H_20260908T182642Z,8,16.0567,PMFS,true,POSTERIOR_MAP,2,-1.413,0,6.43935,18.4503,0,0,0.0,false,none,-1,false,false,false
CTPI_H03_S4_M1H_20260908T182642Z,9,18.8015,PMFS,true,POSTERIOR_MAP,2,-1.413,0,6.43935,18.4503,0,0,0.0,false,none,-1,false,false,false
CTPI_H03_S4_M1H_20260908T182642Z,10,20.8004,PMFS,true,POSTERIOR_MAP,2,-1.413,0,6.43935,18.4503,0,0,0.0,false,none,-1,false,false,false
CTPI_H03_S4_M1H_20260908T182642Z,11,22.8004,PMFS,true,POSTERIOR_MAP,2,-1.413,0,6.43935,18.4503,0,0,0.0,false,none,-1,false,false,false
