t_sim_s,x,y,z
0.0,-3.1999999999999993,-2.2299999999999995,0.3
0.2,-3.1504211009270433,-2.1804211009270436,0.3
0.4,-3.100842201854087,-2.130842201854087,0.3
0.6,-3.051263302781131,-2.0812633027811307,0.3
0.8,-3.0016844037081754,-2.0316844037081747,0.3
1.0,-3.0,-1.9622669550921108,0.3
1.2,-2.973237283680917,-1.903237283680917,0.3
1.4,-2.923658384607961,-1.8536583846079608,0.3
1.6,-2.8999999999999995,-1.793342856899916,0.3
1.8,-2.8999999999999995,-1.7232277054234146,0.3
2.0,-2.8999999999999995,-1.653112553946913,0.3
2.2,-2.8667641445534455,-1.596764144553446,0.3
2.4,-2.8171852454804895,-1.5471852454804895,0.3
2.6,-2.8,-1.484188455754718,0.3
2.8,-2.788738125453232,-1.418738125453232,0.3
3.0,-2.7391592263802758,-1.3691592263802759,0.3
3.2,-2.6999999999999993,-1.3152643575625231,0.3
3.4,-2.6999999999999993,-1.2451492060860216,0.3
3.6,-2.6999999999999993,-1.1750340546095202,0.3
3.8,-2.68226498632576,-1.1122649863257608,0.3
4.0,-2.632686087252804,-1.0626860872528043,0.3
4.2,-2.5999999999999996,-1.006109956417325,0.3
4.4,-2.5999999999999996,-0.9359948049408235,0.3
4.6,-2.554660068152591,-0.8846600681525907,0.3
4.8,-2.5050811690796344,-0.8350811690796346,0.3
5.0,-2.499999999999999,-0.7670707067486289,0.3
5.2,-2.499999999999999,-0.6969555552721276,0.3
5.4,-2.497765828098075,-0.6277658280980758,0.3
5.6,-2.4481869290251193,-0.5781869290251195,0.3
5.8,-2.3999999999999995,-0.528031457079932,0.3
6.0,-2.3999999999999995,-0.45791630560343055,0.3
6.2,-2.3701609099249055,-0.4001609099249054,0.3
6.4,-2.3205820108519495,-0.350582010851949,0.3
6.6,-2.3,-0.28899220741123566,0.3
6.8,-2.3,-0.21887705593473372,0.3
7.0,-2.3,-0.14876190445823267,0.3
7.2,-2.263687770797434,-0.09368777079743389,0.3
7.4,-2.214108871724478,-0.04410887172447797,0.3
7.6,-2.1498378062660373,-0.02999999999999936,0.3
7.8,-2.079722654789536,-0.02999999999999936,0.3
8.0,-2.0096075033130343,-0.02999999999999936,0.3
8.2,-1.9394923518365332,-0.02999999999999936,0.3
8.4,-1.8693772003600317,-0.02999999999999936,0.3
8.6,-1.7992620488835303,-0.02999999999999936,0.3
