world_id,house,controlled_carrier_id,route_index,stop_id,action_id,member_hit_count,observed_event,world_audit_sha256
M2_CAL_H01_00,H01,quadtree_22_4_2_2,9,1,H01_route09_stop01,0,0,63c10f46d42eef0b4a82b72d095fe7de869a4c75562500817239ccb7e85c4fb2
M2_CAL_H01_00,H01,quadtree_22_4_2_2,9,2,H01_route09_stop02,0,0,63c10f46d42eef0b4a82b72d095fe7de869a4c75562500817239ccb7e85c4fb2
M2_CAL_H01_00,H01,quadtree_22_4_2_2,9,3,H01_route09_stop03,0,0,63c10f46d42eef0b4a82b72d095fe7de869a4c75562500817239ccb7e85c4fb2
M2_CAL_H01_00,H01,quadtree_22_4_2_2,9,4,H01_route09_stop04,0,0,63c10f46d42eef0b4a82b72d095fe7de869a4c75562500817239ccb7e85c4fb2
M2_CAL_H01_00,H01,quadtree_22_4_2_2,9,5,H01_route09_stop05,0,0,63c10f46d42eef0b4a82b72d095fe7de869a4c75562500817239ccb7e85c4fb2
M2_CAL_H01_00,H01,quadtree_22_4_2_2,9,6,H01_route09_stop06,0,0,63c10f46d42eef0b4a82b72d095fe7de869a4c75562500817239ccb7e85c4fb2
M2_CAL_H01_00,H01,quadtree_22_4_2_2,9,7,H01_route09_stop07,0,0,63c10f46d42eef0b4a82b72d095fe7de869a4c75562500817239ccb7e85c4fb2
M2_CAL_H01_00,H01,quadtree_22_4_2_2,9,8,H01_route09_stop08,0,0,63c10f46d42eef0b4a82b72d095fe7de869a4c75562500817239ccb7e85c4fb2
M2_CAL_H01_00,H01,quadtree_22_4_2_2,9,9,H01_route09_stop09,0,0,63c10f46d42eef0b4a82b72d095fe7de869a4c75562500817239ccb7e85c4fb2
M2_CAL_H01_00,H01,quadtree_22_4_2_2,9,10,H01_route09_stop10,2,0,63c10f46d42eef0b4a82b72d095fe7de869a4c75562500817239ccb7e85c4fb2
M2_CAL_H01_00,H01,quadtree_22_4_2_2,9,11,H01_route09_stop11,3,0,63c10f46d42eef0b4a82b72d095fe7de869a4c75562500817239ccb7e85c4fb2
M2_CAL_H01_00,H01,quadtree_22_4_2_2,9,12,H01_route09_stop12,3,0,63c10f46d42eef0b4a82b72d095fe7de869a4c75562500817239ccb7e85c4fb2
M2_CAL_H01_00,H01,quadtree_22_4_2_2,9,13,H01_route09_stop13,2,0,63c10f46d42eef0b4a82b72d095fe7de869a4c75562500817239ccb7e85c4fb2
M2_CAL_H01_00,H01,quadtree_22_4_2_2,9,14,H01_route09_stop14,5,0,63c10f46d42eef0b4a82b72d095fe7de869a4c75562500817239ccb7e85c4fb2
M2_CAL_H01_00,H01,quadtree_22_4_2_2,9,15,H01_route09_stop15,2,0,63c10f46d42eef0b4a82b72d095fe7de869a4c75562500817239ccb7e85c4fb2
M2_CAL_H01_01,H01,quadtree_14_18_2_2,5,1,H01_route05_stop01,2,0,df12530a323bfb0db197e4c7c6836ef1eb6caa7d07a836cd5b323b2784f72d76
M2_CAL_H01_01,H01,quadtree_14_18_2_2,5,2,H01_route05_stop02,0,0,df12530a323bfb0db197e4c7c6836ef1eb6caa7d07a836cd5b323b2784f72d76
M2_CAL_H01_01,H01,quadtree_14_18_2_2,5,3,H01_route05_stop03,0,0,df12530a323bfb0db197e4c7c6836ef1eb6caa7d07a836cd5b323b2784f72d76
M2_CAL_H01_01,H01,quadtree_14_18_2_2,5,4,H01_route05_stop04,1,1,df12530a323bfb0db197e4c7c6836ef1eb6caa7d07a836cd5b323b2784f72d76
M2_CAL_H01_01,H01,quadtree_14_18_2_2,5,5,H01_route05_stop05,3,1,df12530a323bfb0db197e4c7c6836ef1eb6caa7d07a836cd5b323b2784f72d76
M2_CAL_H01_01,H01,quadtree_14_18_2_2,5,6,H01_route05_stop06,6,1,df12530a323bfb0db197e4c7c6836ef1eb6caa7d07a836cd5b323b2784f72d76
M2_CAL_H01_01,H01,quadtree_14_18_2_2,5,7,H01_route05_stop07,6,1,df12530a323bfb0db197e4c7c6836ef1eb6caa7d07a836cd5b323b2784f72d76
M2_CAL_H01_01,H01,quadtree_14_18_2_2,5,8,H01_route05_stop08,8,1,df12530a323bfb0db197e4c7c6836ef1eb6caa7d07a836cd5b323b2784f72d76
