world_id,house,controlled_carrier_id,route_index,stop_id,action_id,member_hit_count,observed_event,world_audit_sha256
M2_CONFIRM_H01_00,H01,quadtree_0_0_2_2,8,1,H01_route08_stop01,0,0,c689ecb88fd4d6c8d6ff55a215982ae4f7c90610ebde55e4f9554c4904495c97
M2_CONFIRM_H01_00,H01,quadtree_0_0_2_2,8,2,H01_route08_stop02,0,0,c689ecb88fd4d6c8d6ff55a215982ae4f7c90610ebde55e4f9554c4904495c97
M2_CONFIRM_H01_00,H01,quadtree_0_0_2_2,8,3,H01_route08_stop03,0,0,c689ecb88fd4d6c8d6ff55a215982ae4f7c90610ebde55e4f9554c4904495c97
M2_CONFIRM_H01_00,H01,quadtree_0_0_2_2,8,4,H01_route08_stop04,0,0,c689ecb88fd4d6c8d6ff55a215982ae4f7c90610ebde55e4f9554c4904495c97
M2_CONFIRM_H01_00,H01,quadtree_0_0_2_2,8,5,H01_route08_stop05,1,0,c689ecb88fd4d6c8d6ff55a215982ae4f7c90610ebde55e4f9554c4904495c97
M2_CONFIRM_H01_00,H01,quadtree_0_0_2_2,8,6,H01_route08_stop06,4,0,c689ecb88fd4d6c8d6ff55a215982ae4f7c90610ebde55e4f9554c4904495c97
M2_CONFIRM_H01_00,H01,quadtree_0_0_2_2,8,7,H01_route08_stop07,0,0,c689ecb88fd4d6c8d6ff55a215982ae4f7c90610ebde55e4f9554c4904495c97
M2_CONFIRM_H01_00,H01,quadtree_0_0_2_2,8,8,H01_route08_stop08,1,0,c689ecb88fd4d6c8d6ff55a215982ae4f7c90610ebde55e4f9554c4904495c97
M2_CONFIRM_H01_00,H01,quadtree_0_0_2_2,8,9,H01_route08_stop09,7,1,c689ecb88fd4d6c8d6ff55a215982ae4f7c90610ebde55e4f9554c4904495c97
M2_CONFIRM_H01_00,H01,quadtree_0_0_2_2,8,10,H01_route08_stop10,8,1,c689ecb88fd4d6c8d6ff55a215982ae4f7c90610ebde55e4f9554c4904495c97
M2_CONFIRM_H01_00,H01,quadtree_0_0_2_2,8,11,H01_route08_stop11,1,1,c689ecb88fd4d6c8d6ff55a215982ae4f7c90610ebde55e4f9554c4904495c97
M2_CONFIRM_H01_00,H01,quadtree_0_0_2_2,8,12,H01_route08_stop12,5,0,c689ecb88fd4d6c8d6ff55a215982ae4f7c90610ebde55e4f9554c4904495c97
M2_CONFIRM_H01_00,H01,quadtree_0_0_2_2,8,13,H01_route08_stop13,6,0,c689ecb88fd4d6c8d6ff55a215982ae4f7c90610ebde55e4f9554c4904495c97
M2_CONFIRM_H01_00,H01,quadtree_0_0_2_2,8,14,H01_route08_stop14,8,1,c689ecb88fd4d6c8d6ff55a215982ae4f7c90610ebde55e4f9554c4904495c97
M2_CONFIRM_H01_00,H01,quadtree_0_0_2_2,8,15,H01_route08_stop15,8,1,c689ecb88fd4d6c8d6ff55a215982ae4f7c90610ebde55e4f9554c4904495c97
M2_CONFIRM_H01_01,H01,quadtree_26_36_2_2,5,1,H01_route05_stop01,0,0,b4c3de8f7df9f31ab0802a282178fa6088a501b13ab5e63d10620763b6ea55b4
M2_CONFIRM_H01_01,H01,quadtree_26_36_2_2,5,2,H01_route05_stop02,0,0,b4c3de8f7df9f31ab0802a282178fa6088a501b13ab5e63d10620763b6ea55b4
M2_CONFIRM_H01_01,H01,quadtree_26_36_2_2,5,3,H01_route05_stop03,0,0,b4c3de8f7df9f31ab0802a282178fa6088a501b13ab5e63d10620763b6ea55b4
M2_CONFIRM_H01_01,H01,quadtree_26_36_2_2,5,4,H01_route05_stop04,0,0,b4c3de8f7df9f31ab0802a282178fa6088a501b13ab5e63d10620763b6ea55b4
M2_CONFIRM_H01_01,H01,quadtree_26_36_2_2,5,5,H01_route05_stop05,2,0,b4c3de8f7df9f31ab0802a282178fa6088a501b13ab5e63d10620763b6ea55b4
M2_CONFIRM_H01_01,H01,quadtree_26_36_2_2,5,6,H01_route05_stop06,3,1,b4c3de8f7df9f31ab0802a282178fa6088a501b13ab5e63d10620763b6ea55b4
M2_CONFIRM_H01_01,H01,quadtree_26_36_2_2,5,7,H01_route05_stop07,5,1,b4c3de8f7df9f31ab0802a282178fa6088a501b13ab5e63d10620763b6ea55b4
M2_CONFIRM_H01_01,H01,quadtree_26_36_2_2,5,8,H01_route05_stop08,6,1,b4c3de8f7df9f31ab0802a282178fa6088a501b13ab5e63d10620763b6ea55b4
M2_CONFIRM_H01_01,H01,quadtree_26_36_2_2,5,9,H01_route05_stop09,0,1,b4c3de8f7df9f31ab0802a282178fa6088a501b13ab5e63d10620763b6ea55b4
M2_CONFIRM_H01_01,H01,quadtree_26_36_2_2,5,10,H01_route05_stop10,0,1,b4c3de8f7df9f31ab0802a282178fa6088a501b13ab5e63d10620763b6ea55b4
M2_CONFIRM_H01_01,H01,quadtree_26_36_2_2,5,11,H01_route05_stop11,8,1,b4c3de8f7df9f31ab0802a282178fa6088a501b13ab5e63d10620763b6ea55b4
M2_CONFIRM_H01_01,H01,quadtree_26_36_2_2,5,12,H01_route05_stop12,8,1,b4c3de8f7df9f31ab0802a282178fa6088a501b13ab5e63d10620763b6ea55b4
M2_CONFIRM_H01_01,H01,quadtree_26_36_2_2,5,13,H01_route05_stop13,8,1,b4c3de8f7df9f31ab0802a282178fa6088a501b13ab5e63d10620763b6ea55b4
M2_CONFIRM_H01_01,H01,quadtree_26_36_2_2,5,14,H01_route05_stop14,7,1,b4c3de8f7df9f31ab0802a282178fa6088a501b13ab5e63d10620763b6ea55b4
M2_CONFIRM_H01_01,H01,quadtree_26_36_2_2,5,15,H01_route05_stop15,8,1,b4c3de8f7df9f31ab0802a282178fa6088a501b13ab5e63d10620763b6ea55b4
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,1,H01_route09_stop01,0,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,2,H01_route09_stop02,0,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,3,H01_route09_stop03,0,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,4,H01_route09_stop04,0,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,5,H01_route09_stop05,0,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,6,H01_route09_stop06,0,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,7,H01_route09_stop07,0,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,8,H01_route09_stop08,0,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,9,H01_route09_stop09,3,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,10,H01_route09_stop10,0,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,11,H01_route09_stop11,0,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,12,H01_route09_stop12,0,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,13,H01_route09_stop13,4,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,14,H01_route09_stop14,1,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,15,H01_route09_stop15,3,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_03,H01,quadtree_20_16_2_2,0,1,H01_route00_stop01,0,0,5aaaba0edbb0d2e3bedaecb1e2447e81e502a8c06a0306ebc1d49079965896f6
M2_CONFIRM_H01_03,H01,quadtree_20_16_2_2,0,2,H01_route00_stop02,4,0,5aaaba0edbb0d2e3bedaecb1e2447e81e502a8c06a0306ebc1d49079965896f6
M2_CONFIRM_H01_03,H01,quadtree_20_16_2_2,0,3,H01_route00_stop03,8,1,5aaaba0edbb0d2e3bedaecb1e2447e81e502a8c06a0306ebc1d49079965896f6
M2_CONFIRM_H01_03,H01,quadtree_20_16_2_2,0,4,H01_route00_stop04,8,1,5aaaba0edbb0d2e3bedaecb1e2447e81e502a8c06a0306ebc1d49079965896f6
M2_CONFIRM_H01_03,H01,quadtree_20_16_2_2,0,5,H01_route00_stop05,8,1,5aaaba0edbb0d2e3bedaecb1e2447e81e502a8c06a0306ebc1d49079965896f6
