step,t_sim_s,iterations,active_observations,relative_change,backward_residual,update_mismatch
1,0.20000000000000001,7,1,0.0079750349217874005,4.0555045554581202e-17,0
2,0.40000000000000002,5,2,0.0083551602032073836,3.2030055961843917e-17,0
3,0.59999999999999998,15,3,0.0059117831986998052,1.1984116547141458e-15,0
4,0.80000000000000004,5,4,0.0066100362668783767,2.0979586162129921e-15,0
5,1,8,5,0.0066664290358115549,4.0588301713675729e-15,0
6,1.2,5,6,0.0095683440957135251,3.7739716869378263e-15,0
7,1.3999999999999999,6,7,0.0060775538220794413,5.2018907220730283e-15,0
8,1.6000000000000001,5,8,0.0050154394287350466,5.727548040849933e-15,0
9,1.8,4,9,0.0095118922249994697,7.2539189832140311e-15,0
10,2,4,10,0.0087898290041942186,6.4675741970025166e-15,0
11,2.2000000000000002,5,11,0.0050134973545764988,7.9543413859719117e-15,0
12,2.3999999999999999,4,12,0.0090851513114386263,8.4670106409210339e-15,0
13,2.6000000000000001,10,13,0.007237395022961968,7.8704141565072629e-14,0
14,2.7999999999999998,7,14,0.0084543785857711731,1.4610955682462374e-14,0
15,3,5,15,0.0081548974415862514,1.940987560968475e-14,0
16,3.2000000000000002,6,16,0.0055512637855421546,2.7670933989891482e-14,0
17,3.3999999999999999,3,17,0.0060584730966072985,2.5055796744145444e-14,0
18,3.6000000000000001,3,18,0.0070875688240618325,2.2583168018773742e-14,0
19,3.7999999999999998,4,19,0.00571740365047792,2.2465319646992957e-14,0
20,4,4,20,0.0052532988267240443,2.1962806247968178e-14,0
21,4.2000000000000002,4,21,0.0081030151843706558,2.3017624409206128e-14,0
22,4.4000000000000004,4,22,0.0073968616263808866,2.3466542402359821e-14,0
23,4.5999999999999996,4,23,0.0098017678623358098,2.7666967054408135e-14,0
24,4.7999999999999998,4,24,0.0093374483730699655,3.1374337748927534e-14,0
25,5,4,25,0.0082517389169024045,3.2591804266220582e-14,0
26,5.2000000000000002,4,26,0.0082204264605399181,3.3799440891874968e-14,0
27,5.4000000000000004,5,27,0.005046132411545408,3.7256720252754474e-14,0
28,5.5999999999999996,5,28,0.0055995018812696881,4.1486963290257267e-14,0
29,5.7999999999999998,5,29,0.0097086349723291207,4.8514037921107824e-14,0
30,6,6,30,0.0060690693926159257,5.7275182383248841e-14,0
31,6.2000000000000002,6,31,0.0091200804445196095,6.8788605016233528e-14,0
32,6.4000000000000004,6,32,0.0079575990100661104,6.4451104653557183e-14,0
33,6.5999999999999996,7,33,0.0097597259768857029,3.5187508237860306e-14,0
34,6.7999999999999998,6,34,0.0089548244756801794,1.7579583096353805e-14,0
35,7,4,35,0.0070440844497287195,2.0522300636568543e-14,0
36,7.2000000000000002,4,36,0.0091333987340192421,2.418442682381512e-14,0
37,7.4000000000000004,2,37,0.0051814926370080143,2.2910292217900303e-14,0
38,7.5999999999999996,2,38,0.0081294372529178375,2.1684167566522885e-14,0
39,7.7999999999999998,3,39,0.0052111921665802287,2.1493704025878873e-14,0
40,8,3,40,0.0053775943741861346,2.1158504055300417e-14,0
41,8.1999999999999993,3,41,0.0084485383503714664,2.1686061701217549e-14,0
42,8.4000000000000004,3,42,0.0084811826226846316,2.2153341299576521e-14,0
43,8.5999999999999996,4,43,0.0056158676960593032,2.432720727030258e-14,0
44,8.8000000000000007,4,44,0.0052545500129863578,2.6361718472650995e-14,0
45,9,3,45,0.0086808265686543987,2.6922409851441211e-14,0
46,9.1999999999999993,3,46,0.0091048009628354378,2.7539808741676419e-14,0
47,9.4000000000000004,4,47,0.0050252897696779816,2.8921293515377192e-14,0
48,9.5999999999999996,4,48,0.0050361213375489326,3.0537583593737588e-14,0
49,9.8000000000000007,4,49,0.0077424790939247985,3.3196221087374132e-14,0
50,10,4,50,0.0088856792516808867,3.6794932416208342e-14,0
51,10.199999999999999,5,51,0.0070170360912510353,4.450419185130821e-14,0
52,10.4,5,52,0.0085387569165085459,5.5797715763127979e-14,0
53,10.6,6,53,0.0095334643933909554,2.7793772544711781e-14,0
54,10.800000000000001,6,54,0.0061008247618870521,1.8538610832514142e-14,0
55,11,3,55,0.0091758847305974424,2.0509611647951569e-14,0
56,11.199999999999999,4,56,0.0060497059648974092,2.2905852055026957e-14,0
57,11.4,2,57,0.0034289513012985095,2.2050111068038414e-14,0
58,11.6,2,58,0.0054870111981443056,2.1263658404818567e-14,0
59,11.800000000000001,2,59,0.006738931469535833,2.1052508542952604e-14,0
60,12,2,60,0.0079090687709642143,2.0899073990440821e-14,0
61,12.199999999999999,3,61,0.0060907509258040756,2.1189727353697507e-14,0
62,12.4,3,62,0.0058382955150854286,2.1566809669778041e-14,0
63,12.6,3,63,0.00767396878655352,2.3054281024373189e-14,0
64,12.800000000000001,3,64,0.0077662926420034957,2.4394022107202962e-14,0
65,13,3,65,0.0064279201191313898,2.4806657560194589e-14,0
66,13.199999999999999,3,66,0.0062475981340138938,2.5201121242404182e-14,0
67,13.4,3,67,0.0065156300827604492,2.6044643688949074e-14,0
68,13.6,3,68,0.0067764442338026209,2.7001567561142858e-14,0
69,13.800000000000001,3,69,0.009815372676010169,2.8410802996628525e-14,0
70,14,4,70,0.0054816543138922428,3.0224024880480067e-14,0
71,14.199999999999999,4,71,0.0075273359278856724,3.3960975713789717e-14,0
72,14.4,4,72,0.0085678787009496899,3.8664477452636508e-14,0
73,14.6,6,73,0.0062422302913385502,2.5342598975544938e-14,0
74,14.800000000000001,5,74,0.0092559596416450281,1.8999693705012295e-14,0
75,15,3,75,0.0062439850496426681,2.0554501393294558e-14,0
76,15.199999999999999,3,76,0.0087043659787956161,2.2263828644161538e-14,0
77,15.4,2,77,0.0017943485025839604,2.1655483252968313e-14,0
78,15.6,2,78,0.0039000207138764173,2.1045255793509674e-14,0
79,15.800000000000001,2,79,0.0049955654780496957,2.0784420208744448e-14,0
80,16,2,80,0.0058933661090894785,2.073072512570454e-14,0
81,16.199999999999999,2,81,0.0091021953423198205,2.1046879848333535e-14,0
82,16.399999999999999,2,82,0.009978215234666174,2.1251810115346787e-14,0
83,16.600000000000001,3,83,0.0065097567782539407,2.2434727485216996e-14,0
84,16.800000000000001,3,84,0.0060300408883920088,2.3415874543625325e-14,0
85,17,2,85,0.0097289092211055965,2.3813058581240891e-14,0
86,17.199999999999999,3,86,0.005366718009837285,2.4016435373968675e-14,0
87,17.399999999999999,2,87,0.009776387731858089,2.4551502627426486e-14,0
88,17.600000000000001,3,88,0.0056044345242619743,2.5129753840043097e-14,0
89,17.800000000000001,3,89,0.0071242082052207622,2.6225477845475164e-14,0
90,18,3,90,0.00767043603378744,2.737896998063299e-14,0
91,18.199999999999999,4,91,0.0053784417298324404,2.9704333130955112e-14,0
92,18.399999999999999,4,92,0.0056304023956902467,3.24614648263129e-14,0
93,18.600000000000001,5,93,0.0093508437910116426,2.4127657540240659e-14,0
94,18.800000000000001,5,94,0.0075425756284309602,1.9258247937426806e-14,0
95,19,2,95,0.009876695691914468,2.0488025949405862e-14,0
96,19.199999999999999,3,96,0.007498651662342995,2.1841865306491461e-14,0
97,19.399999999999999,2,97,0.0013282631687526318,2.1380272503133565e-14,0
98,19.600000000000001,2,98,0.003094180217649511,2.0967111802895773e-14,0
99,19.800000000000001,2,99,0.0039655446061518237,2.0856985327951139e-14,0
100,20,7,100,0.0075304918295379048,1.4875505803404277e-17,0
101,20.199999999999999,6,101,0.00940922509086904,1.1538041650260187e-17,0
102,20.399999999999999,7,102,0.0076574851460589144,8.4536956881003806e-18,0
103,20.600000000000001,7,103,0.0089672609817255302,7.3951323112025069e-18,0
104,20.800000000000001,4,104,0.0068398805633962251,6.9758340543939684e-18,0
105,21,7,105,0.0071212764443557468,1.2048076638452252e-17,0
