panel_index	source_bank_row	source_id	pmfs_i	pmfs_j	x_m	y_m	z_m
0	9	pmfs_1_12	1	12	-4.94273	-3.70088	0.2
1	10	pmfs_1_13	1	13	-4.94273	-3.4008799999999995	0.2
2	11	pmfs_1_14	1	14	-4.94273	-3.100879999999999	0.2
3	12	pmfs_1_15	1	15	-4.94273	-2.80088	0.2
4	13	pmfs_1_16	1	16	-4.94273	-2.5008799999999995	0.2
5	14	pmfs_1_17	1	17	-4.94273	-2.20088	0.2
6	15	pmfs_1_18	1	18	-4.94273	-1.90088	0.2
7	37	pmfs_2_12	2	12	-4.64273	-3.70088	0.2
8	38	pmfs_2_13	2	13	-4.64273	-3.4008799999999995	0.2
9	39	pmfs_2_14	2	14	-4.64273	-3.100879999999999	0.2
10	40	pmfs_2_15	2	15	-4.64273	-2.80088	0.2
11	41	pmfs_2_16	2	16	-4.64273	-2.5008799999999995	0.2
12	42	pmfs_2_17	2	17	-4.64273	-2.20088	0.2
13	43	pmfs_2_18	2	18	-4.64273	-1.90088	0.2
14	66	pmfs_3_12	3	12	-4.34273	-3.70088	0.2
15	67	pmfs_3_13	3	13	-4.34273	-3.4008799999999995	0.2
16	68	pmfs_3_14	3	14	-4.34273	-3.100879999999999	0.2
17	69	pmfs_3_15	3	15	-4.34273	-2.80088	0.2
18	70	pmfs_3_16	3	16	-4.34273	-2.5008799999999995	0.2
19	71	pmfs_3_17	3	17	-4.34273	-2.20088	0.2
20	72	pmfs_3_18	3	18	-4.34273	-1.90088	0.2
21	98	pmfs_4_12	4	12	-4.04273	-3.70088	0.2
22	99	pmfs_4_13	4	13	-4.04273	-3.4008799999999995	0.2
23	100	pmfs_4_14	4	14	-4.04273	-3.100879999999999	0.2
24	101	pmfs_4_15	4	15	-4.04273	-2.80088	0.2
25	102	pmfs_4_16	4	16	-4.04273	-2.5008799999999995	0.2
26	103	pmfs_4_17	4	17	-4.04273	-2.20088	0.2
27	104	pmfs_4_18	4	18	-4.04273	-1.90088	0.2
28	130	pmfs_5_12	5	12	-3.74273	-3.70088	0.2
29	131	pmfs_5_13	5	13	-3.74273	-3.4008799999999995	0.2
30	132	pmfs_5_14	5	14	-3.74273	-3.100879999999999	0.2
31	133	pmfs_5_15	5	15	-3.74273	-2.80088	0.2
32	134	pmfs_5_16	5	16	-3.74273	-2.5008799999999995	0.2
33	135	pmfs_5_17	5	17	-3.74273	-2.20088	0.2
34	136	pmfs_5_18	5	18	-3.74273	-1.90088	0.2
35	162	pmfs_6_12	6	12	-3.44273	-3.70088	0.2
36	163	pmfs_6_13	6	13	-3.44273	-3.4008799999999995	0.2
37	164	pmfs_6_14	6	14	-3.44273	-3.100879999999999	0.2
38	165	pmfs_6_15	6	15	-3.44273	-2.80088	0.2
39	166	pmfs_6_16	6	16	-3.44273	-2.5008799999999995	0.2
40	167	pmfs_6_17	6	17	-3.44273	-2.20088	0.2
41	168	pmfs_6_18	6	18	-3.44273	-1.90088	0.2
42	196	pmfs_7_12	7	12	-3.14273	-3.70088	0.2
43	197	pmfs_7_13	7	13	-3.14273	-3.4008799999999995	0.2
44	198	pmfs_7_14	7	14	-3.14273	-3.100879999999999	0.2
45	199	pmfs_7_15	7	15	-3.14273	-2.80088	0.2
46	200	pmfs_7_16	7	16	-3.14273	-2.5008799999999995	0.2
47	201	pmfs_7_17	7	17	-3.14273	-2.20088	0.2
48	202	pmfs_7_18	7	18	-3.14273	-1.90088	0.2
49	230	pmfs_8_12	8	12	-2.84273	-3.70088	0.2
50	231	pmfs_8_13	8	13	-2.84273	-3.4008799999999995	0.2
51	232	pmfs_8_14	8	14	-2.84273	-3.100879999999999	0.2
52	233	pmfs_8_15	8	15	-2.84273	-2.80088	0.2
53	234	pmfs_8_16	8	16	-2.84273	-2.5008799999999995	0.2
54	235	pmfs_8_17	8	17	-2.84273	-2.20088	0.2
55	236	pmfs_8_18	8	18	-2.84273	-1.90088	0.2
56	264	pmfs_9_12	9	12	-2.54273	-3.70088	0.2
