cell_index,grid_i,grid_j,x,y,occupancy
0,0,0,-5.2427301406860352,-7.300879955291748,Obstacle
1,1,0,-4.9427304267883301,-7.300879955291748,Obstacle
2,2,0,-4.6427302360534668,-7.300879955291748,Obstacle
3,3,0,-4.3427300453186035,-7.300879955291748,Obstacle
4,4,0,-4.0427303314208984,-7.300879955291748,Obstacle
5,5,0,-3.7427301406860352,-7.300879955291748,Obstacle
6,6,0,-3.442730188369751,-7.300879955291748,Obstacle
7,7,0,-3.1427302360534668,-7.300879955291748,Obstacle
8,8,0,-2.8427300453186035,-7.300879955291748,Obstacle
9,9,0,-2.5427300930023193,-7.300879955291748,Obstacle
10,10,0,-2.2427301406860352,-7.300879955291748,Obstacle
11,11,0,-1.942730188369751,-7.300879955291748,Obstacle
12,12,0,-1.6427299976348877,-7.300879955291748,Obstacle
13,13,0,-1.3427300453186035,-7.300879955291748,Obstacle
14,14,0,-1.0427298545837402,-7.300879955291748,Obstacle
15,15,0,-0.74273014068603516,-7.300879955291748,Obstacle
16,16,0,-0.44272994995117188,-7.300879955291748,Obstacle
17,17,0,-0.1427302360534668,-7.300879955291748,Obstacle
18,18,0,0.15726995468139648,-7.300879955291748,Obstacle
19,19,0,0.45727014541625977,-7.300879955291748,Obstacle
20,20,0,0.75726985931396484,-7.300879955291748,Obstacle
21,21,0,1.0572700500488281,-7.300879955291748,Obstacle
22,22,0,1.3572702407836914,-7.300879955291748,Obstacle
23,23,0,1.6572699546813965,-7.300879955291748,Obstacle
24,24,0,1.9572701454162598,-7.300879955291748,Obstacle
25,25,0,2.2572698593139648,-7.300879955291748,Obstacle
26,26,0,2.5572700500488281,-7.300879955291748,Obstacle
27,0,1,-5.2427301406860352,-7.000880241394043,Obstacle
28,1,1,-4.9427304267883301,-7.000880241394043,Free
29,2,1,-4.6427302360534668,-7.000880241394043,Free
30,3,1,-4.3427300453186035,-7.000880241394043,Free
31,4,1,-4.0427303314208984,-7.000880241394043,Free
32,5,1,-3.7427301406860352,-7.000880241394043,Free
33,6,1,-3.442730188369751,-7.000880241394043,Free
34,7,1,-3.1427302360534668,-7.000880241394043,Free
35,8,1,-2.8427300453186035,-7.000880241394043,Free
36,9,1,-2.5427300930023193,-7.000880241394043,Free
37,10,1,-2.2427301406860352,-7.000880241394043,Free
38,11,1,-1.942730188369751,-7.000880241394043,Free
39,12,1,-1.6427299976348877,-7.000880241394043,Free
40,13,1,-1.3427300453186035,-7.000880241394043,Free
41,14,1,-1.0427298545837402,-7.000880241394043,Free
42,15,1,-0.74273014068603516,-7.000880241394043,Obstacle
43,16,1,-0.44272994995117188,-7.000880241394043,Obstacle
44,17,1,-0.1427302360534668,-7.000880241394043,Obstacle
45,18,1,0.15726995468139648,-7.000880241394043,Obstacle
46,19,1,0.45727014541625977,-7.000880241394043,Obstacle
47,20,1,0.75726985931396484,-7.000880241394043,Obstacle
48,21,1,1.0572700500488281,-7.000880241394043,Obstacle
49,22,1,1.3572702407836914,-7.000880241394043,Obstacle
50,23,1,1.6572699546813965,-7.000880241394043,Obstacle
51,24,1,1.9572701454162598,-7.000880241394043,Obstacle
52,25,1,2.2572698593139648,-7.000880241394043,Obstacle
53,26,1,2.5572700500488281,-7.000880241394043,Obstacle
54,0,2,-5.2427301406860352,-6.7008800506591797,Obstacle
55,1,2,-4.9427304267883301,-6.7008800506591797,Free
56,2,2,-4.6427302360534668,-6.7008800506591797,Free
57,3,2,-4.3427300453186035,-6.7008800506591797,Free
58,4,2,-4.0427303314208984,-6.7008800506591797,Free
59,5,2,-3.7427301406860352,-6.7008800506591797,Free
60,6,2,-3.442730188369751,-6.7008800506591797,Free
61,7,2,-3.1427302360534668,-6.7008800506591797,Free
62,8,2,-2.8427300453186035,-6.7008800506591797,Free
63,9,2,-2.5427300930023193,-6.7008800506591797,Free
64,10,2,-2.2427301406860352,-6.7008800506591797,Free
65,11,2,-1.942730188369751,-6.7008800506591797,Free
66,12,2,-1.6427299976348877,-6.7008800506591797,Free
67,13,2,-1.3427300453186035,-6.7008800506591797,Free
68,14,2,-1.0427298545837402,-6.7008800506591797,Free
69,15,2,-0.74273014068603516,-6.7008800506591797,Obstacle
70,16,2,-0.44272994995117188,-6.7008800506591797,Obstacle
71,17,2,-0.1427302360534668,-6.7008800506591797,Obstacle
72,18,2,0.15726995468139648,-6.7008800506591797,Obstacle
73,19,2,0.45727014541625977,-6.7008800506591797,Obstacle
74,20,2,0.75726985931396484,-6.7008800506591797,Obstacle
75,21,2,1.0572700500488281,-6.7008800506591797,Obstacle
76,22,2,1.3572702407836914,-6.7008800506591797,Obstacle
77,23,2,1.6572699546813965,-6.7008800506591797,Obstacle
78,24,2,1.9572701454162598,-6.7008800506591797,Obstacle
