split,order,grid_i,grid_j,x,y,z_rule,clearance_m
train,1,11,20,-1.942730188369751,-1.300879955291748,INHERIT_FIXED_SOURCE_PLANE_FROM_PROTOCOL,0.6000003814697266
train,2,26,34,2.557270050048828,2.899120330810547,INHERIT_FIXED_SOURCE_PLANE_FROM_PROTOCOL,0.6000003814697266
train,3,2,2,-4.642730236053467,-6.70088005065918,INHERIT_FIXED_SOURCE_PLANE_FROM_PROTOCOL,0.600000143051147
train,4,2,38,-4.642730236053467,4.099120140075684,INHERIT_FIXED_SOURCE_PLANE_FROM_PROTOCOL,0.600000143051147
train,5,26,15,2.557270050048828,-2.800879955291748,INHERIT_FIXED_SOURCE_PLANE_FROM_PROTOCOL,0.6000003814697266
train,6,15,7,-0.742730140686035,-5.20088005065918,INHERIT_FIXED_SOURCE_PLANE_FROM_PROTOCOL,0.600000143051147
train,7,15,31,-0.742730140686035,1.9991207122802732,INHERIT_FIXED_SOURCE_PLANE_FROM_PROTOCOL,0.670820606498005
train,8,2,13,-4.642730236053467,-3.4008798599243164,INHERIT_FIXED_SOURCE_PLANE_FROM_PROTOCOL,0.600000143051147
val,1,18,16,0.1572699546813964,-2.5008797645568848,INHERIT_FIXED_SOURCE_PLANE_FROM_PROTOCOL,0.9000005722045898
val,2,8,33,-2.8427300453186035,2.599120140075684,INHERIT_FIXED_SOURCE_PLANE_FROM_PROTOCOL,0.600000143051147
test,1,2,27,-4.642730236053467,0.7991199493408203,INHERIT_FIXED_SOURCE_PLANE_FROM_PROTOCOL,0.600000143051147
test,2,22,24,1.3572702407836914,-0.1008796691894531,INHERIT_FIXED_SOURCE_PLANE_FROM_PROTOCOL,0.600000143051147
