t_sim_s,step,x,y,z,yaw,is_moving,seed
0.200000,1,-3.1700,-1.7500,0.3000,0.0000,0,2
0.400000,2,-3.1700,-1.7500,0.3000,0.0000,0,2
0.600000,3,-3.1700,-1.7500,0.3000,0.0000,0,2
0.800000,4,-3.1700,-1.7500,0.3000,0.0000,0,2
1.000000,5,-3.1700,-1.7500,0.3000,0.0000,0,2
1.200000,6,-3.1700,-1.7500,0.3000,0.0000,0,2
1.400000,7,-3.1700,-1.7500,0.3000,0.0000,0,2
1.600000,8,-3.1700,-1.7500,0.3000,0.0000,0,2
1.800000,9,-3.1700,-1.7500,0.3000,0.0000,0,2
2.000000,10,-3.1700,-1.7500,0.3000,0.0000,0,2
2.200000,11,-3.1700,-1.7500,0.3000,0.0000,0,2
2.400000,12,-3.1700,-1.7500,0.3000,0.0000,0,2
2.600000,13,-3.1700,-1.7500,0.3000,0.0000,0,2
2.800000,14,-3.1700,-1.7500,0.3000,0.0000,0,2
3.000000,15,-3.1700,-1.7500,0.3000,0.0000,0,2
3.200000,16,-3.1700,-1.7500,0.3000,0.0000,0,2
3.400000,17,-3.1700,-1.7500,0.3000,0.0000,0,2
3.600000,18,-3.1700,-1.7500,0.3000,0.0000,0,2
3.800000,19,-3.1700,-1.7500,0.3000,0.0000,0,2
4.000000,20,-3.1700,-1.7500,0.3000,0.0000,0,2
4.200000,21,-3.1700,-1.7500,0.3000,0.0000,0,2
4.400000,22,-3.1700,-1.7500,0.3000,0.0000,0,2
4.600000,23,-3.1700,-1.7500,0.3000,0.0000,0,2
4.800000,24,-3.1700,-1.7500,0.3000,0.0000,0,2
5.000000,25,-3.1700,-1.7500,0.3000,0.0000,0,2
5.200000,26,-3.1700,-1.7500,0.3000,0.0000,0,2
5.400000,27,-3.1700,-1.7500,0.3000,0.0000,0,2
5.600000,28,-3.1700,-1.7500,0.3000,0.0000,0,2
5.800000,29,-3.1700,-1.7500,0.3000,0.0000,0,2
6.000000,30,-3.1700,-1.7500,0.3000,0.0000,0,2
6.200000,31,-3.1700,-1.7500,0.3000,0.0000,0,2
6.400000,32,-3.1700,-1.7500,0.3000,0.0000,0,2
6.600000,33,-3.1700,-1.7500,0.3000,0.0000,0,2
6.800000,34,-3.1700,-1.7500,0.3000,0.0000,0,2
7.000000,35,-3.1700,-1.7500,0.3000,0.0000,0,2
7.200000,36,-3.1700,-1.7500,0.3000,0.0000,0,2
7.400000,37,-3.1700,-1.7500,0.3000,0.0000,0,2
7.600000,38,-3.1700,-1.7500,0.3000,0.0000,0,2
7.800000,39,-3.1700,-1.7500,0.3000,0.0000,0,2
8.000000,40,-3.1700,-1.7500,0.3000,0.0000,0,2
8.200000,41,-3.1700,-1.7500,0.3000,0.0000,0,2
8.400000,42,-3.1700,-1.7500,0.3000,0.0000,0,2
8.600000,43,-3.1700,-1.7500,0.3000,0.0000,0,2
8.800000,44,-3.1700,-1.7500,0.3000,0.0000,0,2
9.000000,45,-3.1700,-1.7500,0.3000,0.0000,0,2
9.200000,46,-3.1700,-1.7500,0.3000,0.0000,0,2
9.400000,47,-3.1700,-1.7500,0.3000,0.0000,0,2
9.600000,48,-3.1700,-1.7500,0.3000,0.0000,0,2
9.800000,49,-3.1700,-1.7500,0.3000,0.0000,0,2
10.000000,50,-3.1700,-1.7500,0.3000,0.0000,0,2
10.200000,51,-3.1700,-1.7500,0.3000,0.0000,0,2
10.400000,52,-3.1700,-1.7500,0.3000,0.0000,0,2
10.600000,53,-3.1700,-1.7500,0.3000,0.0000,0,2
10.800000,54,-3.1700,-1.7500,0.3000,0.0000,0,2
11.000000,55,-3.1700,-1.7500,0.3000,0.0000,0,2
11.200000,56,-3.1700,-1.7500,0.3000,0.0000,0,2
11.400000,57,-3.1700,-1.7500,0.3000,0.0000,0,2
11.600000,58,-3.1700,-1.7500,0.3000,0.0000,0,2
11.800000,59,-3.1700,-1.7500,0.3000,0.0000,0,2
12.000000,60,-3.1700,-1.7500,0.3000,0.0000,0,2
12.200000,61,-3.1700,-1.7500,0.3000,0.0000,0,2
12.400000,62,-3.1700,-1.7500,0.3000,0.0000,0,2
12.600000,63,-3.1700,-1.7500,0.3000,0.0000,0,2
12.800000,64,-3.1700,-1.7500,0.3000,0.0000,0,2
13.000000,65,-3.1700,-1.7500,0.3000,0.0000,0,2
13.200000,66,-3.1700,-1.7500,0.3000,0.0000,0,2
13.400000,67,-3.1700,-1.7500,0.3000,0.0000,0,2
13.600000,68,-3.1700,-1.7500,0.3000,0.0000,0,2
13.800000,69,-3.1700,-1.7500,0.3000,0.0000,0,2
14.000000,70,-3.1700,-1.7500,0.3000,0.0000,0,2
14.200000,71,-3.1700,-1.7500,0.3000,0.0000,0,2
14.400000,72,-3.1700,-1.7500,0.3000,0.0000,0,2
14.600000,73,-3.1700,-1.7500,0.3000,0.0000,0,2
14.800000,74,-3.1700,-1.7500,0.3000,0.0000,0,2
15.000000,75,-3.1700,-1.7500,0.3000,0.0000,0,2
15.200000,76,-3.1700,-1.7500,0.3000,0.0000,0,2
15.400000,77,-3.1700,-1.7500,0.3000,0.0000,0,2
15.600000,78,-3.1700,-1.7500,0.3000,0.0000,0,2
15.800000,79,-3.1700,-1.7500,0.3000,0.0000,0,2
16.000000,80,-3.1700,-1.7500,0.3000,0.0000,0,2
16.200000,81,-3.1700,-1.7500,0.3000,0.0000,0,2
16.400000,82,-3.1700,-1.7500,0.3000,0.0000,0,2
16.600000,83,-3.1700,-1.7500,0.3000,0.0000,0,2
16.800000,84,-3.1700,-1.7500,0.3000,0.0000,0,2
17.000000,85,-3.1700,-1.7500,0.3000,0.0000,0,2
17.200000,86,-3.1700,-1.7500,0.3000,0.0000,0,2
17.400000,87,-3.1700,-1.7500,0.3000,0.0000,0,2
17.600000,88,-3.1700,-1.7500,0.3000,0.0000,0,2
17.800000,89,-3.1700,-1.7500,0.3000,0.0000,0,2
18.000000,90,-3.1700,-1.7500,0.3000,0.0000,0,2
18.200000,91,-3.1700,-1.7500,0.3000,0.0000,0,2
18.400000,92,-3.1700,-1.7500,0.3000,0.0000,0,2
18.600000,93,-3.1700,-1.7500,0.3000,0.0000,0,2
18.800000,94,-3.1700,-1.7500,0.3000,0.0000,0,2
19.000000,95,-3.1700,-1.7500,0.3000,0.0000,0,2
19.200000,96,-3.1700,-1.7500,0.3000,0.0000,0,2
19.400000,97,-3.1700,-1.7500,0.3000,0.0000,0,2
19.600000,98,-3.1700,-1.7500,0.3000,0.0000,0,2
19.800000,99,-3.1700,-1.7500,0.3000,0.0000,0,2
20.000000,100,-3.1700,-1.7500,0.3000,0.0000,0,2
20.200000,101,-3.4639,-1.7300,0.3000,3.1416,1,2
20.400000,102,-3.6866,-1.5434,0.3000,2.3562,1,2
20.600000,103,-3.8988,-1.3312,0.3000,2.3562,1,2
20.800000,104,-4.1000,-1.1300,0.3000,2.3818,1,2
21.000000,105,-4.1000,-1.1300,0.3000,2.3818,0,2
21.200000,106,-4.1000,-1.1300,0.3000,2.3818,0,2
21.400000,107,-4.1000,-1.1300,0.3000,2.3818,0,2
21.600000,108,-4.1000,-1.1300,0.3000,2.3818,0,2
