depth,fold,subpanel,reference_replicates_zero_based,target_replicates_zero_based,mean_delta_nll,full_mean_nll,shuffled_target_median_mean_nll,positive
3,0,0,"1,5,9","0,4,8,12",3.564474584584287,29.795949503739294,33.36042408832358,1
3,0,1,"2,6,10","0,4,8,12",3.9564211285672446,8.597356868130792,12.553777996698036,1
3,0,2,"3,7,11","0,4,8,12",0.8496944683200102,44.11726800905987,44.96696247737988,1
4,0,0,"1,5,9,13","0,4,8,12",3.273332286944512,7.4132490488745555,10.686581335819069,1
4,0,1,"2,6,10,14","0,4,8,12",3.51430709243076,5.71174836958498,9.226055462015738,1
4,0,2,"3,7,11,15","0,4,8,12",5.563402775348061,8.960247096513532,14.523649871861595,1
6,0,0,"1,2,5,6,9,13","0,4,8,12",2.1233867054568285,1.89771850712216,4.0211052125789895,1
6,0,1,"2,3,6,7,10,14","0,4,8,12",3.501074799572176,2.6181401982714574,6.119214997843634,1
6,0,2,"1,3,5,7,11,15","0,4,8,12",4.884468665905831,5.185637562752551,10.070106228658384,1
8,0,0,"1,2,5,6,9,10,13,14","0,4,8,12",1.8612219988383716,1.3457173741014647,3.2069393729398366,1
8,0,1,"2,3,6,7,10,11,14,15","0,4,8,12",3.577297793561112,2.9248141454420953,6.502111939003208,1
8,0,2,"1,3,5,7,9,11,13,15","0,4,8,12",2.4237658347538424,2.649827285515533,5.073593120269376,1
10,0,0,"1,2,3,5,6,7,9,10,13,14","0,4,8,12",1.919773016383792,1.1411812483736579,3.06095426475745,1
10,0,1,"1,2,3,5,6,7,10,11,14,15","0,4,8,12",2.373893749762527,2.479853161364767,4.853746911127294,1
10,0,2,"1,2,3,5,6,7,9,11,13,15","0,4,8,12",1.9087130391651215,1.237258855626506,3.145971894791627,1
12,0,0,"1,2,3,5,6,7,9,10,11,13,14,15","0,4,8,12",1.9258837826319326,1.1309825179467141,3.0568663005786467,1
3,1,0,"0,4,8","1,5,9,13",4.075376867032566,8.76419302060071,12.839569887633274,1
3,1,1,"2,6,10","1,5,9,13",1.7588568840163434,18.31915126765441,20.07800815167075,1
3,1,2,"3,7,11","1,5,9,13",1.4023736356128513,12.935378408387358,14.337752044000208,1
4,1,0,"0,4,8,12","1,5,9,13",1.0088526103222897,4.576241721314683,5.585094331636972,1
4,1,1,"2,6,10,14","1,5,9,13",1.9060515872538564,3.174305659974554,5.08035724722841,1
4,1,2,"3,7,11,15","1,5,9,13",2.0048028453796776,4.493882837268512,6.4986856826481905,1
6,1,0,"0,2,4,6,8,12","1,5,9,13",1.853147092260532,3.8009219624081876,5.65406905466872,1
6,1,1,"2,3,6,7,10,14","1,5,9,13",2.137966779880869,2.561217771757721,4.69918455163859,1
6,1,2,"0,3,4,7,11,15","1,5,9,13",1.4927752051075374,0.856174346487504,2.3489495515950414,1
8,1,0,"0,2,4,6,8,10,12,14","1,5,9,13",1.8480318362080286,2.2685991618165193,4.116630998024547,1
8,1,1,"2,3,6,7,10,11,14,15","1,5,9,13",0.5608737318974355,1.0884176791465654,1.6492914110440013,1
