environment_index,house,wind,source_index,source_id,mean_delta_bp,mean_delta_mbd,positive_bp,positive_mbd
0,House01,"1,3-2,4_fast",0,pmfs_13_18,0.8615880657175239,0.459488858488706,1,1
0,House01,"1,3-2,4_fast",1,pmfs_13_19,91.90449157259317,45.82974830795938,1,1
0,House01,"1,3-2,4_fast",2,pmfs_27_36,-0.005844672604577439,-0.00534316266094903,0,0
0,House01,"1,3-2,4_fast",3,pmfs_26_36,-0.03017094999787595,0.0617253510245197,0,1
0,House01,"1,3-2,4_fast",4,pmfs_27_1,-3.108624468950438e-14,-3.064215547965432e-14,0,0
0,House01,"1,3-2,4_fast",5,pmfs_27_2,-1.1338652239345492e-10,-1.1041523251265062e-10,0,0
1,House02,"3,5-1_slow",0,pmfs_12_20,7.903455667701564e-12,2.5994761898573415e-11,1,1
1,House02,"3,5-1_slow",1,pmfs_11_20,-23.12072545790437,-28.505786926367396,0,0
1,House02,"3,5-1_slow",2,pmfs_1_1,-1.4961291916137931e-05,-1.3983292633204525e-05,0,0
1,House02,"3,5-1_slow",3,pmfs_2_1,-0.07812450108499076,-0.057073365868836955,0,0
1,House02,"3,5-1_slow",4,pmfs_2_38,-142.2237397873948,-128.78396482342606,0,0
1,House02,"3,5-1_slow",5,pmfs_2_37,-0.24349381361672995,0.13580400383378022,0,1
2,House02,"4,5-3_slow",0,pmfs_12_20,-7.688554692908411e-08,6.573746369475941e-08,0,1
2,House02,"4,5-3_slow",1,pmfs_11_20,-308.881508107581,-451.28460368935424,0,0
2,House02,"4,5-3_slow",2,pmfs_1_1,2.8896851578252836e-10,4.256477947883752e-10,1,1
2,House02,"4,5-3_slow",3,pmfs_2_1,-2.70484319513753,1.2751894001626245,0,1
2,House02,"4,5-3_slow",4,pmfs_2_38,0.1106418884394611,0.1574464470876511,1,1
2,House02,"4,5-3_slow",5,pmfs_2_37,0.20962368181630908,0.3083090905285626,1,1
