excluded_source_index,excluded_source_id,paired_mean_delta_nll,positive
0,pmfs_23_24,1.3783584700896814,1
1,pmfs_19_34,1.5426025660751617,1
2,pmfs_11_6,1.6552173646448562,1
3,pmfs_12_27,1.5442592666812875,1
4,pmfs_14_1,1.6535368726116264,1
5,pmfs_25_32,1.5825155433218963,1
6,pmfs_20_26,1.6133045420881524,1
7,pmfs_5_27,1.5625062667747613,1
8,pmfs_6_24,1.5684994508716927,1
9,pmfs_11_1,1.357934461036119,1
10,pmfs_4_4,1.28106285574187,1
11,pmfs_26_35,1.5862986113180542,1
12,pmfs_14_33,1.6449637053621278,1
13,pmfs_23_11,1.651726148060456,1
14,pmfs_23_16,1.638184096792339,1
15,pmfs_9_30,1.6505483394737588,1
16,pmfs_25_15,1.5871208586494097,1
17,pmfs_21_35,1.6400413207670148,1
