source_index,source_id,realization_index,realization_id,fold,nll,posterior_true,rank,top1,top3,map_source,map_error_m
0,pmfs_23_24,0,rep_01_seed_2026093001,0,4.318835067351756e-09,0.9999999956811649,1,1,1,0,0.0
0,pmfs_23_24,1,rep_02_seed_2026093002,1,1.6802886904088155e-07,0.9999998319711451,1,1,1,0,0.0
0,pmfs_23_24,2,rep_03_seed_2026093003,2,4.193054792267503e-10,0.9999999995806945,1,1,1,0,0.0
0,pmfs_23_24,3,rep_04_seed_2026093004,3,9.564573133502563e-08,0.9999999043542732,1,1,1,0,0.0
0,pmfs_23_24,4,rep_05_seed_2026093005,0,2.573015791540456e-07,0.9999997426984539,1,1,1,0,0.0
0,pmfs_23_24,5,rep_06_seed_2026093006,1,1.1994534197867779e-05,0.9999880055377363,1,1,1,0,0.0
0,pmfs_23_24,6,rep_07_seed_2026093007,2,3.261106940044556e-10,0.9999999996738893,1,1,1,0,0.0
0,pmfs_23_24,7,rep_08_seed_2026093008,3,2.7070001351603423e-08,0.999999972929999,1,1,1,0,0.0
0,pmfs_23_24,8,rep_09_seed_2026093009,0,0.8283484566075501,0.4367700356497117,2,0,1,6,1.0816653826391966
0,pmfs_23_24,9,rep_10_seed_2026093010,1,2.011013648939297e-07,0.9999997988986553,1,1,1,0,0.0
0,pmfs_23_24,10,rep_11_seed_2026093011,2,5.5848659030743875e-12,0.9999999999944151,1,1,1,0,0.0
0,pmfs_23_24,11,rep_12_seed_2026093012,3,1.6598185936800292e-07,0.9999998340181544,1,1,1,0,0.0
0,pmfs_23_24,12,rep_13_seed_2026093013,0,14.618756722393439,4.478727332780489e-07,2,0,1,6,1.0816653826391966
0,pmfs_23_24,13,rep_14_seed_2026093014,1,3.282364531287385e-07,0.9999996717636007,1,1,1,0,0.0
0,pmfs_23_24,14,rep_15_seed_2026093015,2,1.106315039578476e-10,0.9999999998893685,1,1,1,0,0.0
0,pmfs_23_24,15,rep_16_seed_2026093016,3,3.348587327423047e-07,0.9999996651413233,1,1,1,0,0.0
1,pmfs_19_34,0,rep_01_seed_2026093017,0,0.016703899524512344,0.9834348370504599,1,1,1,1,0.0
1,pmfs_19_34,1,rep_02_seed_2026093018,1,0.007079076090245273,0.9929459215473929,1,1,1,1,0.0
1,pmfs_19_34,2,rep_03_seed_2026093019,2,0.001991157693066903,0.9980108233463403,1,1,1,1,0.0
1,pmfs_19_34,3,rep_04_seed_2026093020,3,0.0007400088413795913,0.9992602648976358,1,1,1,1,0.0
1,pmfs_19_34,4,rep_05_seed_2026093021,0,0.0038985032328886504,0.9961090860653353,1,1,1,1,0.0
1,pmfs_19_34,5,rep_06_seed_2026093022,1,0.041053057626183165,0.9597782050436117,1,1,1,1,0.0
1,pmfs_19_34,6,rep_07_seed_2026093023,2,0.0110097171467185,0.9890506679782213,1,1,1,1,0.0
1,pmfs_19_34,7,rep_08_seed_2026093024,3,0.24465755720258286,0.7829726156714676,1,1,1,1,0.0
1,pmfs_19_34,8,rep_09_seed_2026093025,0,0.012454763482629971,0.9876224760846841,1,1,1,1,0.0
1,pmfs_19_34,9,rep_10_seed_2026093026,1,0.008997463168784137,0.9910428928782417,1,1,1,1,0.0
1,pmfs_19_34,10,rep_11_seed_2026093027,2,0.008586518422722733,0.9914502404411293,1,1,1,1,0.0
1,pmfs_19_34,11,rep_12_seed_2026093028,3,5.938937827325169,0.0026348268062558007,2,0,1,11,2.1213203435596424
1,pmfs_19_34,12,rep_13_seed_2026093029,0,0.00012900267540194577,0.9998710056450854,1,1,1,1,0.0
1,pmfs_19_34,13,rep_14_seed_2026093030,1,0.006319227810867467,0.9937006965183122,1,1,1,1,0.0
1,pmfs_19_34,14,rep_15_seed_2026093031,2,0.017826724257907323,0.9823312317853273,1,1,1,1,0.0
1,pmfs_19_34,15,rep_16_seed_2026093032,3,0.00021184074860536306,0.9997881816880616,1,1,1,1,0.0
2,pmfs_11_6,0,rep_01_seed_2026093033,0,2.256264537692232e-05,0.9999774376091577,1,1,1,2,0.0
2,pmfs_11_6,1,rep_02_seed_2026093034,1,1.1636980659091023e-06,0.9999988363026112,1,1,1,2,0.0
2,pmfs_11_6,2,rep_03_seed_2026093035,2,6.151265997900168e-06,0.9999938487529211,1,1,1,2,0.0
2,pmfs_11_6,3,rep_04_seed_2026093036,3,1.0086186037483458e-06,0.999998991381905,1,1,1,2,0.0
2,pmfs_11_6,4,rep_05_seed_2026093037,0,1.398964279530901e-06,0.999998601036699,1,1,1,2,0.0
2,pmfs_11_6,5,rep_06_seed_2026093038,1,3.390628880595159e-05,0.9999660942860058,1,1,1,2,0.0
2,pmfs_11_6,6,rep_07_seed_2026093039,2,8.538451186979046e-06,0.9999914615852655,1,1,1,2,0.0
2,pmfs_11_6,7,rep_08_seed_2026093040,3,2.3580219767893595e-06,0.9999976419808033,1,1,1,2,0.0
2,pmfs_11_6,8,rep_09_seed_2026093041,0,4.0878773432950766e-07,0.9999995912123493,1,1,1,2,0.0
2,pmfs_11_6,9,rep_10_seed_2026093042,1,1.2921790872866268e-06,0.9999987078217476,1,1,1,2,0.0
2,pmfs_11_6,10,rep_11_seed_2026093043,2,4.781122214581046e-06,0.9999952188892149,1,1,1,2,0.0
2,pmfs_11_6,11,rep_12_seed_2026093044,3,1.767144608955107e-05,0.9999823287100496,1,1,1,2,0.0
2,pmfs_11_6,12,rep_13_seed_2026093045,0,0.00013705798941821,0.999862951402599,1,1,1,2,0.0
2,pmfs_11_6,13,rep_14_seed_2026093046,1,1.5451942658728512e-06,0.999998454806928,1,1,1,2,0.0
2,pmfs_11_6,14,rep_15_seed_2026093047,2,3.929494464927075e-06,0.9999960705132556,1,1,1,2,0.0
2,pmfs_11_6,15,rep_16_seed_2026093048,3,2.9876902782888237e-06,0.9999970123141848,1,1,1,2,0.0
3,pmfs_12_27,0,rep_01_seed_2026093049,0,7.613287259310912,0.0004938457881190836,3,0,1,7,2.0999999999999996
3,pmfs_12_27,1,rep_02_seed_2026093050,1,7.625591060822501e-06,0.9999923744380139,1,1,1,3,0.0
3,pmfs_12_27,2,rep_03_seed_2026093051,2,2.2180638241664496e-06,0.9999977819386358,1,1,1,3,0.0
3,pmfs_12_27,3,rep_04_seed_2026093052,3,0.003351832603093463,0.9966537785168771,1,1,1,3,0.0
3,pmfs_12_27,4,rep_05_seed_2026093053,0,0.008959922830352074,0.9910800976621768,1,1,1,3,0.0
3,pmfs_12_27,5,rep_06_seed_2026093054,1,0.0017504356441282454,0.9982510954748385,1,1,1,3,0.0
3,pmfs_12_27,6,rep_07_seed_2026093055,2,1.970027101627636e-05,0.9999802999230328,1,1,1,3,0.0
3,pmfs_12_27,7,rep_08_seed_2026093056,3,0.001832444865166316,0.9981692330368814,1,1,1,3,0.0
3,pmfs_12_27,8,rep_09_seed_2026093057,0,25.086490061136736,1.2737253611277867e-11,5,0,0,9,7.805767098754614
3,pmfs_12_27,9,rep_10_seed_2026093058,1,0.006960306266927674,0.9930638605627184,1,1,1,3,0.0
3,pmfs_12_27,10,rep_11_seed_2026093059,2,3.151460042927212e-08,0.9999999684854001,1,1,1,3,0.0
3,pmfs_12_27,11,rep_12_seed_2026093060,3,5.2317146065128384e-05,0.9999476842224528,1,1,1,3,0.0
3,pmfs_12_27,12,rep_13_seed_2026093061,0,9.8406073867352e-06,0.9999901594410319,1,1,1,3,0.0
3,pmfs_12_27,13,rep_14_seed_2026093062,1,0.4788497724154308,0.6194955430217398,1,1,1,3,0.0
3,pmfs_12_27,14,rep_15_seed_2026093063,2,0.025790819225282036,0.9745389230959087,1,1,1,3,0.0
3,pmfs_12_27,15,rep_16_seed_2026093064,3,5.3298857522143805e-05,0.9999467025628367,1,1,1,3,0.0
4,pmfs_14_1,0,rep_01_seed_2026093065,0,0.00038535381080828657,0.999614720428435,1,1,1,4,0.0
4,pmfs_14_1,1,rep_02_seed_2026093066,1,0.2706465978605035,0.7628860543348793,1,1,1,4,0.0
4,pmfs_14_1,2,rep_03_seed_2026093067,2,0.00921737693855107,0.9908249728623524,1,1,1,4,0.0
4,pmfs_14_1,3,rep_04_seed_2026093068,3,0.0005680256220781388,0.999432135673934,1,1,1,4,0.0
4,pmfs_14_1,4,rep_05_seed_2026093069,0,0.038314626719981426,0.9624100933207904,1,1,1,4,0.0
4,pmfs_14_1,5,rep_06_seed_2026093070,1,0.041192062415534636,0.9596448005485421,1,1,1,4,0.0
4,pmfs_14_1,6,rep_07_seed_2026093071,2,0.039902976344738716,0.9608826629780313,1,1,1,4,0.0
4,pmfs_14_1,7,rep_08_seed_2026093072,3,0.001801689139219853,0.9981999329283573,1,1,1,4,0.0
4,pmfs_14_1,8,rep_09_seed_2026093073,0,0.0028495913191624034,0.9971544649123986,1,1,1,4,0.0
4,pmfs_14_1,9,rep_10_seed_2026093074,1,0.04797709541596129,0.9531556184604494,1,1,1,4,0.0
4,pmfs_14_1,10,rep_11_seed_2026093075,2,0.15140213226617494,0.8595019956694003,1,1,1,4,0.0
4,pmfs_14_1,11,rep_12_seed_2026093076,3,1.2910244320496957,0.274988931270878,2,0,1,8,7.305477397131552
4,pmfs_14_1,12,rep_13_seed_2026093077,0,0.07342690654040629,0.9292040620489357,1,1,1,4,0.0
4,pmfs_14_1,13,rep_14_seed_2026093078,1,2.7862782252869716,0.06165023575527945,2,0,1,2,1.7492855684535902
4,pmfs_14_1,14,rep_15_seed_2026093079,2,0.04024561299823026,0.9605534857553019,1,1,1,4,0.0
4,pmfs_14_1,15,rep_16_seed_2026093080,3,0.000610211261728999,0.9993899748792993,1,1,1,4,0.0
5,pmfs_25_32,0,rep_01_seed_2026093081,0,0.5976287274156558,0.5501145622666994,1,1,1,5,0.0
5,pmfs_25_32,1,rep_02_seed_2026093082,1,15.639412812913562,1.6139471717345456e-07,3,0,1,1,1.8973665961010278
5,pmfs_25_32,2,rep_03_seed_2026093083,2,0.021396342982699768,0.9788309349058226,1,1,1,5,0.0
5,pmfs_25_32,3,rep_04_seed_2026093084,3,0.0737230055441408,0.9289289663816833,1,1,1,5,0.0
5,pmfs_25_32,4,rep_05_seed_2026093085,0,0.08352372811196573,0.9198692596514937,1,1,1,5,0.0
5,pmfs_25_32,5,rep_06_seed_2026093086,1,0.04236464068897128,0.9585202013743361,1,1,1,5,0.0
5,pmfs_25_32,6,rep_07_seed_2026093087,2,0.29157481591988854,0.7470861175769177,1,1,1,5,0.0
5,pmfs_25_32,7,rep_08_seed_2026093088,3,0.023152896997710858,0.9771130746959235,1,1,1,5,0.0
5,pmfs_25_32,8,rep_09_seed_2026093089,0,0.8835150126470773,0.4133275038881307,2,0,1,17,1.5000000000000002
5,pmfs_25_32,9,rep_10_seed_2026093090,1,0.09060487195181066,0.9133785410877052,1,1,1,5,0.0
5,pmfs_25_32,10,rep_11_seed_2026093091,2,0.9816292536282889,0.3747001197369803,2,0,1,17,1.5000000000000002
5,pmfs_25_32,11,rep_12_seed_2026093092,3,0.0012772832475671514,0.9987235321314865,1,1,1,5,0.0
5,pmfs_25_32,12,rep_13_seed_2026093093,0,0.0003637288455011767,0.9996363372958159,1,1,1,5,0.0
5,pmfs_25_32,13,rep_14_seed_2026093094,1,0.04798448357805901,0.9531485764182498,1,1,1,5,0.0
5,pmfs_25_32,14,rep_15_seed_2026093095,2,1.4153135875102985,0.2428494469534883,2,0,1,1,1.8973665961010278
5,pmfs_25_32,15,rep_16_seed_2026093096,3,0.0553730933140219,0.9461320865394833,1,1,1,5,0.0
6,pmfs_20_26,0,rep_01_seed_2026093097,0,3.317914831768576e-10,0.9999999996682085,1,1,1,6,0.0
6,pmfs_20_26,1,rep_02_seed_2026093098,1,9.399059308634605e-11,0.9999999999060094,1,1,1,6,0.0
6,pmfs_20_26,2,rep_03_seed_2026093099,2,26.127227773237365,4.498721938145029e-12,2,0,1,0,1.0816653826391966
6,pmfs_20_26,3,rep_04_seed_2026093100,3,2.7246223055499286e-09,0.9999999972753777,1,1,1,6,0.0
6,pmfs_20_26,4,rep_05_seed_2026093101,0,1.5588952351208718e-10,0.9999999998441105,1,1,1,6,0.0
6,pmfs_20_26,5,rep_06_seed_2026093102,1,2.574657287368609e-08,0.9999999742534275,1,1,1,6,0.0
6,pmfs_20_26,6,rep_07_seed_2026093103,2,2.3447910280083306e-12,0.9999999999976552,1,1,1,6,0.0
6,pmfs_20_26,7,rep_08_seed_2026093104,3,3.4309337593185774e-09,0.9999999965690662,1,1,1,6,0.0
6,pmfs_20_26,8,rep_09_seed_2026093105,0,2.801279208597407e-10,0.9999999997198721,1,1,1,6,0.0
6,pmfs_20_26,9,rep_10_seed_2026093106,1,1.2133131832570143e-08,0.9999999878668683,1,1,1,6,0.0
