source_index,source_id,nearest_index,nearest_id,distance_m
0,pmfs_1_12,7,pmfs_2_12,0.2999999999999998
1,pmfs_1_13,8,pmfs_2_13,0.2999999999999998
2,pmfs_1_14,3,pmfs_1_15,0.2999999999999994
3,pmfs_1_15,2,pmfs_1_14,0.2999999999999994
4,pmfs_1_16,5,pmfs_1_17,0.2999999999999994
5,pmfs_1_17,4,pmfs_1_16,0.2999999999999994
6,pmfs_1_18,13,pmfs_2_18,0.2999999999999998
7,pmfs_2_12,0,pmfs_1_12,0.2999999999999998
8,pmfs_2_13,1,pmfs_1_13,0.2999999999999998
9,pmfs_2_14,10,pmfs_2_15,0.2999999999999994
10,pmfs_2_15,9,pmfs_2_14,0.2999999999999994
11,pmfs_2_16,12,pmfs_2_17,0.2999999999999994
12,pmfs_2_17,11,pmfs_2_16,0.2999999999999994
13,pmfs_2_18,6,pmfs_1_18,0.2999999999999998
14,pmfs_3_12,7,pmfs_2_12,0.2999999999999998
15,pmfs_3_13,8,pmfs_2_13,0.2999999999999998
16,pmfs_3_14,17,pmfs_3_15,0.2999999999999994
17,pmfs_3_15,16,pmfs_3_14,0.2999999999999994
18,pmfs_3_16,19,pmfs_3_17,0.2999999999999994
19,pmfs_3_17,18,pmfs_3_16,0.2999999999999994
20,pmfs_3_18,13,pmfs_2_18,0.2999999999999998
21,pmfs_4_12,28,pmfs_5_12,0.2999999999999998
22,pmfs_4_13,29,pmfs_5_13,0.2999999999999998
23,pmfs_4_14,24,pmfs_4_15,0.2999999999999994
24,pmfs_4_15,23,pmfs_4_14,0.2999999999999994
25,pmfs_4_16,26,pmfs_4_17,0.2999999999999994
26,pmfs_4_17,25,pmfs_4_16,0.2999999999999994
27,pmfs_4_18,34,pmfs_5_18,0.2999999999999998
28,pmfs_5_12,21,pmfs_4_12,0.2999999999999998
29,pmfs_5_13,22,pmfs_4_13,0.2999999999999998
30,pmfs_5_14,31,pmfs_5_15,0.2999999999999994
31,pmfs_5_15,30,pmfs_5_14,0.2999999999999994
32,pmfs_5_16,33,pmfs_5_17,0.2999999999999994
33,pmfs_5_17,32,pmfs_5_16,0.2999999999999994
34,pmfs_5_18,27,pmfs_4_18,0.2999999999999998
35,pmfs_6_12,28,pmfs_5_12,0.2999999999999998
36,pmfs_6_13,29,pmfs_5_13,0.2999999999999998
37,pmfs_6_14,38,pmfs_6_15,0.2999999999999994
38,pmfs_6_15,37,pmfs_6_14,0.2999999999999994
39,pmfs_6_16,40,pmfs_6_17,0.2999999999999994
40,pmfs_6_17,39,pmfs_6_16,0.2999999999999994
41,pmfs_6_18,34,pmfs_5_18,0.2999999999999998
42,pmfs_7_12,49,pmfs_8_12,0.2999999999999998
43,pmfs_7_13,50,pmfs_8_13,0.2999999999999998
44,pmfs_7_14,45,pmfs_7_15,0.2999999999999994
45,pmfs_7_15,44,pmfs_7_14,0.2999999999999994
46,pmfs_7_16,47,pmfs_7_17,0.2999999999999994
47,pmfs_7_17,46,pmfs_7_16,0.2999999999999994
48,pmfs_7_18,55,pmfs_8_18,0.2999999999999998
49,pmfs_8_12,42,pmfs_7_12,0.2999999999999998
50,pmfs_8_13,43,pmfs_7_13,0.2999999999999998
51,pmfs_8_14,52,pmfs_8_15,0.2999999999999994
52,pmfs_8_15,51,pmfs_8_14,0.2999999999999994
53,pmfs_8_16,54,pmfs_8_17,0.2999999999999994
54,pmfs_8_17,53,pmfs_8_16,0.2999999999999994
55,pmfs_8_18,48,pmfs_7_18,0.2999999999999998
56,pmfs_9_12,49,pmfs_8_12,0.2999999999999998
57,pmfs_9_13,50,pmfs_8_13,0.2999999999999998
58,pmfs_9_14,59,pmfs_9_15,0.2999999999999994
59,pmfs_9_15,58,pmfs_9_14,0.2999999999999994
60,pmfs_9_16,61,pmfs_9_17,0.2999999999999994
61,pmfs_9_17,60,pmfs_9_16,0.2999999999999994
62,pmfs_9_18,55,pmfs_8_18,0.2999999999999998
63,pmfs_10_12,70,pmfs_11_12,0.2999999999999998
64,pmfs_10_13,71,pmfs_11_13,0.2999999999999998
65,pmfs_10_14,66,pmfs_10_15,0.2999999999999994
66,pmfs_10_15,65,pmfs_10_14,0.2999999999999994
67,pmfs_10_16,68,pmfs_10_17,0.2999999999999994
68,pmfs_10_17,67,pmfs_10_16,0.2999999999999994
69,pmfs_10_18,76,pmfs_11_18,0.2999999999999998
70,pmfs_11_12,63,pmfs_10_12,0.2999999999999998
71,pmfs_11_13,64,pmfs_10_13,0.2999999999999998
72,pmfs_11_14,73,pmfs_11_15,0.2999999999999994
73,pmfs_11_15,72,pmfs_11_14,0.2999999999999994
74,pmfs_11_16,75,pmfs_11_17,0.2999999999999994
75,pmfs_11_17,74,pmfs_11_16,0.2999999999999994
76,pmfs_11_18,69,pmfs_10_18,0.2999999999999998
77,pmfs_12_12,70,pmfs_11_12,0.2999999999999998
78,pmfs_12_13,71,pmfs_11_13,0.2999999999999998
79,pmfs_12_14,80,pmfs_12_15,0.2999999999999994
80,pmfs_12_15,79,pmfs_12_14,0.2999999999999994
81,pmfs_12_16,82,pmfs_12_17,0.2999999999999994
82,pmfs_12_17,81,pmfs_12_16,0.2999999999999994
83,pmfs_12_18,76,pmfs_11_18,0.2999999999999998
84,pmfs_13_12,77,pmfs_12_12,0.30000000000000027
85,pmfs_13_13,78,pmfs_12_13,0.30000000000000027
86,pmfs_13_14,87,pmfs_13_15,0.2999999999999994
87,pmfs_13_15,86,pmfs_13_14,0.2999999999999994
