model,source_index,source_id,realization_index,fold,truth_nll,truth_rank,top1,top3,top5,brier,posterior_mass_0p5m,posterior_mass_1p0m,posterior_expected_distance_m,map_distance_error_m,map_source_id,nearest_neighbor_confusion,truth_vs_nearest_logodds
FULL,0,pmfs_1_12,0,0,0.15883505418227273,1,1,1,1,0.03664164004576509,0.8540272914077524,0.854027320111817,0.362274786896237,0.0,pmfs_1_12,0,6.865203901376439
FULL,0,pmfs_1_12,1,1,1.850128873470788,3,0,1,1,0.8759550784787389,0.1660677394581662,0.9358908386133348,0.7737584899563836,0.8485281374238575,pmfs_3_14,0,3.1091189740980116
FULL,0,pmfs_1_12,2,2,1.7072486473321211,3,0,1,1,0.8174491743543756,0.5990107373436637,0.8887991792809798,0.5098290121110405,0.3000000000000007,pmfs_1_13,0,0.3393895272839025
FULL,0,pmfs_1_12,3,3,2.6611839427050192,6,0,0,0,0.9725232122986217,0.08361914681935412,0.40673318359014077,1.200269368970711,0.8485281374238575,pmfs_3_14,0,1.7616366332986253
FULL,0,pmfs_1_12,4,0,2.084386718356214,4,0,0,1,0.8969672881892163,0.16565021234212787,0.7236822104718683,0.926928057597173,1.8000000000000003,pmfs_1_18,0,2.232530798622804
FULL,0,pmfs_1_12,5,1,0.002137446112905117,1,1,1,1,5.580603706700771e-06,0.9988154494430078,0.9990025738903566,0.002570689643979087,0.0,pmfs_1_12,0,6.995071029850267
FULL,0,pmfs_1_12,6,2,3.0354983526983634,6,0,0,0,1.1093515217807837,0.09511669206296425,0.8678570572106328,0.8842083710704778,0.8485281374238575,pmfs_3_14,0,0.30206296800939825
FULL,0,pmfs_1_12,7,3,1.2983613167876515,2,0,1,1,0.6463100078672512,0.39039232063208695,0.8411866844748384,0.6089060670470577,0.5999999999999996,pmfs_3_12,0,1.114977595892146
FULL,0,pmfs_1_12,8,0,0.00837807952298153,1,1,1,1,0.00013734927709363465,0.9998869212626541,0.99988781043836,0.002741458314303827,0.0,pmfs_1_12,0,4.791595293475588
FULL,0,pmfs_1_12,9,1,29.47283496696707,24,0,0,0,1.2300007734709413,0.4375878659650869,0.5157198511557486,0.8393968435736984,1.2000000000000006,pmfs_1_16,0,-27.744777261284725
FULL,0,pmfs_1_12,10,2,0.9644603469188522,2,0,1,1,0.5382502129273753,0.4433314412150612,0.9277733836464922,0.575866679991664,0.8485281374238575,pmfs_3_14,0,1.853109329206891
