run,house,seed,update,n,samples,cells,m_hits,t_hits,truth_dist,native,m_support,t_support,m_brier,t_brier,m_contrast,t_contrast,null_frac
House01_seed0_off_off,House01,seed0,1,146,328,10,26,34,0.23347838323974526,98.5,94.0,94.0,68.0,71.0,73.0,73.0,0.47
House01_seed0_off_off,House01,seed0,2,168,266,18,8,16,0.04705925759322077,113.5,115.5,123.0,48.5,70.5,63.5,62.5,0.62
House01_seed0_off_off,House01,seed0,3,156,266,17,72,74,0.19257451627526212,113.0,118.5,130.5,79.5,89.5,96.5,99.5,0.11
House01_seed0_off_off,House01,seed0,4,144,253,8,189,196,0.16523536504302755,110.0,118.5,118.5,118.5,118.5,90.5,89.5,1.0
House01_seed0_off_off,House01,seed0,5,152,266,17,240,240,0.13542243823578204,110.0,128.5,128.5,128.5,128.5,102.5,102.5,1.0
House01_seed1_off_off,House01,seed1,1,138,327,10,68,68,0.23347838323974526,115.5,110.5,111.5,64.5,65.5,82.5,83.5,0.32
House01_seed1_off_off,House01,seed1,2,146,260,17,8,18,0.04705925759322077,110.5,99.5,121.5,23.0,26.0,52.0,53.0,0.31
House01_seed1_off_off,House01,seed1,3,150,288,33,15,39,0.19257451627526212,103.0,119.0,129.0,23.0,59.0,62.0,69.0,0.6
House01_seed1_off_off,House01,seed1,4,152,264,18,210,190,0.16523536504302755,134.5,134.0,134.0,133.5,133.5,78.5,70.5,0.2
House01_seed1_off_off,House01,seed1,5,148,253,10,176,163,0.13542243823578204,117.0,124.5,124.0,124.5,123.5,82.5,80.5,1.0
House02_seed0_off_off,House02,seed0,1,142,328,11,84,72,0.37695051554019204,127.0,127.0,123.0,106.0,94.0,100.0,97.0,1.0
House02_seed0_off_off,House02,seed0,2,128,268,20,0,0,0.4418856821736294,112.0,,,15.5,15.5,,,
House02_seed0_off_off,House02,seed0,3,134,270,22,176,181,0.19707384269113398,109.0,118.5,118.5,108.5,118.5,44.5,44.5,1.0
House02_seed0_off_off,House02,seed0,4,140,252,9,252,252,0.34451703287300206,116.0,115.0,115.0,115.0,115.0,,,1.0
House02_seed0_off_off,House02,seed0,5,148,253,9,253,253,0.4264428422300538,123.0,123.0,123.0,123.0,123.0,,,1.0
House02_seed1_off_off,House02,seed1,1,154,329,11,159,145,0.37695051554019204,143.0,139.5,139.5,132.5,131.5,123.5,122.5,0.74
House02_seed1_off_off,House02,seed1,2,142,265,19,0,0,0.4418856821736294,130.0,,,15.0,15.0,,,
House02_seed1_off_off,House02,seed1,3,128,263,18,89,93,0.19707384269113398,102.0,108.5,111.0,58.5,70.5,50.5,51.5,0.64
House02_seed1_off_off,House02,seed1,4,140,261,14,261,261,0.34451703287300206,121.0,126.5,126.5,126.5,126.5,,,1.0
House02_seed1_off_off,House02,seed1,5,144,260,14,260,260,0.4264428422300538,121.0,128.0,128.0,128.0,128.0,,,1.0
House03_seed0_off_off,House03,seed0,1,209,340,18,100,106,0.04384165986497653,135.0,127.0,126.0,200.0,126.0,200.0,201.0,0.7
House03_seed0_off_off,House03,seed0,2,203,262,13,262,262,0.987872364320517,152.0,176.0,176.0,176.0,176.0,,,1.0
House03_seed0_off_off,House03,seed0,3,199,259,15,259,259,0.6556942950893327,148.0,171.0,171.0,171.0,171.0,,,1.0
House03_seed0_off_off,House03,seed0,4,201,266,19,266,266,0.9949373706652486,152.0,176.0,176.0,176.0,176.0,,,1.0
House03_seed0_off_off,House03,seed0,5,197,253,8,253,253,1.0331796637465571,149.0,155.0,155.0,155.0,155.0,,,1.0
House03_seed1_off_off,House03,seed1,1,199,342,18,71,52,0.04384165986497653,51.0,84.0,67.0,138.0,119.0,185.0,170.0,0.96
House03_seed1_off_off,House03,seed1,2,183,260,12,19,6,0.31380465268638963,23.0,30.0,124.0,5.0,158.0,24.0,168.0,0.69
House03_seed1_off_off,House03,seed1,3,193,280,34,275,277,0.6556942950893327,140.0,166.0,169.0,163.0,167.0,159.0,159.0,0.0
House03_seed1_off_off,House03,seed1,4,203,260,16,260,260,0.9949373706652486,150.0,176.5,176.5,176.5,176.5,,,1.0
House03_seed1_off_off,House03,seed1,5,199,256,12,256,256,1.0331796637465571,148.0,161.5,161.5,161.5,161.5,,,1.0
