run_uuid,goal_id,event,outcome,sim_time,goal_x,goal_y
CTPI_H03_S12_M1R_20260912T135628Z,1,SENT,PENDING,16.2426,1.1,0.387
CTPI_H03_S12_M1R_20260912T135628Z,1,RESULT,SUCCEEDED,17.0029,1.1,0.387
CTPI_H03_S12_M1R_20260912T135628Z,2,SENT,PENDING,33.0323,0.2,0.387
CTPI_H03_S12_M1R_20260912T135628Z,2,RESULT,SUCCEEDED,33.8031,0.2,0.387
CTPI_H03_S12_M1R_20260912T135628Z,3,SENT,PENDING,49.936,5.9,-0.213
CTPI_H03_S12_M1R_20260912T135628Z,3,RESULT,SUCCEEDED,54.994,5.9,-0.213
CTPI_H03_S12_M1R_20260912T135628Z,4,SENT,PENDING,71.5703,7.1,-0.513
CTPI_H03_S12_M1R_20260912T135628Z,4,RESULT,SUCCEEDED,72.5871,7.1,-0.513
CTPI_H03_S12_M1R_20260912T135628Z,5,SENT,PENDING,88.6504,7.1,0.087
CTPI_H03_S12_M1R_20260912T135628Z,5,RESULT,SUCCEEDED,89.2218,7.1,0.087
CTPI_H03_S12_M1R_20260912T135628Z,6,SENT,PENDING,105.253,7.7,-0.213
CTPI_H03_S12_M1R_20260912T135628Z,6,RESULT,SUCCEEDED,105.822,7.7,-0.213
CTPI_H03_S12_M1R_20260912T135628Z,7,SENT,PENDING,122.479,8.3,-0.513
CTPI_H03_S12_M1R_20260912T135628Z,7,RESULT,SUCCEEDED,122.987,8.3,-0.513
CTPI_H03_S12_M1R_20260912T135628Z,8,SENT,PENDING,139.04,7.7,-0.813
CTPI_H03_S12_M1R_20260912T135628Z,8,RESULT,SUCCEEDED,139.58,7.7,-0.813
CTPI_H03_S12_M1R_20260912T135628Z,9,SENT,PENDING,155.643,8,0.387
CTPI_H03_S12_M1R_20260912T135628Z,9,RESULT,SUCCEEDED,156.58,8,0.387
CTPI_H03_S12_M1R_20260912T135628Z,10,SENT,PENDING,173.201,6.2,0.687
CTPI_H03_S12_M1R_20260912T135628Z,10,RESULT,SUCCEEDED,174.622,6.2,0.687
CTPI_H03_S12_M1R_20260912T135628Z,11,SENT,PENDING,190.942,5.6,0.387
CTPI_H03_S12_M1R_20260912T135628Z,11,RESULT,SUCCEEDED,191.6,5.6,0.387
CTPI_H03_S12_M1R_20260912T135628Z,12,SENT,PENDING,207.653,5.3,-0.213
CTPI_H03_S12_M1R_20260912T135628Z,12,RESULT,SUCCEEDED,208.193,5.3,-0.213
CTPI_H03_S12_M1R_20260912T135628Z,13,SENT,PENDING,224.868,8.9,1.287
CTPI_H03_S12_M1R_20260912T135628Z,13,RESULT,SUCCEEDED,227.811,8.9,1.287
