environment_index,source_index,target_index,candidate_index,candidate_id,occurrence_ll,conditional_mark_ll,upper_mark_ll,marked_ll,upper_ll,edf_squared_discrepancy,scaled_value_SSE,B2_positive_scale
0,0,0,0,pmfs_13_18,-255.56022384462534,-82.70824281335787,-74.753314583274403,-338.2684666579832,-330.31353842789974,30.207499999999996,1284.6181474239111,0.69013791078193321
0,0,0,1,pmfs_13_19,-242.8809272470865,-85.175465041666627,-98.972604596093305,-328.05639228875316,-341.85353184317978,29.867277777777776,2068.550540898043,0.82620982600872184
0,0,0,2,pmfs_27_36,-485.62112319340122,-117.84054914684846,-117.84054914684846,-603.46167234024972,-603.46167234024972,37.984388888888887,16080.032480888072,7.484606181546973e-05
0,0,0,3,pmfs_26_36,-477.38026977069569,-117.84054914684846,-117.84054914684846,-595.22081891754419,-595.22081891754419,37.496611111111115,16080.030787339489,0.00010838116666098318
0,0,0,4,pmfs_27_1,-584.24302129327816,-117.81153586395678,-117.84054914684846,-702.05455715723497,-702.08357044012666,13.621277777777777,16079.88472227185,0.00062472827143144607
0,0,0,5,pmfs_27_2,-580.77946703177872,-117.81001382190156,-117.84054914684846,-698.58948085368024,-698.62001617862722,13.621277777777777,16079.844274211544,0.00077981575444419733
0,0,1,0,pmfs_13_18,-295.72827707846676,-82.364152602163998,62.54015603212116,-378.09242968063074,-233.1881210463456,28.065222222222221,223.3541010824583,0.3445846795178209
0,0,1,1,pmfs_13_19,-278.57542141645507,-84.39340132056968,-43.174194806816381,-362.96882273702477,-321.74961622327146,27.480777777777782,376.94375483627203,0.41498864968899718
0,0,1,2,pmfs_27_36,-494.06203990545964,-110.07699294272967,-110.07699294272967,-604.13903284818934,-604.13903284818934,37.177444444444447,3911.8311401967367,6.4442469236688287e-05
0,0,1,3,pmfs_26_36,-483.25356053663438,-110.07699294272967,-110.07699294272967,-593.33055347936408,-593.33055347936408,36.476111111111109,3911.8299762190672,9.2215716537540941e-05
0,0,1,4,pmfs_27_1,-550.21081546505559,-108.83201717490314,-109.63285280890287,-659.04283263995876,-659.84366827395843,11.077222222222222,3908.0148764110827,0.003138344943951034
0,0,1,5,pmfs_27_2,-545.65565310360898,-108.81571714781033,-109.70082033480575,-654.47137025141933,-655.3564734384147,11.077222222222222,3907.2865950867877,0.0037972220094717912
0,0,2,0,pmfs_13_18,-314.12274167196227,-99.740803843004585,-55.254821138860038,-413.86354551496686,-369.37756281082233,27.028500000000001,330.68445682089344,0.42871089583551636
0,0,2,1,pmfs_13_19,-295.39503396403853,-101.73972058359944,-86.890461734333527,-397.13475454763795,-382.28549569837207,26.456500000000002,589.50376240297373,0.51530757838015073
0,0,2,2,pmfs_27_36,-499.06092267396622,-130.06303115047211,-130.06303115047211,-629.12395382443833,-629.12395382443833,36.621166666666667,6040.0030070324174,6.957477974345792e-05
0,0,2,3,pmfs_26_36,-486.60432241402179,-130.06303115047211,-130.06303115047211,-616.66735356449385,-616.66735356449385,35.883833333333342,6040.00163441119,9.9737519851248444e-05
0,0,2,4,pmfs_27_1,-569.64198244841498,-128.51596573092525,-129.98629923812894,-698.15794817934022,-699.62828168654391,10.960500000000001,6037.6606346463423,0.0024594879449451952
0,0,2,5,pmfs_27_2,-564.60029227548512,-128.49762163870065,-130.00025798906671,-693.09791391418571,-694.60055026455188,10.960500000000001,6037.1556030949996,0.0030064502575462958
0,0,3,0,pmfs_13_18,-286.71416773992632,-84.461486496545248,45.903383588478292,-371.17565423647159,-240.81078415144805,28.358655555555558,554.66520491506537,0.52256120251502958
0,0,3,1,pmfs_13_19,-270.24795739453037,-86.867013396851007,-87.639866045221865,-357.11497079138138,-357.88782343975225,27.835544444444444,966.24484347891325,0.62706550161155883
0,0,3,2,pmfs_27_36,-479.08513833504543,-117.823375087193,-117.823375087193,-596.90851342223846,-596.90851342223846,36.925322222222221,9037.2778239227264,6.9494548048900474e-05
0,0,3,3,pmfs_26_36,-467.87294901642679,-117.823375087193,-117.823375087193,-585.69632410361976,-585.69632410361976,36.323544444444451,9037.2764119293261,0.00010009782200406512
