probe_rank,cell_index,x,y
1,535,-3.4499999999999993,-2.38
2,1071,0.7500000000000009,3.0200000000000005
3,56,0.7500000000000009,-7.38
4,1046,-6.85,3.0200000000000005
5,30,-7.05,-7.38
6,491,0.7500000000000009,-2.9799999999999995
7,914,-3.05,1.62
8,159,-3.25,-6.38
9,639,-7.05,-0.9799999999999995
10,352,-6.25,-4.18
11,778,-0.2499999999999991,0.020000000000000462
12,339,-1.4499999999999993,-4.38
13,763,-4.85,0.020000000000000462
14,600,-1.4499999999999993,-1.7799999999999994
15,49,-1.4499999999999993,-7.38
16,181,-5.25,-5.9799999999999995
17,1006,-1.2499999999999991,2.62
18,1054,-4.449999999999999,3.0200000000000005
19,711,-2.8499999999999996,-0.3799999999999999
20,228,0.15000000000000036,-5.58
21,587,-5.25,-1.7799999999999994
22,905,-5.6499999999999995,1.62
23,415,-4.6499999999999995,-3.58
24,204,-7.05,-5.58
25,813,-7.05,0.6200000000000001
26,861,-1.4499999999999993,1.0200000000000005
27,272,-4.05,-4.9799999999999995
28,525,-6.6499999999999995,-2.38
29,1060,-2.6499999999999995,3.0200000000000005
30,422,-2.6499999999999995,-3.58
