cell_index,u,v
28,-1.651599995966535e-05,2.098299955832772e-05
29,-2.6437999622430652e-05,1.8837999959941953e-05
30,-3.455700061749667e-05,1.4324999938253313e-05
31,-4.210599945508875e-05,1.0202999874309171e-05
32,-5.058099850430153e-05,6.438499895011773e-06
33,-6.097900040913373e-05,2.8942999961145688e-06
34,-7.35970024834387e-05,-7.717100061199744e-07
35,-8.610000077169389e-05,-4.178999915893655e-06
36,-9.497100109001622e-05,-6.392000159394229e-06
37,-9.916500130202621e-05,-7.953900421853177e-06
38,-0.00010458999895490706,-1.2270999832253437e-05
39,-0.00010381999891251326,-2.914099968620576e-05
40,-7.853400165913627e-05,-4.058500053361058e-05
41,-4.3453001126181334e-05,-2.968099943245761e-05
55,-1.660899943090044e-05,2.5979999918490648e-05
56,-2.2046999220037833e-05,2.2832999093225226e-05
57,-2.6743999114842154e-05,1.7035999917425215e-05
58,-3.1897001463221386e-05,1.1711999832186848e-05
59,-3.808999827015214e-05,7.905799975560512e-06
60,-4.629099930753e-05,5.772099939349573e-06
61,-5.666599827236496e-05,4.997400083084358e-06
62,-6.753399793524295e-05,5.11759981236537e-06
63,-7.724700117250904e-05,4.360099865152733e-06
64,-8.543200237909332e-05,2.0135998965997715e-06
65,-9.311600297223777e-05,-1.0377999615229783e-06
66,-9.151900303550065e-05,-7.803600055922288e-06
67,-7.845299842301756e-05,-2.0789999325643294e-05
68,-5.204799890634604e-05,-1.7751999621395953e-05
82,-1.1363999874447472e-05,2.8365000616759062e-05
83,-1.4741999621037394e-05,2.3623999368282966e-05
84,-1.76800003828248e-05,1.7918000594363548e-05
85,-2.1498999558389187e-05,1.2739000339934137e-05
86,-2.680000034160912e-05,9.35970001592068e-06
87,-3.408599877730012e-05,8.80009974935092e-06
88,-4.33450004493352e-05,1.1285999789834023e-05
89,-5.405200136010535e-05,1.5678000636398792e-05
90,-6.645199755439535e-05,2.044500070041977e-05
91,-7.980800000950694e-05,2.4424000002909452e-05
92,-9.209499694406986e-05,2.474999928381294e-05
93,-9.904799662763253e-05,1.569800042489078e-05
94,-9.518000297248363e-05,-9.111100212066958e-07
95,-7.021499914117157e-05,-4.593900030158693e-06
109,-4.59930015495047e-06,2.893999953812454e-05
110,-6.392599971150048e-06,2.352599949517753e-05
111,-8.328999683726579e-06,1.828700078476686e-05
112,-1.1314999937894754e-05,1.3916999705543276e-05
113,-1.594400055182632e-05,1.1551000170584302e-05
