case_id,House,seed,anchor_id,anchor_target_time_s,valid,selection_window_s,anchor_sim_time_s,center_x_m,center_y_m,center_z_m,clearance_m,invalid_reason
House01_seed0,House01,0,anchor060,60,1,15,67.2,-3.8,-0.83,0.3,1.4500000000000002,
House01_seed0,House01,0,anchor150,150,1,15,156.0,-2.9,2.17,0.3,0.9499999999999997,
House01_seed0,House01,0,anchor240,240,1,15,240.6,-1.9636,2.1336,0.3,0.9057869065072648,
House01_seed1,House01,1,anchor060,60,1,15,60.0,-5.9,-0.83,0.3,1.2747548783981957,
House01_seed1,House01,1,anchor150,150,1,15,136.6,-2.0,2.17,0.3,0.8631338250816039,
House01_seed1,House01,1,anchor240,240,1,15,240.0,-3.5,-0.83,0.3,1.2500000000000009,
House02_seed0,House02,0,anchor060,60,1,15,66.4,-2.8427,-2.5009,0.3,1.7499800000000003,
House02_seed0,House02,0,anchor150,150,1,15,157.0,-2.2427,-5.8009,0.3,1.1500200000000014,
House02_seed0,House02,0,anchor240,240,1,30,258.2,-1.6427,-6.1009,0.3,0.8499700000000003,
House02_seed1,House02,1,anchor060,60,1,15,66.4,-2.8427,-2.5009,0.3,1.7499800000000003,
House02_seed1,House02,1,anchor150,150,1,15,155.4,-2.2427,-5.8009,0.3,1.1500200000000014,
House02_seed1,House02,1,anchor240,240,1,15,225.8,-1.3942,-5.4494,0.3,0.7231544449839196,
House03_seed0,House03,0,anchor060,60,1,15,70.4,6.5,-0.213,0.3,1.5499999999999998,
House03_seed0,House03,0,anchor150,150,1,15,150.0,8.6,-0.213,0.3,1.5499999999999998,
House03_seed0,House03,0,anchor240,240,1,15,244.2,5.3,-0.213,0.3,1.0499999999999998,
House03_seed1,House03,1,anchor060,60,1,15,53.8,5.7092,-0.4038,0.3,1.3230454565131164,
House03_seed1,House03,1,anchor150,150,1,15,145.4,6.5,-0.213,0.3,1.5499999999999998,
House03_seed1,House03,1,anchor240,240,1,15,250.6,5.3,-0.513,0.3,1.0499999999999998,
