dataset,house,seed,update,native_error,nacc_error,relative_improvement
V11_visible_fixed_trajectory,House01,277433,5,3.5181993230779196,3.558743880103629,-0.011524235355215344
V11_visible_fixed_trajectory,House01,323553,5,6.690052171498601,6.685206998000077,0.0007242355327459571
V11_visible_fixed_trajectory,House01,653959,5,4.5759101077940505,4.6136417389929525,-0.008245710756999904
V11_visible_fixed_trajectory,House01,661761,5,3.585146559392256,3.6054863414095584,-0.005673347429553981
V11_visible_fixed_trajectory,House02,251322,5,3.1544654543516746,3.20401990094614,-0.01570930077110331
V11_visible_fixed_trajectory,House02,276860,5,3.056030617967743,3.0544306046017486,0.0005235593375888243
V11_visible_fixed_trajectory,House02,608060,5,3.0315941790978,3.016365969482079,0.005023168905889872
V11_visible_fixed_trajectory,House02,868245,5,2.906830583834559,2.9153164185416056,-0.0029192739178670393
V11_visible_fixed_trajectory,House03,274918,5,7.74057439963302,7.708190828814473,0.004183613404721203
V11_visible_fixed_trajectory,House03,537372,5,7.638758905765254,7.620271524268959,0.002420207487153738
V11_visible_fixed_trajectory,House03,605421,5,7.767562864075968,7.7661711400212745,0.0001791712637602213
V11_visible_fixed_trajectory,House03,828279,5,8.854737766464932,8.840938864127349,0.001558363748483165
V11_visible_fixed_trajectory,House01,825101,4,7.361919725211983,7.356188003668399,0.0007785634396358323
V11_visible_fixed_trajectory,House02,825201,4,2.7141314713244036,2.683189458963572,0.011400336604082354
V11_visible_fixed_trajectory,House03,825301,4,7.5099598433019,7.488182901771752,0.002899741408014431
H02_prospective_revealed_fixed_trajectory,House02,332814273,5,4.918792618203463,4.9017176776914475,0.0034713682477331797
H02_prospective_revealed_fixed_trajectory,House02,783030861,5,3.015488343934205,3.0113655596301436,0.0013672028652853543
H02_prospective_revealed_fixed_trajectory,House02,845534703,5,3.15219289550683,3.1460371780906926,0.0019528365237139272
