source_update_id,candidate_id,origin_i,origin_j,size_i,size_j,center_x,center_y
1,quadtree_5_29_1_2,5,29,1,2,-5.900000125169754,1.1200002431869507
1,quadtree_8_19_4_5,8,19,4,5,-4.5500000715255737,-1.4299998581409454
1,quadtree_19_27_2_2,19,27,2,2,-1.5499999523162842,0.52000021934509277
1,quadtree_19_22_1_1,19,22,1,1,-1.6999999582767487,-1.1299998462200165
1,quadtree_24_25_1_1,24,25,1,1,-0.19999989867210388,-0.22999981045722961
1,quadtree_26_27_2_2,26,27,2,2,0.55000013113021851,0.52000021934509277
1,quadtree_28_27_1_1,28,27,1,1,1.0000001490116119,0.3700002133846283
1,quadtree_6_10_2_3,6,10,2,3,-5.4500001072883606,-4.429999977350235
1,quadtree_4_5_4_5,4,5,4,5,-5.7500001192092896,-5.6300000250339508
1,quadtree_14_4_1_1,14,4,1,1,-3.2000000178813934,-6.5300000607967377
1,quadtree_19_15_2_2,19,15,2,2,-1.5499999523162842,-3.0799999237060547
1,quadtree_15_10_1_2,15,10,1,2,-2.9000000059604645,-4.5799999833106995
1,quadtree_17_10_1_2,17,10,1,2,-2.2999999821186066,-4.5799999833106995
1,quadtree_26_3_2_5,26,3,2,5,0.55000013113021851,-6.2300000488758087
1,quadtree_24_1_2_4,24,1,2,4,-0.049999892711639404,-6.9800000786781311
1,quadtree_23_3_1_2,23,3,1,2,-0.49999991059303284,-6.6800000667572021
1,quadtree_21_4_2_1,21,4,2,1,-0.94999992847442627,-6.5300000607967377
1,quadtree_21_5_5_3,21,5,5,3,-0.49999991059303284,-5.9300000369548798
1,quadtree_21_1_3_2,21,1,3,2,-0.79999992251396179,-7.2800000905990601
1,quadtree_16_2_1_2,16,2,1,2,-2.5999999940395355,-6.9800000786781311
1,quadtree_15_4_2_4,15,4,2,4,-2.75,-6.0800000429153442
1,quadtree_20_5_1_3,20,5,1,3,-1.3999999463558197,-5.9300000369548798
