parameter	category	official_effective_or_declared	r2_runner_or_launch_default	r2_source	note
ablation_id	research instrumentation only	<not set in official GSL node>	${ARM}	runner	Runner expression; effective value depends on environment/default.
algorithm	VGR environment adapter	<not set in official GSL node>	PMFS	runner	
allowMovementRepetition	official PMFS algorithm/forward parameter	true	<not declared>	not declared	
anemometer_frame	VGR environment adapter	PioneerP3DX	<not declared>	not declared	
blurSigmaX	official PMFS algorithm/forward parameter	1.5	0	runner	
blurSigmaY	official PMFS algorithm/forward parameter	1.5	0	runner	
code_manifest_sha256	research instrumentation only	<not set in official GSL node>	UNKNOWN	launch default	
confidenceMeasurementWeight	official PMFS algorithm/forward parameter	1	0.5	runner	
confidenceSigmaSpatial	official PMFS algorithm/forward parameter	1	0.5	runner	
config_id	VGR environment adapter	<not set in official GSL node>	${CONFIG_ID}	runner	Runner expression; effective value depends on environment/default.
context_bank_export_directory	research instrumentation only	<not set in official GSL node>	${RUN_DIR}/context_bank	runner	Runner expression; effective value depends on environment/default.
context_bank_export_enabled	research instrumentation only	<not set in official GSL node>	true	runner	
convergence_thr	budget/evaluation protocol	1.5	-1.0	runner	
dataset	VGR environment adapter	<not set in official GSL node>	${HOUSE}	runner	Runner expression; effective value depends on environment/default.
deltaTime	official PMFS algorithm/forward parameter	0.1	0.2	runner	
distanceWeight	official PMFS algorithm/forward parameter	0.15	0.15	runner	
environment_id	VGR environment adapter	<not set in official GSL node>	${ENV_ID}	runner	Runner expression; effective value depends on environment/default.
explorationProbability	official PMFS algorithm/forward parameter	0.05	0.05	runner	
flight_height	VGR environment adapter	<not set in official GSL node>	0.3	runner	
gaden_iteration_mode	VGR environment adapter	<not set in official GSL node>	seeded_time_replay	runner	
gas_backend	VGR environment adapter	<not set in official GSL node>	${GAS_BACKEND}	runner	Runner expression; effective value depends on environment/default.
git_commit	research instrumentation only	<not set in official GSL node>	UNKNOWN	launch default	
gmrf_update_on_new_observation_only	VGR environment adapter	<not set in official GSL node>	${GMRF_UPDATE_ON_NEW_OBSERVATION_ONLY}	runner	Runner expression; effective value depends on environment/default.
ground_truth_x	budget/evaluation protocol	<launch var source_x>	${SOURCE_X}	runner	Runner expression; effective value depends on environment/default.
ground_truth_y	budget/evaluation protocol	<launch var source_y>	${SOURCE_Y}	runner	Runner expression; effective value depends on environment/default.
headless	research instrumentation only	false	<not declared>	not declared	
hitPriorProbability	official PMFS algorithm/forward parameter	0.3	0.1	runner	
hover_forward_code_hash	research instrumentation only	<not set in official GSL node>	UNSET	launch default	
hover_forward_export_complete_grid	research instrumentation only	<not set in official GSL node>	false	launch default	
hover_forward_export_continuous_exposure	research instrumentation only	<not set in official GSL node>	false	launch default	
