split,pair_index,band,base_C,interaction_C,audit_base_logloss,audit_interaction_logloss,audit_delta_log,audit_delta_brier,audit_delta_accuracy,design_inner_cv_delta_log
A,0,0,100.0,100.0,0.5312100490741223,0.43474273996271795,0.09646730911140433,0.037505417177799955,0.125,0.08151716235509165
B,0,0,10.0,10.0,0.6058153551794633,0.551451127639673,0.05436422753979031,0.02244830127955183,-0.0625,0.09980591858015841
A,1,0,100.0,100.0,0.7813095856989815,0.6006456434837113,0.18066394221527016,0.0506695390297468,0.0625,0.022433082300895135
B,1,0,10.0,10.0,0.5956916550722449,0.5589759237839983,0.03671573128824657,0.014355130969516516,0.0,0.0508213627480133
A,2,0,100.0,100.0,0.4534395826954025,0.44834325461290403,0.005096328082498491,0.007127469118039284,0.0,-0.13239314951048864
B,2,0,10.0,10.0,0.6229206738856725,0.6703726325617942,-0.04745195867612173,0.016937288786153748,0.0,0.058758951247951774
A,3,1,100.0,100.0,0.32551599425190314,0.29464421926751794,0.030871774984385203,0.009094715200470949,0.0625,-0.018079389761002984
B,3,1,10.0,10.0,0.5634333308316659,0.5308434035914553,0.03258992724021059,0.016474642955668445,0.0625,0.006431078887372266
A,4,1,100.0,100.0,1.2534135825964292,1.2571052487389383,-0.0036916661425090425,0.0013818824448855183,0.0,0.028093218488121074
B,4,1,10.0,10.0,0.8782759902786552,0.9166782650733083,-0.03840227479465308,-0.013151707813645663,0.0,-0.03759551352875412
A,5,1,100.0,100.0,0.001126663505643347,0.0007046466985496409,0.0004220168070937061,1.833473252863408e-06,0.0,0.0005225130563960741
B,5,1,10.0,10.0,0.006552588764636972,0.00481940265287046,0.0017331861117665113,6.218228999917776e-05,0.0,0.0034982818029925724
A,6,2,100.0,100.0,0.36115157947035065,0.32152767211232774,0.0396239073580229,0.013140421010336745,0.0625,0.033780303945356485
B,6,2,10.0,10.0,0.40168285222650724,0.3272346760168796,0.07444817620962763,0.0297813829960671,0.0625,0.06359005346751878
A,7,2,100.0,100.0,0.05730455991992778,0.04115346236731709,0.01615109755261069,0.005191921808704639,0.0,0.015981434352064894
B,7,2,10.0,10.0,0.06876001433123813,0.04606476902888049,0.02269524530235764,0.003615051394140008,0.0,0.031707280757620054
A,8,2,100.0,100.0,0.4602981773498117,0.4463341887779541,0.0139639885718576,0.0037047734980453773,0.0,-0.003957610293504221
B,8,2,10.0,10.0,0.5550923172720089,0.5243654887231443,0.03072682854886466,0.011621305402875898,0.0625,0.011005595661948475
A,9,3,100.0,100.0,0.6239788563251016,0.6322862345222029,-0.008307378197101256,-0.0023584629460449147,0.0625,-0.27951673645687414
B,9,3,10.0,10.0,0.6171815694671638,0.5923920375953495,0.02478953187181432,0.01133667885114012,0.0,-0.040406353373323434
A,10,3,100.0,100.0,1.1372911551856886,0.4042935075957099,0.7329976475899787,0.09334443580410774,0.1875,0.1050867046436636
B,10,3,10.0,10.0,0.47145786407461154,0.26060998341329,0.21084788066132154,0.09597700687525926,0.25,0.16885444377975634
A,11,3,100.0,100.0,0.9001888659655848,0.6918745832673041,0.20831428269828067,0.01957893054426299,0.0,-0.18224554650903768
B,11,3,10.0,10.0,0.5429874506478138,0.5706531257760749,-0.027665675128261014,-0.012994400955267243,0.0625,0.02101352913801313
A,12,0,100.0,100.0,0.7315263531159086,0.7243734869470799,0.007152866168828709,0.0034405048409566485,0.0,-0.10077600258862529
B,12,0,10.0,10.0,0.6985806069872023,0.704117577945472,-0.005536970958269771,-0.0027551521713254923,0.0,0.0010642862994898472
A,13,0,100.0,100.0,0.7510249817530826,0.8760230444538949,-0.12499806270081226,0.012381104660476455,0.0,0.03723607733753498
B,13,0,10.0,10.0,0.6374587781871034,0.6154035988664388,0.022055179320664586,0.010764582759478558,0.125,0.0009577371352570418
A,14,0,100.0,100.0,0.29559278434198766,0.2659331307215146,0.02965965362047307,0.010008762517417086,0.0625,0.0042542862973602436
B,14,0,10.0,10.0,0.4460872856552926,0.40440929291659705,0.041677992738695546,0.014727713650452584,-0.125,0.01897989643120368
A,15,1,100.0,100.0,0.5902536673577465,0.5621345056046685,0.028119161753078048,0.01202522961367472,0.0625,0.04174588702686588
B,15,1,10.0,10.0,0.8523794498388411,0.8558271216283364,-0.0034476717894953435,-0.002589383266162981,0.0,-0.03150412119917667
A,16,1,100.0,100.0,0.5022014610300951,0.47273263327169707,0.029468827758398042,0.009483130059793926,0.0,-0.020523410115310614
B,16,1,10.0,10.0,0.561457036333995,0.5205609743095523,0.040896062024442736,0.019665592409867372,0.0,-0.006054540492631877
A,17,1,100.0,100.0,0.007629587899471005,0.002739225685199832,0.0048903622142711725,0.0006397691917671218,0.0,0.0005376075737421075
B,17,1,10.0,10.0,0.01707133445578367,0.012461814754390805,0.004609519701392867,0.0005376681700923597,0.0,0.01264344272009408
A,18,2,100.0,100.0,0.047423910675972986,0.03463617366479617,0.012787737011176817,0.0029495638162033624,0.0,-0.006017478354521821
B,18,2,10.0,10.0,0.22616314006373245,0.17110526821169023,0.05505787185204222,0.019952392632801255,0.0,0.05966120073791026
A,19,2,100.0,100.0,0.005594329674541513,0.004666692266395279,0.0009276374081462341,9.252089711555058e-06,0.0,0.045611430375502415
B,19,2,10.0,10.0,0.239871897448869,0.21773109377917013,0.022140803669698866,0.006416388226382144,0.0,0.007442421553007908
A,20,2,100.0,100.0,0.618094349852635,0.39112072706209816,0.22697362279053684,0.05859599407047608,0.0,0.055761345124539174
B,20,2,10.0,10.0,0.38823460099061496,0.32037401704960466,0.0678605839410103,0.026027523148326945,0.125,-0.2041771862584414
A,21,3,100.0,100.0,0.41292492742769826,0.3742284494587277,0.03869647796897058,0.019098646217606235,0.0,-0.5500536960503593
B,21,3,10.0,10.0,0.5990164575236319,0.600250446244029,-0.00123398872039715,0.003902845929934423,0.0,-0.031246301886129313
A,22,3,100.0,100.0,0.43919150923285255,0.20397151900791616,0.2352199902249364,0.09888630413078682,0.1875,0.07426658137207881
B,22,3,10.0,10.0,0.3939100117622976,0.23930627096569462,0.154603740796603,0.06199248753696601,0.0,0.12003290351818485
A,23,3,100.0,100.0,1.8459923665259346,1.9852592725501739,-0.1392669060242393,-0.022985171457875042,-0.0625,-0.23136481603121695
B,23,3,10.0,10.0,0.7241044368327602,0.762275775359103,-0.0381713385263428,-0.014618907910300183,0.0625,-0.2696017212811219
A,24,0,100.0,100.0,0.7790402132898273,0.8343752642598415,-0.05533505097001423,0.00014903542807379044,0.125,-0.015145883149819683
