mode,candidate_id,source_sample,replica,source_x,source_y,score
resampled,quadtree_14_31_1_1,-1,0,nan,nan,0.732272611041768986355
fixed_center,quadtree_14_31_1_1,-1,0,-3.20000001788139343262,1.57000026106834411621,0.728070604716237736133
resampled,quadtree_14_31_1_1,-1,1,nan,nan,0.726179539559054415424
fixed_center,quadtree_14_31_1_1,-1,1,-3.20000001788139343262,1.57000026106834411621,0.73195518206077353154
resampled,quadtree_14_31_1_1,-1,2,nan,nan,0.726528727172705628969
fixed_center,quadtree_14_31_1_1,-1,2,-3.20000001788139343262,1.57000026106834411621,0.730931529937865590387
resampled,quadtree_14_31_1_1,-1,3,nan,nan,0.729489354107821161614
fixed_center,quadtree_14_31_1_1,-1,3,-3.20000001788139343262,1.57000026106834411621,0.641248139817238694399
resampled,quadtree_14_31_1_1,-1,4,nan,nan,0.733120469889123225647
fixed_center,quadtree_14_31_1_1,-1,4,-3.20000001788139343262,1.57000026106834411621,0.701920804995011442826
resampled,quadtree_14_31_1_1,-1,5,nan,nan,0.731763343612185110951
fixed_center,quadtree_14_31_1_1,-1,5,-3.20000001788139343262,1.57000026106834411621,0.729167337143211313668
resampled,quadtree_14_31_1_1,-1,6,nan,nan,0.659588715933533206921
fixed_center,quadtree_14_31_1_1,-1,6,-3.20000001788139343262,1.57000026106834411621,0.669573711111143520512
resampled,quadtree_14_31_1_1,-1,7,nan,nan,0.732185842734941454569
fixed_center,quadtree_14_31_1_1,-1,7,-3.20000001788139343262,1.57000026106834411621,0.730547566389916677775
persistent,quadtree_14_31_1_1,0,0,-3.26967525482177734375,1.52689433097839355469,0.722337684057020730532
persistent,quadtree_14_31_1_1,0,1,-3.26967525482177734375,1.52689433097839355469,0.729033603355558778864
persistent,quadtree_14_31_1_1,0,2,-3.26967525482177734375,1.52689433097839355469,0.730258357865587563035
persistent,quadtree_14_31_1_1,0,3,-3.26967525482177734375,1.52689433097839355469,0.706812780500447639586
persistent,quadtree_14_31_1_1,0,4,-3.26967525482177734375,1.52689433097839355469,0.72886644938534306807
persistent,quadtree_14_31_1_1,0,5,-3.26967525482177734375,1.52689433097839355469,0.728797756117242053603
persistent,quadtree_14_31_1_1,0,6,-3.26967525482177734375,1.52689433097839355469,0.692319835671567534129
persistent,quadtree_14_31_1_1,0,7,-3.26967525482177734375,1.52689433097839355469,0.728118665742966628249
persistent,quadtree_14_31_1_1,1,0,-3.25533628463745117188,1.70296692848205566406,0.729268516420227001416
persistent,quadtree_14_31_1_1,1,1,-3.25533628463745117188,1.70296692848205566406,0.718316731372490328606
persistent,quadtree_14_31_1_1,1,2,-3.25533628463745117188,1.70296692848205566406,0.71336445906074495612
persistent,quadtree_14_31_1_1,1,3,-3.25533628463745117188,1.70296692848205566406,0.732875737464069481871
persistent,quadtree_14_31_1_1,1,4,-3.25533628463745117188,1.70296692848205566406,0.730093956641892184083
persistent,quadtree_14_31_1_1,1,5,-3.25533628463745117188,1.70296692848205566406,0.732223581172832788111
persistent,quadtree_14_31_1_1,1,6,-3.25533628463745117188,1.70296692848205566406,0.603380393014828412591
persistent,quadtree_14_31_1_1,1,7,-3.25533628463745117188,1.70296692848205566406,0.732401753856355573074
persistent,quadtree_14_31_1_1,2,0,-3.06162047386169433594,1.49200212955474853516,0.729187637730165797117
persistent,quadtree_14_31_1_1,2,1,-3.06162047386169433594,1.49200212955474853516,0.73184749426448858381
persistent,quadtree_14_31_1_1,2,2,-3.06162047386169433594,1.49200212955474853516,0.731381763689969358186
persistent,quadtree_14_31_1_1,2,3,-3.06162047386169433594,1.49200212955474853516,0.666959769871974155809
persistent,quadtree_14_31_1_1,2,4,-3.06162047386169433594,1.49200212955474853516,0.729088485923425265955
persistent,quadtree_14_31_1_1,2,5,-3.06162047386169433594,1.49200212955474853516,0.73229895245666342757
persistent,quadtree_14_31_1_1,2,6,-3.06162047386169433594,1.49200212955474853516,0.684701985992160733999
persistent,quadtree_14_31_1_1,2,7,-3.06162047386169433594,1.49200212955474853516,0.730118397599172660464
persistent,quadtree_14_31_1_1,3,0,-3.33957600593566894531,1.6328125,0.727922663198970147061
persistent,quadtree_14_31_1_1,3,1,-3.33957600593566894531,1.6328125,0.718462547130712587658
persistent,quadtree_14_31_1_1,3,2,-3.33957600593566894531,1.6328125,0.704339682527512094576
persistent,quadtree_14_31_1_1,3,3,-3.33957600593566894531,1.6328125,0.728599754594280733734
persistent,quadtree_14_31_1_1,3,4,-3.33957600593566894531,1.6328125,0.730787683483234474656
persistent,quadtree_14_31_1_1,3,5,-3.33957600593566894531,1.6328125,0.730466087617127073648
persistent,quadtree_14_31_1_1,3,6,-3.33957600593566894531,1.6328125,0.689763113192289576108
persistent,quadtree_14_31_1_1,3,7,-3.33957600593566894531,1.6328125,0.72411968800175577956
persistent,quadtree_14_31_1_1,4,0,-3.05556702613830566406,1.45328950881958007812,0.715636683458550380995
persistent,quadtree_14_31_1_1,4,1,-3.05556702613830566406,1.45328950881958007812,0.732640936255752137074
persistent,quadtree_14_31_1_1,4,2,-3.05556702613830566406,1.45328950881958007812,0.709889133016855240809
persistent,quadtree_14_31_1_1,4,3,-3.05556702613830566406,1.45328950881958007812,0.728973670920536187447
persistent,quadtree_14_31_1_1,4,4,-3.05556702613830566406,1.45328950881958007812,0.704072562139469562519
