L,rho,loo_loglik
10,0.6,-4116.052183212982
5,0.6,-4127.333522979571
5,0.7,-4136.8030545841975
10,0.7,-4158.1166178965095
10,0.5,-4211.287425600463
5,0.5,-4233.457928959456
2,0.7,-4297.273675494457
2,0.6,-4320.776188201129
10,0.4,-4377.880215029163
5,0.4,-4399.002367601157
5,0.8,-4408.647550051675
2,0.5,-4437.518102839928
2,0.8,-4483.135964423773
10,0.8,-4516.19210056415
10,0.3,-4587.105703111309
5,0.3,-4599.632074475368
2,0.4,-4604.408669744132
1,0.7,-4613.704742834905
1,0.6,-4644.393534934896
1,0.5,-4756.42833073734
1,0.8,-4765.8591092674815
2,0.3,-4804.99693864675
10,0.2,-4818.561497117179
5,0.2,-4830.349730362458
1,0.4,-4913.43195157613
2,0.2,-5042.177286517027
10,0.1,-5090.536377946879
1,0.3,-5101.9801805661455
5,0.1,-5125.007137277536
1,0.2,-5325.111398821923
2,0.1,-5361.0470028594345
1,0.1,-5615.403870212358
1,0.0,-6144.273070402499
2,0.0,-6144.273070402499
5,0.0,-6144.273070402499
10,0.0,-6144.273070402499
