L,rho,loo_loglik
10,0.6,-4061.1801715180627
5,0.6,-4078.8568857133127
5,0.7,-4110.309960135751
10,0.7,-4112.227675393081
10,0.5,-4149.0804479713215
5,0.5,-4172.421172132417
2,0.6,-4280.529157583793
2,0.7,-4280.669608977217
10,0.4,-4307.6944200032385
5,0.4,-4328.4548303024785
2,0.5,-4381.814103320061
5,0.8,-4426.688071072714
10,0.8,-4479.084720543548
10,0.3,-4506.891472745046
2,0.8,-4510.009441821416
5,0.3,-4520.832848279535
2,0.4,-4537.5550639640305
1,0.7,-4586.9674446831405
1,0.6,-4595.690127269512
1,0.5,-4692.868576337056
2,0.3,-4729.011555283431
10,0.2,-4733.512291080822
5,0.2,-4744.213583412339
1,0.8,-4778.4575121930075
1,0.4,-4838.489809567636
2,0.2,-4957.065734775478
10,0.1,-4999.299932053403
1,0.3,-5017.109448798331
5,0.1,-5030.1201613130725
1,0.2,-5229.826103142599
2,0.1,-5262.898797517882
1,0.1,-5505.3808288151695
1,0.0,-5996.215200332399
2,0.0,-5996.215200332399
5,0.0,-5996.215200332399
10,0.0,-5996.215200332399
