L,rho,loo_loglik
10,0.6,-3861.4303545639677
10,0.7,-3873.003249830992
5,0.7,-3882.1590975741587
5,0.6,-3893.5459201606845
10,0.5,-3965.595810657932
5,0.5,-4008.948577210668
2,0.7,-4037.1637225107756
2,0.6,-4076.357112515792
5,0.8,-4112.668483676717
10,0.4,-4133.571111650026
10,0.8,-4164.816377734064
5,0.4,-4179.776411182294
2,0.8,-4190.997239676887
2,0.5,-4202.139721919664
1,0.7,-4335.838514755856
10,0.3,-4343.256672643853
2,0.4,-4375.2423441848905
5,0.3,-4384.901781464579
1,0.6,-4385.25500089929
1,0.8,-4452.977277406493
1,0.5,-4508.9594758473195
2,0.3,-4580.239005434983
10,0.2,-4580.893518917246
5,0.2,-4618.144052626836
1,0.4,-4673.994951277564
2,0.2,-4820.265065008295
10,0.1,-4855.055976395252
1,0.3,-4868.36452523113
5,0.1,-4912.812524060404
1,0.2,-5095.620759603741
2,0.1,-5139.789325052157
1,0.1,-5387.980536367733
1,0.0,-5912.563302930303
2,0.0,-5912.563302930303
5,0.0,-5912.563302930303
10,0.0,-5912.563302930303
