environment_index,house,wind,model,source_units,target_count,mean_rank,top1,top3,MRR,posterior_NLL,MAP_spatial_error_m,MAP_tie_fraction,improved_sources_vs_M0,harmed_sources_vs_M0,neutral_sources_vs_M0,selected_L,selected_rho
0,House01,"1,3-2,4_fast",M0,6,24,1.1666666666666667,0.8333333333333334,1.0,0.9166666666666666,0.8035316804479723,0.04999999999999997,0.0,0,0,6,0,0.0
0,House01,"1,3-2,4_fast",M1,6,24,1.2083333333333333,0.7916666666666666,1.0,0.8958333333333334,0.6719728322585201,0.062499999999999965,0.0,0,1,5,1,0.7
0,House01,"1,3-2,4_fast",M2,6,24,1.1666666666666667,0.8333333333333334,1.0,0.9166666666666666,1.2021683812712178,0.04999999999999997,0.0,0,0,6,10,0.6
0,House01,"1,3-2,4_fast",M3,6,24,1.1666666666666667,0.8333333333333334,1.0,0.9166666666666666,1.2021683812712178,0.04999999999999997,0.0,0,0,6,10,0.6
1,House02,"3,5-1_slow",M0,6,24,1.25,0.75,1.0,0.875,4.029204383697803,0.0749999999999998,0.0,0,0,6,0,0.0
1,House02,"3,5-1_slow",M1,6,24,1.2916666666666667,0.7083333333333334,1.0,0.8541666666666666,2.9557864617040948,0.0874999999999998,0.0,2,2,2,1,0.8
1,House02,"3,5-1_slow",M2,6,24,1.2916666666666667,0.7083333333333334,1.0,0.8541666666666666,2.6723777177850745,0.0874999999999998,0.0,1,1,4,10,0.7
1,House02,"3,5-1_slow",M3,6,24,1.25,0.75,1.0,0.875,2.9049412225502915,0.07499999999999984,0.0,2,1,3,10,0.6
2,House02,"4,5-3_slow",M0,6,24,1.25,0.75,1.0,0.875,1.171649086054674,0.07500000000000002,0.0,0,0,6,0,0.0
2,House02,"4,5-3_slow",M1,6,24,1.2916666666666667,0.7083333333333334,1.0,0.8541666666666666,1.3122361913705891,0.08750000000000004,0.0,1,2,3,1,0.8
2,House02,"4,5-3_slow",M2,6,24,1.2916666666666667,0.7083333333333334,1.0,0.8541666666666666,1.2317434183498572,0.08750000000000004,0.0,1,2,3,10,0.7
2,House02,"4,5-3_slow",M3,6,24,1.2916666666666667,0.7083333333333334,1.0,0.8541666666666666,1.1160341425217146,0.08750000000000004,0.0,1,2,3,10,0.6
