environment_index,house,wind,source_index,source_id,model,source_units,target_count,mean_rank,top1,top3,MRR,posterior_NLL,MAP_spatial_error_m,MAP_tie_fraction
0,House01,"1,3-2,4_fast",0,pmfs_13_18,M0,1,4,1.0,1.0,1.0,1.0,0.0011028373742352215,0.0,0.0
0,House01,"1,3-2,4_fast",1,pmfs_13_19,M0,1,4,1.75,0.25,1.0,0.625,4.009516925688192,0.22499999999999987,0.0
0,House01,"1,3-2,4_fast",2,pmfs_27_36,M0,1,4,1.0,1.0,1.0,1.0,1.7537713715043424e-05,0.0,0.0
0,House01,"1,3-2,4_fast",3,pmfs_26_36,M0,1,4,1.0,1.0,1.0,1.0,4.840809282313785e-07,0.0,0.0
0,House01,"1,3-2,4_fast",4,pmfs_27_1,M0,1,4,1.25,0.75,1.0,0.875,0.6854949285545904,0.07499999999999996,0.0
0,House01,"1,3-2,4_fast",5,pmfs_27_2,M0,1,4,1.0,1.0,1.0,1.0,0.12505736927617317,0.0,0.0
0,House01,"1,3-2,4_fast",0,pmfs_13_18,M1,1,4,1.0,1.0,1.0,1.0,0.00046636670589261797,0.0,0.0
0,House01,"1,3-2,4_fast",1,pmfs_13_19,M1,1,4,1.75,0.25,1.0,0.625,2.9551796401346806,0.22499999999999987,0.0
0,House01,"1,3-2,4_fast",2,pmfs_27_36,M1,1,4,1.0,1.0,1.0,1.0,7.782499089614703e-08,0.0,0.0
0,House01,"1,3-2,4_fast",3,pmfs_26_36,M1,1,4,1.0,1.0,1.0,1.0,1.4371198619578252e-05,0.0,0.0
0,House01,"1,3-2,4_fast",4,pmfs_27_1,M1,1,4,1.5,0.5,1.0,0.75,1.0255908337868513,0.1499999999999999,0.0
0,House01,"1,3-2,4_fast",5,pmfs_27_2,M1,1,4,1.0,1.0,1.0,1.0,0.05058570390008521,0.0,0.0
0,House01,"1,3-2,4_fast",0,pmfs_13_18,M2,1,4,1.0,1.0,1.0,1.0,2.052984774003619e-05,0.0,0.0
0,House01,"1,3-2,4_fast",1,pmfs_13_19,M2,1,4,1.75,0.25,1.0,0.625,6.4207462889748355,0.22499999999999987,0.0
0,House01,"1,3-2,4_fast",2,pmfs_27_36,M2,1,4,1.0,1.0,1.0,1.0,5.394829738492035e-08,0.0,0.0
0,House01,"1,3-2,4_fast",3,pmfs_26_36,M2,1,4,1.0,1.0,1.0,1.0,0.0030391454306428756,0.0,0.0
0,House01,"1,3-2,4_fast",4,pmfs_27_1,M2,1,4,1.25,0.75,1.0,0.875,0.7094193001220721,0.07499999999999996,0.0
0,House01,"1,3-2,4_fast",5,pmfs_27_2,M2,1,4,1.0,1.0,1.0,1.0,0.0797849693037197,0.0,0.0
0,House01,"1,3-2,4_fast",0,pmfs_13_18,M3,1,4,1.0,1.0,1.0,1.0,2.052984774003619e-05,0.0,0.0
0,House01,"1,3-2,4_fast",1,pmfs_13_19,M3,1,4,1.75,0.25,1.0,0.625,6.4207462889748355,0.22499999999999987,0.0
0,House01,"1,3-2,4_fast",2,pmfs_27_36,M3,1,4,1.0,1.0,1.0,1.0,5.394829738492035e-08,0.0,0.0
0,House01,"1,3-2,4_fast",3,pmfs_26_36,M3,1,4,1.0,1.0,1.0,1.0,0.0030391454306428756,0.0,0.0
0,House01,"1,3-2,4_fast",4,pmfs_27_1,M3,1,4,1.25,0.75,1.0,0.875,0.7094193001220721,0.07499999999999996,0.0
0,House01,"1,3-2,4_fast",5,pmfs_27_2,M3,1,4,1.0,1.0,1.0,1.0,0.0797849693037197,0.0,0.0
1,House02,"3,5-1_slow",0,pmfs_12_20,M0,1,4,1.0,1.0,1.0,1.0,0.001696394893645703,0.0,0.0
1,House02,"3,5-1_slow",1,pmfs_11_20,M0,1,4,1.0,1.0,1.0,1.0,0.08958219709385595,0.0,0.0
1,House02,"3,5-1_slow",2,pmfs_1_1,M0,1,4,1.25,0.75,1.0,0.875,1.1058581619505459,0.07499999999999996,0.0
1,House02,"3,5-1_slow",3,pmfs_2_1,M0,1,4,1.25,0.75,1.0,0.875,0.5477584042884871,0.07499999999999996,0.0
1,House02,"3,5-1_slow",4,pmfs_2_38,M0,1,4,1.75,0.25,1.0,0.625,21.40688124881961,0.2249999999999992,0.0
1,House02,"3,5-1_slow",5,pmfs_2_37,M0,1,4,1.25,0.75,1.0,0.875,1.0234498951406792,0.07499999999999973,0.0
1,House02,"3,5-1_slow",0,pmfs_12_20,M1,1,4,1.0,1.0,1.0,1.0,1.9927753944770643e-06,0.0,0.0
1,House02,"3,5-1_slow",1,pmfs_11_20,M1,1,4,1.0,1.0,1.0,1.0,0.011413108702859276,0.0,0.0
1,House02,"3,5-1_slow",2,pmfs_1_1,M1,1,4,1.75,0.25,1.0,0.625,2.314447786719498,0.22499999999999987,0.0
1,House02,"3,5-1_slow",3,pmfs_2_1,M1,1,4,1.0,1.0,1.0,1.0,0.1796491456530136,0.0,0.0
1,House02,"3,5-1_slow",4,pmfs_2_38,M1,1,4,1.5,0.5,1.0,0.75,11.50208911332501,0.14999999999999947,0.0
1,House02,"3,5-1_slow",5,pmfs_2_37,M1,1,4,1.5,0.5,1.0,0.75,3.727117623048791,0.14999999999999947,0.0
1,House02,"3,5-1_slow",0,pmfs_12_20,M2,1,4,1.0,1.0,1.0,1.0,3.8213697894917686e-07,0.0,0.0
1,House02,"3,5-1_slow",1,pmfs_11_20,M2,1,4,1.0,1.0,1.0,1.0,0.02096172408209762,0.0,0.0
