panel,pair_index,protocol,model,target_count,mean_nll,trimmed20_nll,tail_excess,misclassification_rate,mean_nll_given_error,q95_nll,max_nll
CENTRAL,0,P_G1A,FULL,32,5.540692890477004,0.7081679653953368,4.8325249250816675,0.4375,12.352383366093779,4.1383384130463945,146.8415152759477
CENTRAL,0,P_G1A,BLOCK_PRODUCT,32,4.116134717039156,0.588980335621482,3.527154381417674,0.375,10.638444431028715,5.847028213327549,98.44493157054433
CENTRAL,0,P_G1A,MATCHED_BLOCK_DIAG,32,8.362688286185081,0.9740417452385813,7.3886465409465,0.59375,13.964047708293785,5.3283257859896285,227.68755793733655
CENTRAL,0,P_E2,FULL,32,5.275269832698043,0.3746109368708643,4.900658895827179,0.28125,18.269044343430615,3.3758590038642877,149.33171685724892
CENTRAL,0,P_E2,BLOCK_PRODUCT,32,2.6534317053115553,0.3622375853086047,2.2911941200029506,0.28125,9.224458815814897,12.316107027214318,39.83221544155481
CENTRAL,0,P_E2,MATCHED_BLOCK_DIAG,32,4.095411627689257,0.6918259060712865,3.403585721617971,0.375,10.60337457691827,6.125547413081868,93.33518671240606
CENTRAL,1,P_G1A,FULL,32,3.391497860279477,0.4270949393141503,2.964402920965327,0.34375,9.65672334016364,12.4992727477197,67.44766967992604
CENTRAL,1,P_G1A,BLOCK_PRODUCT,32,2.90874149645038,0.34959951826098135,2.5591419781893987,0.3125,9.103980817693941,4.190102963512715,69.69653085025271
CENTRAL,1,P_G1A,MATCHED_BLOCK_DIAG,32,3.3353514240302204,0.2862919711858446,3.049059452844376,0.3125,10.50909308836421,3.9881203062588764,84.39346009469446
CENTRAL,1,P_E2,FULL,32,2.126358373543977,0.0002993094118334069,2.1260590641321433,0.0625,33.93784530563405,5.222368322126238,56.442831994828516
CENTRAL,1,P_E2,BLOCK_PRODUCT,32,3.1067328150828426,2.723935629313761e-06,3.106730091147213,0.09375,33.08621624457494,10.843115174615864,75.74844906709095
