panel,pair_index,x_band,source_x_mean_abs,source_x_rms,source_x_max_abs,source_x_median_abs,source_x_cosine,source_y_mean_abs,source_y_rms,source_y_max_abs,source_y_median_abs,source_y_cosine,probe_x_mean_abs,probe_x_rms,probe_x_max_abs,probe_x_median_abs,probe_x_cosine,probe_y_mean_abs,probe_y_rms,probe_y_max_abs,probe_y_median_abs,probe_y_cosine,euclidean_mean_abs,euclidean_rms,euclidean_max_abs,euclidean_median_abs,euclidean_cosine,geodesic_mean_abs,geodesic_rms,geodesic_max_abs,geodesic_median_abs,geodesic_cosine,los_mean_abs,los_rms,los_max_abs,los_median_abs,los_cosine,disconnected_mean_abs,disconnected_rms,disconnected_max_abs,disconnected_median_abs,disconnected_cosine,probe_centroid_x,probe_centroid_y,probe_spread_x,probe_spread_y,los_disagreement_fraction
CENTRAL,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.01692600797919755,-0.011209722075360029,0.0003671362276067569,-0.00221793271576487,-4.775682004443116e-05,0.009191197709602417,0.005617220585298954,0.0,0.0,0.00010176524850880053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.0
CENTRAL,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.007377889869888105,-0.008917683774368107,0.00042935983567815583,-0.0021155542075810274,-7.16131037072909e-05,0.010000000000000009,0.006795477823948043,0.0,0.0,-3.0218583561003598e-05,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.0
CENTRAL,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.013063530967877407,-0.010833835022845573,0.000507261908246015,-0.0016228816515058142,-5.452365399938319e-05,0.0021895141649746486,-0.0012516002976971086,4.440892098500626e-16,0.0,-3.267620209856936e-05,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.0
CENTRAL,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.006147665836839039,-0.006691437156256835,0.0006051427081197325,-0.01641088277527314,-6.171105745411687e-05,0.00023689270621821135,-0.0021358079773462213,0.0,0.0,-5.289302261834994e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.0
CENTRAL,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.004399775094707514,-0.005214080822110084,0.0007266899519215997,-0.011452645350540247,-2.4177786106638344e-05,-0.0017157287525380593,-0.0054973615395277065,0.0,0.0,-5.531575289408064e-05,0.0,0.0,0.0,0.0,0.003780020084367841,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.0
CENTRAL,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.009733231047910573,-0.005820281778936731,0.0008686767654690897,-0.01009706645450037,5.1754109502866186e-05,-0.015857864376269015,-0.016522540953490816,0.0,0.0,-9.41239675893435e-05,0.0,0.0,0.0,0.0,-0.002743176695628291,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.0
CENTRAL,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,0.0086475218891304,0.003981722606665128,0.0014747690367045152,0.025044461436540155,4.349289506633269e-05,-0.008382395419204908,-0.010524236793976488,-4.440892098500626e-16,0.0,-0.00011751284368355375,0.0,0.0,0.0,0.0,-0.0033418150741848507,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.0
CENTRAL,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,0.0021489198862320036,0.002181929564093077,0.0011212308630170753,-0.014082225609739485,0.00011676599189558434,0.00023689270621810032,-0.0031294282045375155,0.0,0.0,-8.32764443174927e-05,-0.03333333333333333,-0.18257418583505536,-1.0,0.0,0.042572892243661675,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,-0.03333333333333333
CENTRAL,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.001004657768848699,0.0007783415507259528,0.0008750888762132369,-0.011340954166453754,0.00015477671531505255,-0.01033501687796115,-0.011303964405717654,0.0,0.0,5.0914786048350535e-06,-0.03333333333333333,-0.18257418583505536,-1.0,0.0,0.04653741075440765,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,-0.03333333333333333
CENTRAL,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,0.012416714727523454,0.00782134798962933,0.0006996316023304416,0.029549796797746275,9.979187219077978e-05,0.00966498312203884,0.0015574286607214216,0.0,0.0,3.5500958267098426e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.0
