target,family,heldout_band,alpha
CNR,SOURCE_ONLY,0,1000
CNR,SOURCE_ONLY,1,1000
CNR,SOURCE_ONLY,2,1000
CNR,SOURCE_ONLY,3,100
CNR,GEOM,0,1000
CNR,GEOM,1,1000
CNR,GEOM,2,1000
CNR,GEOM,3,1000
CNR,SIMPLE_WIND,0,1000
CNR,SIMPLE_WIND,1,1000
CNR,SIMPLE_WIND,2,1000
CNR,SIMPLE_WIND,3,1000
CNR,PHYS,0,1000
CNR,PHYS,1,1000
CNR,PHYS,2,1000
CNR,PHYS,3,1000
ED,SOURCE_ONLY,0,1000
ED,SOURCE_ONLY,1,1000
ED,SOURCE_ONLY,2,1000
ED,SOURCE_ONLY,3,10
ED,GEOM,0,1000
ED,GEOM,1,1000
ED,GEOM,2,1000
ED,GEOM,3,1000
ED,SIMPLE_WIND,0,1000
ED,SIMPLE_WIND,1,1000
ED,SIMPLE_WIND,2,100
ED,SIMPLE_WIND,3,1000
ED,PHYS,0,1000
ED,PHYS,1,1000
ED,PHYS,2,1000
ED,PHYS,3,1000
